ligne,date,parent,entreprise,source,dest,secteur,sous_secteur,activite,capex,emplois,type
1,Feb 2008,Eolane,Eolane,France,Morocco,Electronic components,All other electrical e…,Manufacturing,* $13.70m,* 259,Expansion
2,Feb 2008,Exclusive Network…,Exclusive Network…,France,Morocco,Software & IT services,"Software publishers,…","Sales, Marketing & S…",* $5.80m,* 16,New
3,Feb 2008,La Caixa,La Caixa,Spain,Morocco,Financial services,Retail banking,Business Services,* $11.00m,* 18,New
4,Feb 2008,Steria,Steria,France,Morocco,Software & IT services,Custom computer pr…,Customer Contact C…,* $4.20m,100,New
5,Feb 2008,SUPINFO,SUPINFO,France,Morocco,Business services,"Business schools, co…",Education & Training,* $14.60m,* 39,New
6,Jan 2008,Caja de Ahorros d…,Caja de Ahorros d…,Spain,Morocco,Financial services,Retail banking,Business Services,* $11.00m,* 18,New
7,Jan 2008,Inveravante Inver…,Avante Genera,Spain,Morocco,Renewable energy,Wind electric power,Electricity,$147.60m,* 39,New
8,Jan 2008,Joamar,Joamar,Portugal,Morocco,Plastics,Laminated plastics pl…,Manufacturing,$5.13m,400,New
9,Jan 2008,ORSYP Software,ORSYP Software,France,Morocco,Software & IT services,"Software publishers,…","Sales, Marketing & S…",* $5.80m,* 16,New
10,Jan 2008,Simon Holding,Simon Holding,Spain,Morocco,Electronic components,Electrical equipment,Manufacturing,$2.93m,160,New
11,Jan 2008,Success Insights I…,Success Insights I…,United States,Morocco,Business services,Management consult…,Business Services,* $6.80m,* 40,New
12,Jan 2008,Sumitomo Group,Sumitomo Electric…,Japan,Morocco,Automotive compon…,Motor vehicle electri…,Manufacturing,$32.70m,"1,800",New
13,Jan 2008,Torrecid,Torrecid,Spain,Morocco,Chemicals,"Paints, coatings, add…","Sales, Marketing & S…",* $6.20m,* 14,New
14,Dec 2007,Autoterminal,Autoterminal,Spain,Morocco,Transportation & Wa…,Warehousing & stora…,"Logistics, Distributio…",* $197.10m,* 122,New
15,Dec 2007,Bancaja,Bancaja,Spain,Morocco,Financial services,Corporate & investm…,Business Services,* $11.00m,* 18,New
