ligne,date,parent,entreprise,source,dest,secteur,sous_secteur,activite,capex,emplois,type
1,Jun 2026,Concentrix,Concentrix Egypt,United States,Egypt,Business services,Business support ser…,Customer Contact C…,* $17.50m,"* 2,200",New
2,Jun 2026,Concentrix,Concentrix Egypt,United States,Egypt,Business services,Business support ser…,Customer Contact C…,* $17.50m,"* 2,200",New
3,Jun 2026,FPT Corporation (…,FPT Software,Vietnam,Egypt,Software & IT services,Custom computer pr…,Business Services,* $5.90m,* 275,New
4,Jun 2026,HNI (Human Netw…,HNI (Human Netw…,UAE,Egypt,Business services,"Business schools, co…",Business Services,* $27.80m,* 37,Expansion
5,Jun 2026,iQor (IRMC),iQor (IRMC),United States,Egypt,Business services,Business support ser…,Customer Contact C…,* $10.00m,"* 1,318",New
6,Jun 2026,Linuo Group,Linuo Pharmaceuti…,China,Egypt,Ceramics & glass,Glass & glass products,Manufacturing,* $153.90m,* 836,New
7,Jun 2026,Majid Al Futtaim G…,Majid Al Futtaim G…,UAE,Egypt,Real estate,Residential building …,Construction,$3.10bn,"* 3,000",New
8,Jun 2026,Prestige Denim Mi…,Prestige Denim Mi…,India,Egypt,Textiles,Textile product mills,Manufacturing,$20.00m,"1,000",New
9,Jun 2026,Sany,Sany,China,Egypt,Engines & turbines,Engines & Turbines,Manufacturing,$300.00m,"* 1,258",New
10,Jun 2026,Unilever,Lipton Teas and In…,United Kingdom,Egypt,Food and Beverages,Coffee & tea,Manufacturing,* $50.50m,* 247,Expansion
11,Jun 2026,Voltalia,Voltalia,France,Egypt,Renewable energy,Wind electric power,Electricity,$53.00m,* 16,New
12,Jun 2026,Zyro Industries,Zyro Industries,United States,Egypt,Industrial equipment,"Ventilation, heating, …",Manufacturing,* $66.20m,* 219,New
13,May 2026,Accelint,Accelint,United States,Egypt,Space & defence,Other (Space & defe…,"Sales, Marketing & S…",* $4.50m,* 59,New
14,May 2026,Accenture,Accenture,Ireland,Egypt,Software & IT services,Custom computer pr…,Business Services,* $5.90m,* 275,New
15,May 2026,China Enterprise …,China Enterprise …,China,Egypt,Real estate,Industrial building co…,Construction,$1.75bn,"* 2,616",New
