ligne,date,parent,entreprise,source,dest,secteur,sous_secteur,activite,capex,emplois,type
1,Aug 2015,LG Corp,LG Electronics,South Korea,Sudan,Consumer electronics,Electronics & applian…,Retail,* $9.20m,* 78,New
2,Aug 2015,Zain (Mobile Telec…,Zain Sudan,Kuwait,Sudan,Communications,Wireless telecommu…,ICT & Internet Infras…,* $122.20m,* 100,New
3,Jun 2015,Arab Swiss Engine…,ASEC Cement Hol…,Egypt,Sudan,Building materials,Cement & concrete p…,Manufacturing,* $158.60m,* 496,Expansion
4,Jun 2015,Hospitality Manag…,Hospitality Manag…,UAE,Sudan,Hotels & tourism,Accommodation,Construction,* $98.00m,* 202,New
5,May 2015,Egyptian Internati…,Egyptian Internati…,Egypt,Sudan,Pharmaceuticals,Pharmaceutical prep…,Manufacturing,* $33.60m,* 205,New
6,Nov 2014,Anadolu Ajansi (A…,Anadolu Ajansi (A…,Turkey,Sudan,Communications,Radio & TV broadcas…,"Sales, Marketing & S…",* $4.70m,* 62,New
7,Jun 2014,Africa Re,Africa Re,Nigeria,Sudan,Financial services,Insurance,Headquarters,* $44.20m,* 93,New
8,Jan 2014,EgyptAir Holding …,EgyptAir,Egypt,Sudan,Transportation & Wa…,Air transportation,"Sales, Marketing & S…",* $6.30m,* 18,New
9,Jul 2013,Qatar Islamic Ban…,Qatar Islamic Ban…,Qatar,Sudan,Financial services,Corporate & investm…,Business Services,* $9.60m,* 27,New
10,Apr 2013,Delta Group of Co…,Delta Printing Press,UAE,Sudan,"Paper, printing & pac…",Printing & related ac…,Manufacturing,* $45.00m,* 171,New
11,Jun 2012,Dubai Islamic Ban…,Bank of Khartoum,UAE,Sudan,Financial services,Retail banking,Business Services,* $9.60m,* 27,New
12,Jun 2012,Dubai Islamic Ban…,Bank of Khartoum,UAE,Sudan,Financial services,Retail banking,Business Services,* $9.60m,* 27,New
13,Jun 2012,Dubai Islamic Ban…,Bank of Khartoum,UAE,Sudan,Financial services,Retail banking,Business Services,* $9.60m,* 27,New
14,Jun 2012,Dubai Islamic Ban…,Bank of Khartoum,UAE,Sudan,Financial services,Retail banking,Business Services,* $9.60m,* 27,New
15,Jun 2012,Dubai Islamic Ban…,Bank of Khartoum,UAE,Sudan,Financial services,Retail banking,Business Services,* $9.60m,* 27,New
