ligne,date,parent,entreprise,source,dest,secteur,sous_secteur,activite,capex,emplois,type
1,Sep 2020,Air Partner,Air Partner,United Kingdom,South Africa,Transportation & Wa…,Air transportation,"Sales, Marketing & S…",* $6.30m,* 9,New
2,Sep 2020,AP Moller - Maersk,AP Moller - Maersk,Denmark,South Africa,Transportation & Wa…,Warehousing & stora…,"Logistics, Distributio…",* $9.90m,* 31,Expansion
3,Sep 2020,Hisense,Hisense,China,South Africa,Consumer electronics,Household appliances,Manufacturing,* $11.60m,200,Expansion
4,Sep 2020,Holborn Assets,Holborn Assets,UAE,South Africa,Financial services,Investment manage…,Business Services,* $9.60m,* 31,New
5,Sep 2020,Kuehne + Nagel I…,Kuehne + Nagel I…,Switzerland,South Africa,Transportation & Wa…,Freight/Distribution …,"Logistics, Distributio…",* $9.90m,* 31,New
6,Sep 2020,WFS Global,Worldwide Flight …,France,South Africa,Transportation & Wa…,Air transportation,"Logistics, Distributio…",* $9.90m,* 31,Expansion
7,Sep 2020,Zunder Systems,AFR-IX Telecom,Spain,South Africa,Communications,Wired telecommunic…,"Sales, Marketing & S…",* $4.70m,* 62,New
8,Aug 2020,Airmar Technology,Airmar Technology,United States,South Africa,Electronic components,All other electrical e…,"Sales, Marketing & S…",* $1.80m,* 13,New
9,Aug 2020,CrowdStrike,CrowdStrike,United States,South Africa,Software & IT services,"Software publishers,…","Sales, Marketing & S…",* $5.20m,* 9,New
10,Aug 2020,FUCHS (Fuchs Pet…,Fuchs Lubricants …,Germany,South Africa,Chemicals,"Paints, coatings, add…",Headquarters,$14.78m,200,Expansion
11,Aug 2020,Nippon Telegraph …,Dimension Data H…,Japan,South Africa,Communications,Computing infrastruc…,ICT & Internet Infras…,* $90.30m,* 100,New
12,Aug 2020,Reinsurance Soluti…,Reinsurance Soluti…,Mauritius,South Africa,Financial services,Insurance,"Sales, Marketing & S…",* $10.80m,* 78,New
13,Aug 2020,Suzuki Motor,Suzuki Auto South…,Japan,South Africa,Automotive OEM,Automobiles,Headquarters,* $63.70m,* 187,Expansion
14,Aug 2020,The NAGA Group,The NAGA Group,Germany,South Africa,Financial services,Corporate & investm…,Business Services,* $9.60m,* 31,New
15,Aug 2020,Vaka Building Mat…,Vaka Building Mat…,Zimbabwe,South Africa,Building materials,Building material & g…,"Sales, Marketing & S…",* $0.50m,* 8,New
