ligne,date,parent,entreprise,source,dest,secteur,sous_secteur,activite,capex,emplois,type
1,Sep 2012,Grohe,Grohe,Germany,Nigeria,Consumer products,Furniture & related p…,"Sales, Marketing & S…",* $3.20m,* 37,New
2,Sep 2012,Hero Cycles,Hero Motocorp (H…,India,Nigeria,Non-automotive tran…,"Motorcycle, bicycle,…",Manufacturing,* $55.90m,* 583,New
3,Sep 2012,MicroCred,MicroCred Nigeria,France,Nigeria,Financial services,Corporate & investm…,Business Services,* $9.60m,* 27,New
4,Sep 2012,SAF Tehnika,SAF Tehnika,Latvia,Nigeria,Communications,Communications equ…,"Sales, Marketing & S…",* $4.70m,* 62,New
5,Sep 2012,Samsung Group,Samsung Electron…,South Korea,Nigeria,Consumer electronics,Electronics & applian…,Retail,* $9.20m,* 78,New
6,Aug 2012,Communications …,Transition Networks,United States,Nigeria,Communications,Communications equ…,Manufacturing,* $10.30m,* 490,New
7,Aug 2012,ExecuJet,ExecuJet,Switzerland,Nigeria,Aerospace,Aircraft,Maintenance & Servi…,* $31.10m,* 147,New
8,Aug 2012,Resilient Property …,Resilient Africa,South Africa,Nigeria,Real estate,Commercial & institu…,Construction,$44.00m,* 66,New
9,Aug 2012,Tramigo,Tramigo,Finland,Nigeria,Communications,Navigational instrum…,Technical Support Ce…,* $12.70m,* 141,New
10,Jul 2012,Ashok Leyland,Ashok Leyland,India,Nigeria,Automotive OEM,Heavy duty trucks,Manufacturing,* $94.80m,* 884,New
11,Jul 2012,BASF,BASF,Germany,Nigeria,Chemicals,Basic chemicals,Headquarters,* $14.10m,* 66,New
12,Jul 2012,Educor,Educor,South Africa,Nigeria,Business services,"Schools, colleges, un…",Education & Training,* $3.05m,* 11,New
13,Jul 2012,Talal Abu-Ghazale…,Talal Abu-Ghazale…,Jordan,Nigeria,Business services,"Professional, scientifi…",Business Services,* $27.80m,* 8,New
14,Jun 2012,3M,3M,United States,Nigeria,Consumer products,Other (Consumer pr…,"Sales, Marketing & S…",* $3.20m,* 37,New
15,Jun 2012,Clarke Group,Clarke Energy,United Kingdom,Nigeria,"Coal, oil & gas",Other electric power …,"Sales, Marketing & S…",* $7.80m,* 30,New
