ligne,date,parent,entreprise,source,dest,secteur,sous_secteur,activite,capex,emplois,type
1,Jul 2014,Universal Corpora…,Mozambique Leaf …,United States,Mozambique,Food and Beverages,Tobacco,Manufacturing,* $370.90m,900,Expansion
2,Jun 2014,Caixa Geral de De…,Banco Comercial e…,Portugal,Mozambique,Financial services,Retail banking,Business Services,* $9.60m,* 27,New
3,Jun 2014,Caixa Geral de De…,Banco Comercial e…,Portugal,Mozambique,Financial services,Retail banking,Business Services,* $9.60m,* 27,New
4,Jun 2014,Deutsche Bahn,Schenker South A…,Germany,Mozambique,Transportation & Wa…,Freight/Distribution …,"Sales, Marketing & S…",* $6.30m,* 18,New
5,Jun 2014,Emerging Markets…,Emerging Markets…,United States,Mozambique,Communications,Satellite telecommu…,"Sales, Marketing & S…",* $4.70m,* 62,New
6,Jun 2014,Savanna Tobacco,Savanna Tobacco,Zimbabwe,Mozambique,Food and Beverages,Tobacco,Manufacturing,* $51.90m,* 285,New
7,May 2014,Banco Comercial P…,Millennium BIM,Portugal,Mozambique,Financial services,Retail banking,Headquarters,* $44.20m,* 93,New
8,May 2014,Pylos,Pylos,Belgium,Mozambique,Real estate,Commercial & institu…,Construction,* $704.50m,* 578,New
9,May 2014,Pylos,Pylos,Belgium,Mozambique,Real estate,Commercial & institu…,Construction,* $704.50m,* 578,New
10,May 2014,Pylos,Pylos,Belgium,Mozambique,Real estate,Commercial & institu…,Construction,* $704.50m,* 578,New
11,May 2014,Pylos,Pylos,Belgium,Mozambique,Real estate,Commercial & institu…,Construction,* $704.50m,* 578,New
12,May 2014,Pylos,Pylos,Belgium,Mozambique,Real estate,Commercial & institu…,Construction,* $704.50m,* 578,New
13,May 2014,Pylos,Pylos,Belgium,Mozambique,Real estate,Commercial & institu…,Construction,* $704.50m,* 578,New
14,Apr 2014,Atterbury Propert…,Atterbury Propert…,South Africa,Mozambique,Real estate,Other (Real estate),Construction,* $704.50m,* 578,New
15,Apr 2014,Atterbury Propert…,Atterbury Propert…,South Africa,Mozambique,Real estate,Other (Real estate),Construction,* $704.50m,* 578,New
