ligne,date,parent,entreprise,source,dest,secteur,sous_secteur,activite,capex,emplois,type
1,Jul 2016,Gujarat Narmada …,Gujarat Narmada …,India,Kenya,Chemicals,"Pesticide, fertilisers …","Sales, Marketing & S…",* $2.80m,* 13,New
2,Jul 2016,Hinduja Group,Ashok Leyland,India,Kenya,Automotive OEM,Heavy duty trucks,Manufacturing,$4.50m,* 27,New
3,Jul 2016,Intracom Holdings,Intrasoft Internati…,Greece,Kenya,Software & IT services,Custom computer pr…,Headquarters,* $12.20m,* 73,New
4,Jul 2016,JMH Fzco,Fosroc International,UAE,Kenya,Chemicals,"Paints, coatings, add…",Manufacturing,* $37.80m,50,New
5,Jul 2016,Turner & Townsend,Turner & Townsend,United Kingdom,Kenya,Real estate,Real estate services,"Sales, Marketing & S…",* $15.90m,* 25,New
6,Jun 2016,Lotte Group,Lotte India,South Korea,Kenya,Food and Beverages,Sugar & confectionar…,"Sales, Marketing & S…",* $4.50m,* 18,New
7,Jun 2016,Snapplify,Snapplify,South Africa,Kenya,Software & IT services,Internet publishing …,"Sales, Marketing & S…",* $5.20m,* 19,New
8,May 2016,Internet Corporati…,Internet Corporati…,United States,Kenya,Software & IT services,Other computer rela…,"Sales, Marketing & S…",* $5.20m,* 19,New
9,Apr 2016,Azuri Technologies,Azuri Technologies,United Kingdom,Kenya,Consumer electronics,Audio & video equip…,"Sales, Marketing & S…",* $3.40m,* 29,New
10,Apr 2016,CICA Re,CICA Re,Togo,Kenya,Financial services,Insurance,"Sales, Marketing & S…",* $10.80m,* 78,New
11,Apr 2016,NetGuardians,NetGuardians,Switzerland,Kenya,Software & IT services,"Software publishers,…","Sales, Marketing & S…",* $5.20m,* 19,New
12,Apr 2016,Quantum Global G…,Quantum Global G…,Switzerland,Kenya,Financial services,Corporate & investm…,Business Services,* $9.60m,* 27,New
13,Mar 2016,Altegrity,Kroll,United States,Kenya,Business services,Management consult…,Business Services,* $27.80m,* 41,New
14,Mar 2016,Standard Bank Gr…,Stanlib,South Africa,Kenya,Real estate,Commercial & institu…,Construction,$11.85m,* 18,New
15,Feb 2016,Mercedes-Benz Gr…,Mercedes-Benz Gr…,Germany,Kenya,Automotive OEM,Heavy duty trucks,"Sales, Marketing & S…",* $9.70m,* 26,New
