ligne,date,parent,entreprise,source,dest,secteur,sous_secteur,activite,capex,emplois,type
1,Apr 2015,Jasco Group,Jasco Group,South Africa,Kenya,Communications,Computing infrastruc…,"Sales, Marketing & S…",* $4.70m,* 62,New
2,Apr 2015,Mars,Wrigley East Africa,United States,Kenya,Food and Beverages,Sugar & confectionar…,Manufacturing,$59.97m,* 960,Expansion
3,Mar 2015,Bharti Group,Airtel Kenya,India,Kenya,Communications,Communications equ…,Retail,* $6.30m,* 31,New
4,Mar 2015,Honeywell,ADI International,United States,Kenya,Consumer electronics,Audio & video equip…,"Sales, Marketing & S…",* $3.40m,* 29,New
5,Mar 2015,Jones Lang LaSall…,Jones Lang LaSall…,United States,Kenya,Real estate,Real estate services,"Sales, Marketing & S…",* $15.90m,* 25,New
6,Mar 2015,Quartz,Quartz,United States,Kenya,Software & IT services,Internet publishing …,"Sales, Marketing & S…",* $0.40m,* 2,New
7,Mar 2015,Sinosteel,Sinosteel,China,Kenya,Metals,Steel products,Manufacturing,* $147.40m,* 443,New
8,Mar 2015,The Royal Instituti…,The Royal Instituti…,United Kingdom,Kenya,Business services,Other support services,Headquarters,* $10.50m,* 995,New
9,Mar 2015,Toyota Motor,Toyota Tsusho,Japan,Kenya,Automotive OEM,Automobiles,Manufacturing,* $19.50m,* 884,Expansion
10,Feb 2015,Bharti Group,Airtel Kenya,India,Kenya,Communications,Wireless telecommu…,ICT & Internet Infras…,$27.35m,* 4,Expansion
11,Feb 2015,Bharti Group,Airtel Kenya,India,Kenya,Communications,Communications equ…,Retail,* $6.30m,* 31,New
12,Feb 2015,Carrefour,Carrefour,France,Kenya,Food and Beverages,Food & beverage ret…,Retail,* $12.70m,* 171,New
13,Feb 2015,China Developme…,The China-Africa …,China,Kenya,Financial services,Corporate & investm…,Business Services,* $9.60m,* 27,New
14,Feb 2015,Master Power Tec…,Master Power Tec…,South Africa,Kenya,Electronic components,Electrical equipment,"Sales, Marketing & S…",* $1.80m,* 13,New
15,Feb 2015,NMC Group,UAE Exchange Ce…,UAE,Kenya,Financial services,Retail banking,Business Services,* $9.60m,* 27,New
