ligne,date,parent,entreprise,source,dest,secteur,sous_secteur,activite,capex,emplois,type
1,Sep 2019,Katara Hospitality …,Katara Hospitality …,Qatar,Cameroon,Hotels & tourism,Accommodation,Construction,* $98.00m,* 202,New
2,Sep 2019,Sika,Sika,Switzerland,Cameroon,Building materials,Cement & concrete p…,Manufacturing,* $56.70m,* 496,New
3,Aug 2019,Guangzhou Sunda…,Sunda Cameroon,China,Cameroon,"Paper, printing & pac…",Converted paper pro…,Manufacturing,$10.18m,300,New
4,Aug 2019,Lufthansa,time:matters,Germany,Cameroon,Transportation & Wa…,Air transportation,"Logistics, Distributio…",* $167.70m,* 111,New
5,Aug 2019,Lufthansa,time:matters,Germany,Cameroon,Transportation & Wa…,Air transportation,"Logistics, Distributio…",* $167.70m,* 111,New
6,Jul 2019,African Developm…,African Developm…,Côte d Ivoire,Cameroon,Financial services,Corporate & investm…,Headquarters,* $44.20m,* 93,New
7,Jul 2019,Ethiopian Airlines,Tchadia Airlines,Ethiopia,Cameroon,Transportation & Wa…,Air transportation,"Sales, Marketing & S…",* $6.30m,* 18,New
8,Jul 2019,Onomo Hotels,Onomo Hotels,Morocco,Cameroon,Hotels & tourism,Accommodation,Construction,* $98.00m,* 202,New
9,Jul 2019,Societe Generale (…,Societe Generale (…,France,Cameroon,Financial services,Corporate & investm…,Business Services,* $9.60m,* 27,New
10,Jun 2019,Douja Promotion …,Ciment d'Afrique (…,Morocco,Cameroon,Building materials,Cement & concrete p…,Manufacturing,$32.99m,* 81,Expansion
11,Jun 2019,International Cont…,International Cont…,Philippines,Cameroon,Transportation & Wa…,Warehousing & stora…,"Logistics, Distributio…",* $167.70m,* 111,New
12,Jun 2019,Nestle,Nestle Cameroon,Switzerland,Cameroon,Food and Beverages,Dairy products,Manufacturing,$4.45m,12,Expansion
13,May 2019,Onomo Hotels,Onomo Hotels,Morocco,Cameroon,Hotels & tourism,Accommodation,Construction,$25.00m,* 63,New
14,Apr 2019,Holcim Group (Laf…,LafargeHolcim Ma…,Switzerland,Cameroon,Building materials,Cement & concrete p…,Manufacturing,$45.98m,* 113,New
15,Apr 2019,Vneuron,Vneuron,Tunisia,Cameroon,Software & IT services,Custom computer pr…,Business Services,* $5.90m,* 162,New
