ligne,date,parent,entreprise,source,dest,secteur,sous_secteur,activite,capex,emplois,type
1,Nov 2013,EMKE Group,LuLu,UAE,Morocco,Food and Beverages,Food & beverage ret…,Retail,* $12.70m,* 107,New
2,Nov 2013,La Caixa,CaixaBank,Spain,Morocco,Financial services,Retail banking,Business Services,* $9.60m,* 27,New
3,Oct 2013,Eversheds,Eversheds,United Kingdom,Morocco,Business services,Legal services,Business Services,* $27.80m,* 43,New
4,Oct 2013,International Paper,Compagnie Maroc…,United States,Morocco,"Paper, printing & pac…",Converted paper pro…,Manufacturing,$6.74m,* 34,Expansion
5,Oct 2013,International Paper,Compagnie Maroc…,United States,Morocco,"Paper, printing & pac…",Converted paper pro…,Manufacturing,$20.31m,* 103,Expansion
6,Oct 2013,Nissan,Renault-Nissan M…,Japan,Morocco,Automotive OEM,Automobiles,Manufacturing,$542.56m,"1,400",Expansion
7,Sep 2013,Coca-Cola,Coca-Cola,United States,Morocco,Food and Beverages,Soft drinks & ice,Manufacturing,$16.52m,* 89,New
8,Sep 2013,Crossing-Tech,Crossing-Tech,Switzerland,Morocco,Software & IT services,"Software publishers,…","Sales, Marketing & S…",* $5.20m,* 18,New
9,Sep 2013,Deutsche Post,DHL Morocco,Germany,Morocco,Transportation & Wa…,Freight/Distribution …,"Logistics, Distributio…",* $76.60m,* 178,New
10,Sep 2013,LTK Grupo,LTK Grupo,Spain,Morocco,Transportation & Wa…,Air transportation,"Sales, Marketing & S…",* $6.30m,* 11,New
11,Sep 2013,Marco de Comunic…,Marco de Comunic…,Spain,Morocco,Business services,"Advertising, PR, & re…",Business Services,* $27.80m,* 43,New
12,Sep 2013,NMC Group,UAE Exchange Ce…,UAE,Morocco,Financial services,Retail banking,Business Services,* $9.60m,* 27,New
13,Sep 2013,Noatum,Noatum,Spain,Morocco,Transportation & Wa…,Water transportation,"Sales, Marketing & S…",* $5.90m,17,New
14,Sep 2013,Safran Group,SAGEM,France,Morocco,Aerospace,"Aircraft engines, oth…",Manufacturing,$6.76m,150,New
15,Aug 2013,Abu Dhabi Islamic…,Abu Dhabi Islamic…,UAE,Morocco,Financial services,Retail banking,Business Services,* $9.60m,* 27,New
