ligne,date,parent,entreprise,source,dest,secteur,sous_secteur,activite,capex,emplois,type
1,Apr 2017,Tsogo Sun Holdings,Southern Sun Hot…,South Africa,Mozambique,Hotels & tourism,Accommodation,Construction,$16.36m,* 41,New
2,Mar 2017,Savannah Resourc…,Matilda Minerals,United Kingdom,Mozambique,Minerals,Nonmetallic mineral …,Manufacturing,* $66.50m,* 171,New
3,Nov 2016,Hans Merensky H…,Westfalia Fruit,South Africa,Mozambique,Food and Beverages,Fruits & vegetables …,Manufacturing,* $51.90m,* 285,New
4,Nov 2016,Kuehne + Nagel I…,Kuehne + Nagel I…,Switzerland,Mozambique,Transportation & Wa…,Freight/Distribution …,"Sales, Marketing & S…",* $6.30m,* 18,New
5,Oct 2016,Agility,Agility,Kuwait,Mozambique,Transportation & Wa…,Freight/Distribution …,"Logistics, Distributio…",* $96.90m,* 111,New
6,Aug 2016,China Railway Con…,China Railway Con…,China,Mozambique,Business services,Heavy & civil engine…,Business Services,* $27.80m,* 38,New
7,Jul 2016,International Coal…,International Coal…,India,Mozambique,"Coal, oil & gas",Fossil fuel electric po…,Electricity,* $1.04bn,* 101,New
8,Jul 2016,Shoprite,Shoprite,South Africa,Mozambique,Real estate,Commercial & institu…,Construction,* $704.50m,* 578,New
9,Jul 2016,Shoprite,Shoprite,South Africa,Mozambique,Food and Beverages,Food & beverage ret…,Retail,* $12.70m,* 107,New
10,Jul 2016,TotalEnergies (Tot…,TotalEnergies (Tot…,France,Mozambique,"Coal, oil & gas",Gasoline stations,Retail,$29.00m,* 164,New
11,Jun 2016,Vroon,Vroon Offshore Se…,Netherlands,Mozambique,Transportation & Wa…,Water transportation,"Logistics, Distributio…",* $96.90m,* 111,New
12,May 2016,Heritage Snacks a…,Heritage Snacks a…,Thailand,Mozambique,Food and Beverages,Snack food,Manufacturing,$14.03m,* 34,New
13,Apr 2016,Quantum Global G…,Quantum Global G…,Switzerland,Mozambique,Financial services,Corporate & investm…,Business Services,* $9.60m,* 27,New
14,Apr 2016,Terni Research,TerniEnergia,Italy,Mozambique,Renewable energy,Solar electric power,"Sales, Marketing & S…",* $22.90m,* 25,New
15,Mar 2016,China National Pet…,China Petroleum P…,China,Mozambique,Transportation & Wa…,Pipeline transportati…,"Logistics, Distributio…",* $4.00bn,* 3000,New
