ligne,date,parent,entreprise,source,dest,secteur,sous_secteur,activite,capex,emplois,type
1,Aug 2024,AMEA Power,AMEA Power,UAE,Uganda,Renewable energy,Solar electric power,Electricity,* $32.50m,* 57,New
2,May 2024,Alphabet Inc,Google,United States,Uganda,Communications,Wired telecommunic…,ICT & Internet Infras…,* $108.80m,* 100,New
3,May 2024,IHH Healthcare,Acibadem Healthc…,Malaysia,Uganda,Healthcare,Outpatient care cent…,Business Services,* $2.70m,* 39,New
4,Apr 2024,Star Agriwarehous…,Star Agriwarehous…,India,Uganda,Transportation & Wa…,Warehousing & stora…,"Sales, Marketing & S…",* $6.30m,* 18,New
5,Mar 2024,F & S Scientific,F & S Scientific,Kenya,Uganda,Industrial equipment,Measuring & control …,"Sales, Marketing & S…",* $2.90m,* 11,New
6,Mar 2024,Kerry Group,Kerry Group,Ireland,Uganda,Food and Beverages,Other (Food & Bever…,Manufacturing,* $22.70m,* 263,New
7,Feb 2024,Avvashya Group,Ecu Worldwide,India,Uganda,Transportation & Wa…,Water transportation,"Sales, Marketing & S…",* $6.30m,* 18,New
8,Jan 2024,Ionic Rare Earths,Rwenzori Rare Me…,Australia,Uganda,Metals,Other metal ore mini…,Extraction,$120.80m,* 180,New
9,Jan 2024,Martech Technolo…,AMASS Fintech,Belize,Uganda,Financial services,Investment manage…,Business Services,* $9.60m,* 27,New
10,Nov 2023,AFEX,AFEX,Nigeria,Uganda,Food and Beverages,Grains & oilseed,Manufacturing,* $22.70m,* 263,New
11,Nov 2023,AFEX,AFEX,Nigeria,Uganda,Food and Beverages,Grains & oilseed,"Logistics, Distributio…",* $22.50m,* 158,New
12,Nov 2023,Lapaire,Lapaire,Côte d Ivoire,Uganda,Healthcare,Offices of physicians…,Business Services,* $2.70m,* 39,New
13,Sep 2023,DKK Partners,DKK Partners,United Kingdom,Uganda,Financial services,Corporate & investm…,Business Services,* $9.60m,* 27,New
14,Sep 2023,West China Cement,West China Cement,China,Uganda,Building materials,Cement & concrete p…,Manufacturing,$1.20bn,"* 2,941",New
15,Aug 2023,LT Foods,Nature Bio Foods,India,Uganda,Food and Beverages,Grains & oilseed,Manufacturing,$0.54m,* 2,New
