ligne,date,parent,entreprise,source,dest,secteur,sous_secteur,activite,capex,emplois,type
1,Jun 2010,LG Corp,LG Electronics,South Korea,Algeria,Consumer electronics,Electronics & applian…,Retail,* $12.30m,* 97,New
2,Jun 2010,Univar,Univar,United States,Algeria,Chemicals,Other chemical prod…,"Sales, Marketing & S…",* $6.20m,* 14,New
3,May 2010,Raymond Weil,Raymond Weil,Switzerland,Algeria,Consumer products,Jewellery & silverware,Retail,* $36.90m,* 179,New
4,Mar 2010,Linde,Linde Gas,Germany,Algeria,Chemicals,Basic chemicals,Manufacturing,$22.86m,* 28,New
5,Feb 2010,A&Co,A&Co,France,Algeria,Business services,"Advertising, PR, & re…",Business Services,* $6.80m,* 15,New
6,Feb 2010,African Developm…,African Developm…,Côte d Ivoire,Algeria,Financial services,Retail banking,Business Services,* $11.00m,* 18,New
7,Jan 2010,Invensys,Invensys Operatio…,United Kingdom,Algeria,Software & IT services,"Software publishers,…","Sales, Marketing & S…",* $5.80m,* 16,New
8,Jan 2010,Laminats de Catal…,Laminats de Catal…,Spain,Algeria,Plastics,Laminated plastics pl…,Manufacturing,* $26.90m,* 107,New
9,Jan 2010,Saraiva + Associa…,Saraiva + Associa…,Portugal,Algeria,Business services,"Architectural, engine…",Business Services,* $27.80m,* 38,New
10,Jan 2010,Tunisie Leasing,Maghreb Leasing …,Tunisia,Algeria,Financial services,Corporate & investm…,Business Services,* $11.00m,* 18,New
11,Jan 2010,Tunisie Leasing,Maghreb Leasing …,Tunisia,Algeria,Financial services,Corporate & investm…,Business Services,* $11.00m,* 18,New
12,Jan 2010,Tunisie Leasing,Maghreb Leasing …,Tunisia,Algeria,Financial services,Corporate & investm…,Business Services,* $11.00m,* 18,New
13,Jan 2010,Tunisie Leasing,Maghreb Leasing …,Tunisia,Algeria,Financial services,Corporate & investm…,Business Services,* $11.00m,* 18,New
14,Jan 2010,Tunisie Leasing,Maghreb Leasing …,Tunisia,Algeria,Financial services,Corporate & investm…,Business Services,* $11.00m,* 18,New
15,Dec 2009,Societe Generale (…,Societe Generale …,France,Algeria,Financial services,Retail banking,Business Services,* $11.00m,* 18,New
