ligne,date,parent,entreprise,source,dest,secteur,sous_secteur,activite,capex,emplois,type
1,Feb 2010,Grupo Iberostar,Iberostar,Spain,Tunisia,Hotels & tourism,Accommodation,Construction,* $129.80m,* 219,New
2,Feb 2010,Grupo Iberostar,Iberostar,Spain,Tunisia,Hotels & tourism,Accommodation,Construction,* $129.80m,* 219,New
3,Feb 2010,Orange (France Te…,Orange (France Te…,France,Tunisia,Communications,Communications equ…,Customer Contact C…,* $18.10m,400,New
4,Feb 2010,Stream Global Ser…,Stream Global Ser…,United States,Tunisia,Business services,Business support ser…,Customer Contact C…,* $4.50m,* 335,New
5,Feb 2010,The O'Regan Group,The O'Regan Group,Ireland,Tunisia,Building materials,Cement & concrete p…,"Sales, Marketing & S…",* $0.50m,* 8,New
6,Jan 2010,Business Cost Ma…,Business Cost Ma…,Ireland,Tunisia,Business services,Management consult…,Business Services,* $6.80m,* 15,New
7,Jan 2010,Involys,Involys,Morocco,Tunisia,Software & IT services,Custom computer pr…,Business Services,* $13.80m,* 49,New
8,Jan 2010,Orange (France Te…,Orange (France Te…,France,Tunisia,Communications,Wireless telecommu…,ICT & Internet Infras…,* $150.00m,* 89,New
9,Jan 2010,Otto GmbH & Co …,Mezzo,Germany,Tunisia,Business services,Business support ser…,Customer Contact C…,* $10.00m,* 514,New
10,Jan 2010,Phoenix Mecano,Phoenix Mecano,Switzerland,Tunisia,Electronic components,Electrical equipment,Manufacturing,* $5.30m,* 143,Expansion
11,Dec 2009,Accenture,Accenture,Ireland,Tunisia,Software & IT services,Custom computer pr…,Business Services,* $13.80m,* 49,New
12,Dec 2009,British Gas Group …,British Gas Tunisia,United Kingdom,Tunisia,"Coal, oil & gas","Natural, liquefied an…",Manufacturing,* $1.64bn,* 146,New
13,Dec 2009,Messe Frankfurt,Messe Frankfurt,Germany,Tunisia,Business services,"Advertising, PR, & re…",Business Services,* $6.80m,* 15,New
14,Dec 2009,Rieker,Rieker,Switzerland,Tunisia,Textiles,Footwear,Manufacturing,* $13.90m,"* 1,080",New
15,Dec 2009,Setec Group,Setec Group,France,Tunisia,Business services,"Architectural, engine…",Business Services,* $6.80m,* 15,New
