ligne,date,parent,entreprise,source,dest,secteur,sous_secteur,activite,capex,emplois,type
1,Apr 2025,Kerry Group,Kerry Group,Ireland,Rwanda,Food and Beverages,Other (Food & Bever…,Manufacturing,* $45.80m,* 263,New
2,Mar 2025,Liberty Internatio…,Liberty Internatio…,Austria,Rwanda,Hotels & tourism,Travel arrangement …,"Sales, Marketing & S…",* $1.30m,* 18,New
3,Feb 2025,Agroberries,BerryWorld,Chile,Rwanda,Food and Beverages,Fruits & vegetables …,Manufacturing,* $280.30m,"1,200",New
4,Feb 2025,CF Banque,CF Banque,United Kingdom,Rwanda,Financial services,Investment manage…,Business Services,* $9.60m,* 18,New
5,Feb 2025,I&M Holding,I&M Bank,Kenya,Rwanda,Financial services,Retail banking,Business Services,* $9.60m,* 18,New
6,Feb 2025,Nsano,Nsano,Ghana,Rwanda,Software & IT services,"Software publishers,…","Sales, Marketing & S…",* $5.20m,* 18,New
7,Nov 2024,Warioba Ventures,Warioba Ventures,Tanzania,Rwanda,Financial services,Corporate & investm…,Business Services,* $9.60m,* 18,New
8,Aug 2024,CX Touchpoints Gr…,CX Touchpoints Gr…,Cameroon,Rwanda,Business services,"Professional, scientifi…",Business Services,* $27.80m,* 38,New
9,Jul 2024,Firstcode,Firstcode,Ghana,Rwanda,Business services,Business support ser…,Business Services,* $27.80m,* 38,New
10,Jul 2024,Medicamen Organ…,Medicamen Organ…,India,Rwanda,Pharmaceuticals,Pharmaceutical prep…,"Logistics, Distributio…",* $7.20m,* 125,New
11,Jun 2024,Fajar Realty,Fajar Realty,UAE,Rwanda,Real estate,Real estate services,"Sales, Marketing & S…",* $15.90m,* 25,New
12,May 2024,Alphabet Inc,Google,United States,Rwanda,Communications,Wired telecommunic…,ICT & Internet Infras…,* $122.20m,* 100,New
13,May 2024,Bennani & Associés,Bennani & Associés,Morocco,Rwanda,Business services,Legal services,Business Services,* $27.80m,* 38,New
14,May 2024,Mediterranean Shi…,Mediterranean Shi…,Switzerland,Rwanda,Transportation & Wa…,Freight/Distribution …,"Sales, Marketing & S…",* $6.30m,* 18,New
15,Apr 2024,Crestview Strategy,Crestview Strategy,Canada,Rwanda,Business services,"Advertising, PR, & re…",Business Services,* $27.80m,* 38,New
