ligne,date,parent,entreprise,source,dest,secteur,sous_secteur,activite,capex,emplois,type
1,Oct 2019,Tolaram Group,Tolaram Group,Singapore,Nigeria,Real estate,Industrial building co…,Construction,* $115.40m,* 578,New
2,Oct 2019,Transsion Holding…,Transsion Holding…,Hong Kong,Nigeria,Communications,Communications equ…,Retail,* $6.30m,* 31,New
3,Oct 2019,Verdant Capital,Verdant Capital,South Africa,Nigeria,Financial services,Corporate & investm…,Business Services,* $9.60m,* 27,New
4,Oct 2019,World Citizen Equi…,World Citizen Equi…,UAE,Nigeria,Business services,Other support services,Business Services,* $27.80m,* 8,New
5,Sep 2019,African News Age…,African News Age…,South Africa,Nigeria,Business services,"Newspaper, periodic…",Business Services,* $27.80m,* 8,New
6,Sep 2019,Arla Foods,Arla Foods,Denmark,Nigeria,Food and Beverages,Dairy products,Manufacturing,* $56.40m,* 288,New
7,Sep 2019,Chipper Cash,Chipper Cash,United States,Nigeria,Software & IT services,"Software publishers,…","Sales, Marketing & S…",* $5.20m,* 14,New
8,Sep 2019,Katara Hospitality …,Katara Hospitality …,Qatar,Nigeria,Hotels & tourism,Accommodation,Construction,* $98.00m,* 202,New
9,Sep 2019,Stallion Group,Popular Farms an…,UAE,Nigeria,Food and Beverages,Crop production,Manufacturing,* $56.40m,* 288,Expansion
10,Sep 2019,Symrise,Symrise,Germany,Nigeria,Chemicals,"Paints, coatings, add…",Research & Develop…,* $14.00m,* 49,New
11,Aug 2019,Consolidated Infra…,Conlog,South Africa,Nigeria,Industrial equipment,Measuring & control …,"Sales, Marketing & S…",* $2.90m,* 11,New
12,Aug 2019,Digital Virgo,Digital Virgo,France,Nigeria,Software & IT services,"Software publishers,…","Sales, Marketing & S…",* $5.20m,* 14,New
13,Aug 2019,Grand Capital,Grand Capital,Russia,Nigeria,Financial services,Corporate & investm…,Business Services,* $9.60m,* 27,New
14,Aug 2019,Uflex,Uflex,India,Nigeria,Plastics,Plastics packaging m…,Manufacturing,* $25.20m,* 229,New
15,Aug 2019,YNV Holdings,elev8,Cyprus,Nigeria,Business services,"Business schools, co…",Education & Training,* $9.40m,* 46,New
