ligne,date,parent,entreprise,source,dest,secteur,sous_secteur,activite,capex,emplois,type
1,Jun 2025,Cargo Naija,Cargo Naija,United Kingdom,South Africa,Transportation & Wa…,Freight/Distribution …,"Sales, Marketing & S…",* $6.30m,* 9,New
2,Jun 2025,FXMeridian,FXMeridian,Bulgaria,South Africa,Software & IT services,"Software publishers,…","Sales, Marketing & S…",* $5.20m,* 9,New
3,Jun 2025,Indish Technologies,Indish Technologies,UAE,South Africa,Software & IT services,Custom computer pr…,Business Services,* $5.90m,* 63,New
4,Jun 2025,Moment (Moment …,Moment (Moment …,UAE,South Africa,Software & IT services,"Software publishers,…","Sales, Marketing & S…",* $5.20m,* 9,New
5,Jun 2025,Rheinmetall,Rheinmetall Waffe…,Germany,South Africa,Chemicals,Other chemical prod…,"Sales, Marketing & S…",* $2.80m,* 13,New
6,Jun 2025,Rolls-Royce Holdin…,Rolls-Royce Soluti…,United Kingdom,South Africa,Engines & turbines,Engines & Turbines,Headquarters,* $16.40m,* 69,Expansion
7,Jun 2025,Schneider Electric,Schneider Electric,France,South Africa,Electronic components,Electrical equipment,Research & Develop…,* $21.90m,* 62,Co-Location
8,Jun 2025,Tillo,Tillo,United Kingdom,South Africa,Software & IT services,"Software publishers,…","Sales, Marketing & S…",* $5.20m,* 9,New
9,May 2025,ACY Group,ACY Securities,Australia,South Africa,Financial services,Corporate & investm…,Business Services,* $9.60m,* 31,New
10,May 2025,AP Moller - Maersk,AP Moller - Maersk,Denmark,South Africa,Transportation & Wa…,Warehousing & stora…,"Logistics, Distributio…",* $9.90m,* 31,New
11,May 2025,AP Moller - Maersk,AP Moller - Maersk,Denmark,South Africa,Transportation & Wa…,Warehousing & stora…,"Logistics, Distributio…",* $9.90m,* 31,New
12,May 2025,AP Moller - Maersk,AP Moller - Maersk,Denmark,South Africa,Transportation & Wa…,Warehousing & stora…,"Logistics, Distributio…",* $9.90m,* 31,New
13,May 2025,ATFX,ATFX,United Kingdom,South Africa,Financial services,Corporate & investm…,Business Services,* $9.60m,* 31,New
14,May 2025,Copenhagen Infra…,Mulilo,Denmark,South Africa,Renewable energy,Other electric power …,"Logistics, Distributio…",* $116.30m,* 37,New
15,May 2025,Copenhagen Infra…,Mulilo,Denmark,South Africa,Renewable energy,Other electric power …,"Logistics, Distributio…",* $116.30m,* 37,New
