ligne,date,parent,entreprise,source,dest,secteur,sous_secteur,activite,capex,emplois,type
1,Feb 2017,GE Aerospace (Ge…,GE Aerospace (Ge…,United States,Algeria,Industrial equipment,Mechanical power tr…,Education & Training,$4.00m,* 10,New
2,Feb 2017,Huawei Technologi…,Huawei Technologi…,China,Algeria,Communications,Communications equ…,"Sales, Marketing & S…",* $4.70m,* 62,New
3,Feb 2017,Huawei Technologi…,Huawei Technologi…,China,Algeria,Communications,Communications equ…,"Sales, Marketing & S…",* $4.70m,* 62,New
4,Feb 2017,Huawei Technologi…,Huawei Technologi…,China,Algeria,Communications,Communications equ…,"Sales, Marketing & S…",* $4.70m,* 62,New
5,Feb 2017,Huawei Technologi…,Huawei Technologi…,China,Algeria,Communications,Communications equ…,"Sales, Marketing & S…",* $4.70m,* 62,New
6,Feb 2017,Huawei Technologi…,Huawei Technologi…,China,Algeria,Communications,Communications equ…,"Sales, Marketing & S…",* $4.70m,* 62,New
7,Jan 2017,Holcim Group (Laf…,Holcim Group (Laf…,Switzerland,Algeria,Consumer products,Building material & g…,Retail,* $10.90m,* 170,New
8,Sep 2016,Eni SpA,Eni SpA,Italy,Algeria,Renewable energy,Solar electric power,Electricity,* $206.10m,* 57,New
9,Aug 2016,Elekta,Elekta,Sweden,Algeria,Medical devices,Electromedical and E…,"Sales, Marketing & S…",* $1.90m,* 18,New
10,Jul 2016,Indorama,Indorama,Singapore,Algeria,Chemicals,"Pesticide, fertilisers …",Manufacturing,* $0.68m,* 1,New
11,Jul 2016,Indorama,Indorama,Singapore,Algeria,Minerals,Nonmetallic mineral …,Extraction,* $3.15bn,"* 3,000",New
12,Jul 2016,Indorama,Indorama,Singapore,Algeria,Chemicals,"Pesticide, fertilisers …",Manufacturing,* $0.68m,* 1,New
13,Jul 2016,TransInvest,Militzer & Münch,Switzerland,Algeria,Transportation & Wa…,Freight/Distribution …,"Sales, Marketing & S…",* $6.30m,* 18,New
14,Jun 2016,Balearia (Balearia …,Balearia (Balearia …,Spain,Algeria,Transportation & Wa…,Water transportation,"Sales, Marketing & S…",* $6.30m,* 18,New
15,Jun 2016,Hyundai Motor,Hyundai Motor,South Korea,Algeria,Automotive OEM,Heavy duty trucks,Manufacturing,$63.00m,* 372,New
