ligne,date,parent,entreprise,source,dest,secteur,sous_secteur,activite,capex,emplois,type
1,Jun 2014,OM Residual UK (…,Nedbank,United Kingdom,Namibia,Financial services,Retail banking,Business Services,* $11.60m,* 38,New
2,Jun 2014,OM Residual UK (…,Nedbank,United Kingdom,Namibia,Financial services,Retail banking,Business Services,* $9.60m,* 13,New
3,May 2014,International Wor…,International Wor…,Luxembourg,Namibia,Real estate,Rental & leasing ser…,Business Services,* $1.90m,* 8,New
4,Apr 2014,TENDER,Prospectiuni,Romania,Namibia,Business services,"Professional, scientifi…",Business Services,* $27.80m,* 38,New
5,Apr 2014,Woolworths (Sout…,Woolworths (Sout…,South Africa,Namibia,Consumer products,All other general me…,Retail,* $10.90m,* 170,New
6,Jan 2014,FirstRand,First National Ban…,South Africa,Namibia,Financial services,Retail banking,Business Services,* $3.30m,11,New
7,Nov 2013,B2Gold,B2Gold,Canada,Namibia,Metals,Gold ore & silver ore…,Extraction,* $308.40m,* 717,New
8,Nov 2013,Banco Angolano d…,Banco Angolano d…,Angola,Namibia,Financial services,Retail banking,Business Services,* $9.60m,* 13,New
9,Nov 2013,Cotton On,Cotton On,Australia,Namibia,Textiles,Clothing & clothing a…,Retail,* $4.40m,* 50,New
10,Oct 2013,NMT International…,NMT International…,Netherlands,Namibia,Transportation & Wa…,Water transportation,"Sales, Marketing & S…",* $6.30m,* 18,New
11,Oct 2013,Weatherly Interna…,Weatherly Interna…,United Kingdom,Namibia,Metals,"Copper, nickel, lead,…",Extraction,* $308.40m,* 717,Expansion
12,Oct 2013,Weatherly Interna…,Weatherly Interna…,United Kingdom,Namibia,Metals,"Copper, nickel, lead,…",Extraction,* $308.40m,* 717,Expansion
13,Sep 2013,Chevron,Chevron,United States,Namibia,"Coal, oil & gas",Oil & gas extraction,"Sales, Marketing & S…",* $7.80m,* 30,New
14,Sep 2013,FirstRand,First National Ban…,South Africa,Namibia,Financial services,Retail banking,Business Services,$0.41m,5,New
15,Sep 2013,Weatherly Interna…,Weatherly Interna…,United Kingdom,Namibia,Metals,"Copper, nickel, lead,…",Extraction,* $308.40m,* 717,New
