ligne,date,parent,entreprise,source,dest,secteur,sous_secteur,activite,capex,emplois,type
1,Mar 2015,Aqarmap.com,Aqarmap.com,Egypt,Morocco,Software & IT services,Internet publishing …,"Sales, Marketing & S…",* $5.20m,* 18,New
2,Mar 2015,Ercros,Ercros,Spain,Morocco,Chemicals,"Pesticide, fertilisers …",Manufacturing,* $83.30m,* 455,New
3,Mar 2015,ExcelRise,Antares Graphics,France,Morocco,"Paper, printing & pac…",Printing & related ac…,"Sales, Marketing & S…",* $2.10m,* 10,New
4,Mar 2015,MECATHERM,MECATHERM,France,Morocco,Industrial equipment,Food product machin…,Manufacturing,* $29.80m,* 69,New
5,Feb 2015,International Asso…,International Asso…,Belgium,Morocco,Business services,Other support services,Business Services,* $27.80m,* 43,New
6,Feb 2015,International Gen…,International Gen…,UAE,Morocco,Financial services,Insurance,"Sales, Marketing & S…",* $10.80m,* 78,New
7,Feb 2015,Stellar Informatio…,Stellar Data Recov…,India,Morocco,Software & IT services,Other computer rela…,Business Services,* $5.90m,* 54,New
8,Feb 2015,Tasweek Real Esta…,Tasweek Real Esta…,UAE,Morocco,Real estate,Commercial & institu…,Construction,$55.00m,* 82,New
9,Jan 2015,Grupo Romeu,Friopuerto,Spain,Morocco,Transportation & Wa…,Warehousing & stora…,"Logistics, Distributio…",* $76.60m,* 178,New
10,Jan 2015,icflix,icflix,UAE,Morocco,Software & IT services,Internet publishing …,"Sales, Marketing & S…",* $5.20m,* 18,New
11,Jan 2015,Panalpina World T…,Panalpina World T…,Switzerland,Morocco,Transportation & Wa…,Freight/Distribution …,"Sales, Marketing & S…",* $6.30m,* 11,New
12,Jan 2015,Prada,Prada,Italy,Morocco,Textiles,Clothing & clothing a…,Retail,* $4.40m,* 50,New
13,Jan 2015,TE Connectivity (T…,TE Connectivity (T…,Switzerland,Morocco,Electronic components,All other electrical e…,Manufacturing,* $60.90m,600,New
14,Jan 2015,Voltalia,Voltalia,France,Morocco,Renewable energy,Other electric power …,"Sales, Marketing & S…",* $22.90m,* 25,New
15,Dec 2014,Dow Chemical,Dow Chemical,United States,Morocco,Chemicals,Other chemical prod…,"Sales, Marketing & S…",* $2.80m,* 13,New
