ligne,date,parent,entreprise,source,dest,secteur,sous_secteur,activite,capex,emplois,type
1,Jan 2018,Longtron Electroni…,Anycolor Compute…,China,Kenya,Business machines &…,Computer & peripher…,Manufacturing,$10.00m,300,New
2,Jan 2018,Majid Al Futtaim G…,Majid Al Futtaim G…,UAE,Kenya,Food and Beverages,Food & beverage ret…,Retail,* $12.70m,* 171,New
3,Jan 2018,Square Pharmace…,Square Pharmace…,Bangladesh,Kenya,Pharmaceuticals,Pharmaceutical prep…,Manufacturing,$75.00m,* 485,New
4,Jan 2018,XCMG Constructio…,Xuzhou Constructi…,China,Kenya,Industrial equipment,"Agriculture, construc…",Maintenance & Servi…,* $7.80m,* 34,New
5,Dec 2017,Association Famili…,Decathlon (Oxylan…,France,Kenya,Textiles,Clothing & clothing a…,Retail,* $4.40m,* 50,New
6,Dec 2017,Huawei Technologi…,Huawei Technologi…,China,Kenya,Communications,Communications equ…,Education & Training,* $11.10m,* 137,Co-Location
7,Nov 2017,International Wor…,International Wor…,Switzerland,Kenya,Real estate,Rental & leasing ser…,Business Services,* $1.90m,* 8,New
8,Nov 2017,International Wor…,International Wor…,Switzerland,Kenya,Real estate,Rental & leasing ser…,Business Services,* $1.90m,* 8,New
9,Nov 2017,Mozzart,Mozzart,Serbia,Kenya,Leisure & entertainm…,Gambling industries,Retail,* $2.60m,* 15,New
10,Nov 2017,Oracle,Oracle,United States,Kenya,Software & IT services,"Software publishers,…","Sales, Marketing & S…",* $5.20m,* 19,New
11,Oct 2017,Choppies,Choppies,Botswana,Kenya,Food and Beverages,Food & beverage ret…,Retail,* $12.70m,* 171,New
12,Oct 2017,Majid Al Futtaim G…,Majid Al Futtaim G…,UAE,Kenya,Food and Beverages,Food & beverage ret…,Retail,* $11.00m,200,New
13,Oct 2017,Microsoft,Microsoft,United States,Kenya,Software & IT services,"Software publishers,…","Sales, Marketing & S…",* $5.20m,* 19,New
14,Oct 2017,Restance,Restance,United States,Kenya,Consumer products,"Cosmetics, perfume,…",Manufacturing,* $14.40m,* 418,New
15,Oct 2017,Wilo SE,Wilo SE,Germany,Kenya,Industrial equipment,General purpose ma…,"Sales, Marketing & S…",* $2.20m,20,New
