ligne,date,parent,entreprise,source,dest,secteur,sous_secteur,activite,capex,emplois,type
1,Apr 2011,Tata Group,Tata International,India,Ethiopia,Textiles,Leather & hide tanni…,Manufacturing,* $138.00m,"* 2,182",New
2,Apr 2011,TheraSim,TheraSim,United States,Ethiopia,Software & IT services,"Software publishers,…","Sales, Marketing & S…",* $5.80m,* 16,New
3,Jan 2011,Acil Cotton Indust…,Acil Cotton Indust…,India,Ethiopia,Financial services,Corporate & investm…,Business Services,* $11.00m,* 18,New
4,Dec 2010,Nissan,Zhengzhou Nissan…,Japan,Ethiopia,Automotive compon…,Other motor vehicle …,Manufacturing,* $22.70m,* 511,New
5,Nov 2010,Africa Re,Africa Re,Nigeria,Ethiopia,Financial services,Insurance,"Sales, Marketing & S…",* $10.80m,* 91,New
6,Nov 2010,Xinxiang Kuroda …,Xinxiang Kuroda …,China,Ethiopia,Textiles,Leather & hide tanni…,Manufacturing,$67.00m,"* 3,000",New
7,Sep 2010,Libya Oil Holdings,Libya Oil Ethiopia,UAE,Ethiopia,Chemicals,"Paints, coatings, add…",Manufacturing,* $875.60m,* 455,New
8,Jul 2010,Karuturi Global,Karuturi Global,India,Ethiopia,Food and Beverages,Sugar & confectionar…,Manufacturing,$100.00m,* 654,New
9,May 2010,Export-Import Ba…,Export-Import Ba…,India,Ethiopia,Financial services,Retail banking,Business Services,* $11.00m,* 18,New
10,Apr 2010,National Bank of E…,National Bank of E…,Egypt,Ethiopia,Financial services,Retail banking,Business Services,* $11.00m,* 18,New
11,Apr 2010,The China-Africa …,The China-Africa …,China,Ethiopia,Financial services,Corporate & investm…,Business Services,* $11.00m,* 18,New
12,Jan 2010,Ruchi Group,Ruchi Soya Indust…,India,Ethiopia,Food and Beverages,Grains & oilseed,Manufacturing,* $75.00m,* 429,New
13,Nov 2009,Kanan Devan Hills…,Kanan Devan Hills…,India,Ethiopia,Food and Beverages,Coffee & tea,Manufacturing,$99.00m,* 647,New
14,Nov 2009,SunOpta,SunOpta,Canada,Ethiopia,Food and Beverages,Grains & oilseed,Manufacturing,* $75.00m,* 429,New
15,Oct 2009,Elsewedy Electric …,Elsewedy Electric …,Egypt,Ethiopia,Electronic components,Communication & en…,Manufacturing,$36.00m,235,New
