ligne,date,parent,entreprise,source,dest,secteur,sous_secteur,activite,capex,emplois,type
1,Apr 2014,Atterbury Propert…,Atterbury Propert…,South Africa,Mozambique,Real estate,Other (Real estate),Construction,* $704.50m,* 578,New
2,Apr 2014,Caixa Geral de De…,Banco Comercial e…,Portugal,Mozambique,Financial services,Retail banking,Business Services,* $9.60m,* 27,New
3,Apr 2014,WTS Energy,WTS Energy,Netherlands,Mozambique,Business services,Employment services,Business Services,* $27.80m,* 38,New
4,Apr 2014,WTS Energy,WTS Energy,Netherlands,Mozambique,Business services,Employment services,Business Services,* $27.80m,* 38,New
5,Mar 2014,Caixa Geral de De…,Banco Comercial e…,Portugal,Mozambique,Financial services,Retail banking,Business Services,* $9.60m,* 27,New
6,Mar 2014,Gras Savoye,Gras Savoye,France,Mozambique,Financial services,Insurance,"Sales, Marketing & S…",* $10.80m,* 78,New
7,Mar 2014,Haitong Bank (Ba…,Moza Banco,Portugal,Mozambique,Financial services,Retail banking,Business Services,* $9.60m,* 27,New
8,Mar 2014,Haitong Bank (Ba…,Moza Banco,Portugal,Mozambique,Financial services,Retail banking,Business Services,* $9.60m,* 27,New
9,Mar 2014,Haitong Bank (Ba…,Moza Banco,Portugal,Mozambique,Financial services,Retail banking,Business Services,* $9.60m,* 27,New
10,Feb 2014,Robert Bosch,Bosch,Germany,Mozambique,Automotive compon…,Motor vehicle electri…,"Sales, Marketing & S…",* $1.80m,* 18,New
11,Jan 2014,Syngenta,Syngenta,Switzerland,Mozambique,Chemicals,"Pesticide, fertilisers …","Sales, Marketing & S…",* $2.80m,* 13,New
12,Dec 2013,Caixa Geral de De…,Banco Comercial e…,Portugal,Mozambique,Financial services,Retail banking,Business Services,* $9.60m,* 27,New
13,Dec 2013,Fugro,Fugro,Netherlands,Mozambique,Business services,"Architectural, engine…",Research & Develop…,* $8.60m,* 73,New
14,Dec 2013,Fugro,Fugro,Netherlands,Mozambique,Business services,"Architectural, engine…",Business Services,* $27.80m,* 38,New
15,Dec 2013,Saudi Cable Comp…,Midal Cables,Saudi Arabia,Mozambique,Metals,Alumina & aluminiu…,Manufacturing,$50.00m,110,New
