ligne,date,parent,entreprise,source,dest,secteur,sous_secteur,activite,capex,emplois,type
1,Aug 2017,Claim Central Con…,Claim Central Con…,Australia,South Africa,Financial services,Insurance,"Sales, Marketing & S…",* $10.80m,* 78,New
2,Aug 2017,Enza Holding,Enza Zaden,Netherlands,South Africa,Food and Beverages,Fruits & vegetables …,"Sales, Marketing & S…",* $4.50m,* 18,New
3,Aug 2017,International Petr…,Borealis,UAE,South Africa,Plastics,"Plastic pipes, pipe fit…","Sales, Marketing & S…",* $2.00m,* 9,New
4,Aug 2017,Videobutler,Videobutler,Netherlands,South Africa,Communications,Wired telecommunic…,"Sales, Marketing & S…",* $4.70m,* 62,New
5,Aug 2017,Vitol Group,Burgan Cape Ter…,Netherlands,South Africa,Transportation & Wa…,Petroleum bulk stati…,"Logistics, Distributio…",* $9.90m,* 31,New
6,Aug 2017,YG-1,YG-1,South Korea,South Africa,Industrial equipment,Cutlery & handtools,"Sales, Marketing & S…",* $2.90m,* 11,New
7,Jul 2017,Accenture,Accenture,Ireland,South Africa,Software & IT services,Custom computer pr…,Research & Develop…,* $32.40m,* 47,New
8,Jul 2017,Anheuser-Busch I…,South African Bre…,Belgium,South Africa,Food and Beverages,Breweries,Manufacturing,* $104.55m,* 35,Expansion
9,Jul 2017,Anheuser-Busch I…,South African Bre…,Belgium,South Africa,Food and Beverages,Breweries,Manufacturing,* $104.55m,* 35,Expansion
10,Jul 2017,Apex Technologies,Static Control Co…,South Korea,South Africa,Business machines &…,Computer & peripher…,"Logistics, Distributio…",* $12.50m,* 118,New
11,Jul 2017,Arab Satellite Co…,Hellas-Sat,Saudi Arabia,South Africa,Communications,Satellite telecommu…,"Sales, Marketing & S…",* $4.70m,* 62,New
12,Jul 2017,Benchmark Intern…,Benchmark Intern…,United Kingdom,South Africa,Financial services,Corporate & investm…,Business Services,* $9.60m,* 31,New
13,Jul 2017,Dennemeyer,Dennemeyer,Luxembourg,South Africa,Business services,Legal services,Business Services,* $27.80m,* 17,New
14,Jul 2017,Grand Capital,Grand Capital,Russia,South Africa,Financial services,Corporate & investm…,Business Services,* $9.60m,* 31,New
15,Jul 2017,Hennes & Mauritz …,Hennes & Mauritz …,Sweden,South Africa,Textiles,Clothing & clothing a…,Retail,* $4.40m,* 50,New
