ligne,date,parent,entreprise,source,dest,secteur,sous_secteur,activite,capex,emplois,type
1,Sep 2013,Deutsche Post,DHL Express,Germany,South Africa,Transportation & Wa…,Freight/Distribution …,"Logistics, Distributio…",* $9.90m,* 31,Expansion
2,Sep 2013,Fund Advisers,Fund Advisers,UAE,South Africa,Financial services,Investment manage…,Business Services,* $40.50m,* 133,Expansion
3,Sep 2013,Hansa-Flex (Hans…,Hansa-Flex (Hans…,Germany,South Africa,Industrial equipment,General purpose ma…,"Sales, Marketing & S…",* $2.90m,* 11,New
4,Sep 2013,Nippon Yusen Kab…,Yusen Logistics,Japan,South Africa,Transportation & Wa…,Freight/Distribution …,"Sales, Marketing & S…",* $6.30m,* 9,New
5,Sep 2013,Omidyar Network,Omidyar Network,United States,South Africa,Financial services,Corporate & investm…,Business Services,* $9.60m,* 31,New
6,Sep 2013,One Thousand & …,One Thousand & …,United States,South Africa,Financial services,Corporate & investm…,Business Services,* $0.90m,3,New
7,Sep 2013,Plandai Biotechnol…,Green Gold Biotec…,United States,South Africa,Pharmaceuticals,Medicinal & botanical,Manufacturing,* $16.70m,205,New
8,Sep 2013,PSP Worldwide Lo…,PSP Worldwide Lo…,United Kingdom,South Africa,Transportation & Wa…,Freight/Distribution …,"Sales, Marketing & S…",* $6.30m,* 9,New
9,Sep 2013,S&P Global (McGr…,S&P Dow Jones In…,United States,South Africa,Financial services,Corporate & investm…,Business Services,* $9.60m,* 31,New
10,Sep 2013,Software AG,Software AG,Germany,South Africa,Software & IT services,"Software publishers,…","Sales, Marketing & S…",* $5.20m,* 9,Expansion
11,Sep 2013,Uber Technologies,Uber Technologies,United States,South Africa,Software & IT services,Internet publishing …,"Sales, Marketing & S…",* $5.20m,* 9,New
12,Sep 2013,Workflowz,Workflowz,United Kingdom,South Africa,Software & IT services,"Software publishers,…","Sales, Marketing & S…",* $5.20m,* 9,New
13,Aug 2013,AES Engineering,AV Technology,United Kingdom,South Africa,Business services,"Architectural, engine…",Business Services,* $27.80m,* 17,New
14,Aug 2013,Celkon Mobiles,Celkon Mobiles,India,South Africa,Communications,Communications equ…,"Sales, Marketing & S…",* $2.00m,10,New
15,Aug 2013,China Guodian Co…,China Guodian Co…,China,South Africa,Industrial equipment,General purpose ma…,Manufacturing,* $21.30m,* 60,New
