ligne,date,parent,entreprise,source,dest,secteur,sous_secteur,activite,capex,emplois,type
1,Oct 2013,Aminex,Aminex,United Kingdom,Tanzania,"Coal, oil & gas",Oil & gas extraction,Extraction,* $730.30m,* 230,New
2,Sep 2013,InnoVent Rental a…,InnoVent Rental a…,South Africa,Tanzania,Business machines &…,Computer & peripher…,"Sales, Marketing & S…",* $11.10m,* 37,New
3,Sep 2013,Millicom Internati…,Tigo Tanzania,Luxembourg,Tanzania,Communications,Wireless telecommu…,ICT & Internet Infras…,* $69.70m,* 100,New
4,Sep 2013,United Bank Limit…,United Bank Limit…,Pakistan,Tanzania,Financial services,Retail banking,Business Services,* $9.60m,* 27,New
5,Sep 2013,Vandana Luthra C…,Vandana Luthra C…,India,Tanzania,Leisure & entertainm…,"Performing arts, spe…",Retail,* $29.30m,* 58,New
6,Aug 2013,Continental Energy,Continental Energy,Canada,Tanzania,Renewable energy,Other electric power …,"Sales, Marketing & S…",* $22.90m,* 25,New
7,Aug 2013,Equity Bank,Equity Bank Tanza…,Kenya,Tanzania,Financial services,Retail banking,Business Services,* $9.60m,* 27,New
8,Aug 2013,Hellmann Worldwi…,Hellmann Worldwi…,Germany,Tanzania,Transportation & Wa…,Freight/Distribution …,"Sales, Marketing & S…",* $6.30m,* 18,New
9,Aug 2013,OM Residual UK (…,OM Residual UK (…,United Kingdom,Tanzania,Financial services,Insurance,"Sales, Marketing & S…",* $10.80m,* 78,New
10,Jun 2013,Bank of Baroda,Bank of Baroda,India,Tanzania,Financial services,Retail banking,Business Services,* $9.60m,* 27,New
11,Jun 2013,Bank of Baroda,Bank of Baroda,India,Tanzania,Financial services,Retail banking,Business Services,* $9.60m,* 27,New
12,Jun 2013,Bank of Baroda,Bank of Baroda,India,Tanzania,Financial services,Retail banking,Business Services,* $9.60m,* 27,New
13,Jun 2013,Bank of Baroda,Bank of Baroda,India,Tanzania,Financial services,Retail banking,Business Services,* $9.60m,* 27,New
14,Jun 2013,Greaves Cotton,Greaves Cotton,India,Tanzania,Industrial equipment,Mechanical power tr…,"Sales, Marketing & S…",* $2.90m,* 11,New
15,May 2013,Ecobank Transnati…,Ecobank Tanzania,Togo,Tanzania,Financial services,Retail banking,Business Services,* $9.60m,* 27,New
