ligne,date,parent,entreprise,source,dest,secteur,sous_secteur,activite,capex,emplois,type
1,Nov 2021,Zoho (AdventNet),Zoho (AdventNet),India,South Africa,Software & IT services,"Software publishers,…","Sales, Marketing & S…",* $5.20m,* 9,New
2,Oct 2021,Adidas,Adidas,Germany,South Africa,Textiles,Clothing & clothing a…,Retail,* $4.40m,* 50,New
3,Oct 2021,Aker ASA,Mainstream Rene…,Norway,South Africa,Renewable energy,Solar electric power,Electricity,* $40.50m,* 8,New
4,Oct 2021,Aker ASA,Mainstream Rene…,Norway,South Africa,Renewable energy,Wind electric power,Electricity,* $40.50m,* 8,New
5,Oct 2021,Aker ASA,Mainstream Rene…,Norway,South Africa,Renewable energy,Solar electric power,Electricity,* $40.50m,* 8,New
6,Oct 2021,Aker ASA,Mainstream Rene…,Norway,South Africa,Renewable energy,Wind electric power,Electricity,* $50.60m,* 10,New
7,Oct 2021,Aker ASA,Mainstream Rene…,Norway,South Africa,Renewable energy,Solar electric power,Electricity,* $40.50m,* 8,New
8,Oct 2021,Aker ASA,Mainstream Rene…,Norway,South Africa,Renewable energy,Solar electric power,Electricity,* $40.50m,* 8,New
9,Oct 2021,Aker ASA,Mainstream Rene…,Norway,South Africa,Renewable energy,Wind electric power,Electricity,* $40.50m,* 8,New
10,Oct 2021,Aker ASA,Mainstream Rene…,Norway,South Africa,Renewable energy,Solar electric power,Electricity,* $40.50m,* 8,New
11,Oct 2021,Aker ASA,Mainstream Rene…,Norway,South Africa,Renewable energy,Wind electric power,Electricity,* $40.50m,* 8,New
12,Oct 2021,Aker ASA,Mainstream Rene…,Norway,South Africa,Renewable energy,Solar electric power,Electricity,* $40.50m,* 8,New
13,Oct 2021,Aker ASA,Mainstream Rene…,Norway,South Africa,Renewable energy,Wind electric power,Electricity,* $50.60m,* 10,New
14,Oct 2021,Aker ASA,Mainstream Rene…,Norway,South Africa,Renewable energy,Wind electric power,Electricity,* $40.50m,* 8,New
15,Oct 2021,BasicNet,Sebago USA,Italy,South Africa,Textiles,Footwear,Retail,* $4.40m,* 50,New
