ligne,date,parent,entreprise,source,dest,secteur,sous_secteur,activite,capex,emplois,type
1,Sep 2015,Sika,Sika,Switzerland,Tanzania,Chemicals,"Paints, coatings, add…","Sales, Marketing & S…",* $2.80m,* 13,New
2,Sep 2015,Smile Telecoms H…,Smile Telecoms H…,Mauritius,Tanzania,Communications,Wireless telecommu…,ICT & Internet Infras…,* $69.70m,* 100,Expansion
3,Sep 2015,Yara International,Yara International,Norway,Tanzania,Chemicals,"Pesticide, fertilisers …","Logistics, Distributio…",$25.00m,* 58,New
4,Aug 2015,LG Corp,LG Electronics,South Korea,Tanzania,Consumer electronics,Electronics & applian…,Retail,* $9.20m,* 78,New
5,Jun 2015,Access Power MEA,Access Infra Africa,UAE,Tanzania,Renewable energy,Solar electric power,Electricity,* $29.41m,* 9,New
6,May 2015,Vodafone Group,Vodacom Tanzania,United Kingdom,Tanzania,Communications,Wireless telecommu…,ICT & Internet Infras…,* $69.70m,* 100,New
7,Apr 2015,East Africa Capital…,East Africa Capital…,Kenya,Tanzania,Communications,Computing infrastruc…,ICT & Internet Infras…,* $69.70m,* 100,New
8,Apr 2015,Millicom Internati…,Jovago.com,Luxembourg,Tanzania,Hotels & tourism,Travel arrangement …,"Sales, Marketing & S…",* $1.30m,* 18,New
9,Mar 2015,Hainan Zhongche…,Hainan Zhongche…,China,Tanzania,Food and Beverages,Crop production,Manufacturing,$10.00m,* 43,New
10,Feb 2015,Association of Cha…,Association of Cha…,United Kingdom,Tanzania,Business services,"Accounting, tax prep…",Business Services,* $27.80m,* 38,New
11,Feb 2015,Podravka,Podravka,Croatia,Tanzania,Food and Beverages,Other (Food & Bever…,"Sales, Marketing & S…",* $4.50m,* 18,New
12,Jan 2015,Commercial Bank …,Commercial Bank …,Kenya,Tanzania,Financial services,Retail banking,Business Services,* $9.60m,* 27,New
13,Jan 2015,Jotun Group,Jotun Group,Norway,Tanzania,Chemicals,"Paints, coatings, add…","Sales, Marketing & S…",* $2.80m,* 13,New
14,Jan 2015,Nakumatt Holdings,Nakumatt Holdings,Kenya,Tanzania,Food and Beverages,Food & beverage ret…,Retail,* $5.50m,100,New
15,Jan 2015,TMF Group,TMF Group,Netherlands,Tanzania,Business services,Business support ser…,Business Services,* $27.80m,* 38,New
