ligne,date,parent,entreprise,source,dest,secteur,sous_secteur,activite,capex,emplois,type
1,Apr 2026,M&Ms Vehicles Ex…,M&Ms Vehicles Ex…,Poland,Egypt,Transportation & Wa…,Freight/Distribution …,"Sales, Marketing & S…",* $6.30m,* 18,New
2,Apr 2026,Majid Al Futtaim G…,Majid Al Futtaim G…,UAE,Egypt,Food and Beverages,Food & beverage ret…,Retail,* $92.80m,* 107,New
3,Apr 2026,Nokia,Nokia,Finland,Egypt,Communications,Communications equ…,Technical Support Ce…,* $12.70m,* 141,New
4,Apr 2026,Pearl Overseas In…,Pearl Polyurethan…,UAE,Egypt,Plastics,"Urethane, foam prod…",Manufacturing,$3.00m,20,New
5,Apr 2026,Shenzhen Zhixin …,Honor (Huawei),China,Egypt,Communications,Communications equ…,Manufacturing,* $55.80m,"1,000",Expansion
6,Apr 2026,Valeo,Valeo Egypt,France,Egypt,Software & IT services,Other (Software & IT…,Research & Develop…,* $9.30m,50,New
7,Apr 2026,Yiltem Konfeksiyon,Yiltem Konfeksiyon,Turkey,Egypt,Textiles,Clothing & clothing a…,Manufacturing,$8.00m,700,New
8,Mar 2026,Alghanim Industries,Kirby Building Sys…,Kuwait,Egypt,Metals,Architectural & struc…,Research & Develop…,* $18.20m,* 66,New
9,Mar 2026,Alpine Group (Alpi…,Paradise Textiles,UAE,Egypt,Textiles,Textile product mills,Manufacturing,$102.00m,"1,200",New
10,Mar 2026,Amethis,Amethis,France,Egypt,Financial services,Investment manage…,Business Services,* $9.60m,* 27,Expansion
11,Mar 2026,TigerX,TigerX,Poland,Egypt,Pharmaceuticals,Pharmaceutical prep…,"Sales, Marketing & S…",* $5.60m,* 34,New
12,Feb 2026,Almana Group,Almana Group,Qatar,Egypt,Renewable energy,Biomass power,Manufacturing,$15.60m,* 8,New
13,Feb 2026,Capricorn Logistics,Capricorn Logistics,India,Egypt,Transportation & Wa…,Freight/Distribution …,"Sales, Marketing & S…",* $6.30m,* 18,New
14,Feb 2026,Datatec,Westcon-Comstor,South Africa,Egypt,Software & IT services,Custom computer pr…,Business Services,* $5.90m,* 275,New
15,Feb 2026,Hitachi,Hitachi Energy,Japan,Egypt,Industrial equipment,Mechanical power tr…,"Sales, Marketing & S…",* $2.90m,* 11,Expansion
