ligne,date,parent,entreprise,source,dest,secteur,sous_secteur,activite,capex,emplois,type
1,Jun 2026,Zhangjiagang Furui,Jiangsu Guofu Hy…,China,Morocco,Industrial equipment,All other industrial m…,Manufacturing,$30.21m,* 281,New
2,Jun 2026,Zhejiang Asia-Paci…,Zhejiang Asia-Paci…,China,Morocco,Automotive compon…,Motor vehicle brake …,Manufacturing,$70.00m,"* 1,019",New
3,May 2026,Absen,Absen,United States,Morocco,Electronic components,All other electrical e…,"Sales, Marketing & S…",* $1.80m,* 13,New
4,May 2026,Cegid,Cegid,France,Morocco,Software & IT services,"Software publishers,…",Research & Develop…,* $44.70m,240,New
5,May 2026,Fluidra (Aquaria G…,Fluidra (Aquaria G…,Spain,Morocco,Industrial equipment,General purpose ma…,Manufacturing,* $29.80m,69,New
6,May 2026,GE Vernova,GE Vernova,United States,Morocco,Industrial equipment,Mechanical power tr…,Research & Develop…,* $27.30m,* 62,Co-Location
7,May 2026,Haomei,Haomei Aluminiu…,China,Morocco,Metals,Alumina & aluminiu…,Manufacturing,$71.57m,* 287,New
8,May 2026,International Wor…,International Wor…,Switzerland,Morocco,Real estate,Rental & leasing ser…,Business Services,* $1.90m,* 8,New
9,May 2026,Qingdao Sentury …,Qingdao Sentury …,China,Morocco,Rubber,Tyres,Manufacturing,* $284.10m,* 592,Expansion
10,May 2026,Sampol,Sampol,Spain,Morocco,Business services,"Architectural, engine…",Business Services,* $27.80m,* 43,New
11,May 2026,SFC Solutions,SFC Solutions,Poland,Morocco,Automotive compon…,Other motor vehicle …,Manufacturing,$30.54m,900,New
12,May 2026,Shandong Weifan…,Shandong Weifan…,China,Morocco,Chemicals,"Pesticide, fertilisers …","Sales, Marketing & S…",* $2.80m,* 13,New
13,May 2026,Stellantis,Stellantis,Netherlands,Morocco,Automotive OEM,Automobiles,Recycling,$1.75m,* 70,New
14,May 2026,Trelleborg,Trelleborg,Sweden,Morocco,Rubber,Other rubber products,Manufacturing,$12.08m,175,New
15,May 2026,Zhejiang Natural …,Zhejiang Natural …,China,Morocco,Consumer products,"Sporting goods, hob…",Manufacturing,* $14.40m,* 418,New
