ligne,date,parent,entreprise,source,dest,secteur,sous_secteur,activite,capex,emplois,type
1,Sep 2013,Nexgen Packaging,Nexgen Packaging,United States,Egypt,"Paper, printing & pac…",Converted paper pro…,"Sales, Marketing & S…",* $2.10m,* 10,New
2,Aug 2013,Credit Agricole,Credit Agricole Eg…,France,Egypt,Financial services,Retail banking,Business Services,* $9.60m,* 27,New
3,Aug 2013,Middle East Broad…,Middle East Broad…,UAE,Egypt,Communications,Radio & TV broadcas…,Research & Develop…,* $6.60m,* 84,New
4,Aug 2013,Societe Nouvelle …,Societe Nouvelle …,Tunisia,Egypt,Food and Beverages,Food & beverage ret…,Retail,* $92.80m,* 107,New
5,Jul 2013,International Sola…,International Sola…,Germany,Egypt,Electronic components,All other electrical e…,Research & Develop…,* $21.90m,* 62,New
6,Jun 2013,AAE-1 Consortium,AAE-1 Consortium,China,Egypt,Communications,Wired telecommunic…,ICT & Internet Infras…,* $92.30m,* 14,New
7,Jun 2013,Cemex,Cemex,Mexico,Egypt,Building materials,Cement & concrete p…,Manufacturing,* $94.40m,* 496,Expansion
8,Jun 2013,HSBC Holdings,HSBC Egypt,United Kingdom,Egypt,Financial services,Retail banking,Business Services,* $9.60m,* 27,New
9,Jun 2013,Mars,Mars,United States,Egypt,Food and Beverages,Sugar & confectionar…,Manufacturing,$80.00m,300,Expansion
10,Jun 2013,Norton Rose Fulbri…,Norton Rose Fulbri…,United Kingdom,Egypt,Business services,Legal services,Business Services,* $27.80m,* 37,New
11,Jun 2013,Union National Ba…,Union National Ba…,UAE,Egypt,Financial services,Retail banking,Business Services,* $9.60m,* 27,New
12,Jun 2013,Union National Ba…,Union National Ba…,UAE,Egypt,Financial services,Retail banking,Business Services,* $9.60m,* 27,New
13,May 2013,Chalhoub,Chalhoub,UAE,Egypt,Textiles,Clothing & clothing a…,Retail,* $4.40m,* 50,New
14,Apr 2013,Barclays Bank,Barclays Bank,United Kingdom,Egypt,Financial services,Retail banking,Business Services,* $9.60m,* 27,New
15,Apr 2013,Credit Agricole,Credit Agricole Eg…,France,Egypt,Financial services,Retail banking,Business Services,* $9.60m,* 27,New
