ligne,date,parent,entreprise,source,dest,secteur,sous_secteur,activite,capex,emplois,type
1,Feb 2025,Siyakhaya Constr…,Siyakhaya Constr…,South Africa,Mauritius,Business services,Heavy & civil engine…,Business Services,* $27.80m,* 38,New
2,Sep 2024,Intec Energy Solu…,Intec Energy Solu…,Germany,Mauritius,Business services,"Architectural, engine…",Business Services,* $27.80m,* 38,New
3,Aug 2024,Tasheel Holding G…,Spinebiz,Saudi Arabia,Mauritius,Software & IT services,Custom computer pr…,Business Services,* $5.90m,* 162,New
4,Apr 2024,NextSource Materi…,NextSource Materi…,Canada,Mauritius,Minerals,Other non-metallic …,Manufacturing,* $66.50m,* 171,New
5,Apr 2024,Telesio,Telesio,France,Mauritius,Software & IT services,Custom computer pr…,Business Services,* $5.90m,* 162,New
6,Dec 2023,MasterCard,MasterCard,United States,Mauritius,Financial services,Retail banking,Business Services,* $9.60m,* 27,New
7,Oct 2023,Adaptive Consulti…,Adaptive Consulti…,South Africa,Mauritius,Business services,"Accounting, tax prep…",Business Services,* $27.80m,* 38,New
8,May 2023,GoGlobal,GoGlobal,Japan,Mauritius,Business services,Employment services,Business Services,* $27.80m,* 38,New
9,May 2023,Kalexius,Kalexius,Switzerland,Mauritius,Business services,Legal services,Business Services,* $27.80m,* 38,Expansion
10,Apr 2023,SoluGrowth,SoluGrowth,South Africa,Mauritius,Business services,Business support ser…,Business Services,* $27.80m,* 38,New
11,Mar 2023,Qair,Qair,France,Mauritius,Renewable energy,Solar electric power,Electricity,* $37.57m,* 12,New
12,Mar 2023,Qair,Qair,France,Mauritius,Renewable energy,Solar electric power,Electricity,* $37.57m,* 12,New
13,Mar 2023,Qair,Qair,France,Mauritius,Renewable energy,Solar electric power,Electricity,* $37.57m,* 12,New
14,Mar 2023,Qair,Qair,France,Mauritius,Renewable energy,Solar electric power,Electricity,* $37.57m,* 12,New
15,Jan 2023,Giordano,Giordano,Hong Kong,Mauritius,Textiles,Clothing & clothing a…,Retail,* $4.40m,* 50,New
