ligne,date,parent,entreprise,source,dest,secteur,sous_secteur,activite,capex,emplois,type
1,Oct 2018,Hyatt Hotels,Hyatt Hotels,United States,Ethiopia,Hotels & tourism,Accommodation,Construction,* $98.00m,* 202,New
2,Oct 2018,Oniverse (Calzedo…,Oniverse (Calzedo…,Italy,Ethiopia,Textiles,Clothing & clothing a…,Manufacturing,$15.00m,"1,100",New
3,Sep 2018,Albwardy Investm…,Albwardy Investm…,UAE,Ethiopia,Hotels & tourism,Accommodation,Construction,* $98.00m,* 202,New
4,Sep 2018,Tuttnauer,Tuttnauer,Netherlands,Ethiopia,Medical devices,Medical equipment &…,"Sales, Marketing & S…",* $1.90m,* 18,New
5,Aug 2018,Kingdom,Kingdom,China,Ethiopia,Textiles,Textile product mills,Manufacturing,$200.00m,"* 3,000",New
6,Aug 2018,KPR Mill,KPR Mill,India,Ethiopia,Textiles,Textile product mills,Manufacturing,$5.00m,500,New
7,Aug 2018,VoxAfrica,VoxAfrica,United Kingdom,Ethiopia,Communications,Radio & TV broadcas…,"Sales, Marketing & S…",* $4.70m,* 62,New
8,Jul 2018,CH International …,EKOS Steel Mill,South Korea,Ethiopia,Metals,Iron & steel mills & f…,Manufacturing,$30.88m,92,New
9,Jul 2018,Dubai World,DP World,UAE,Ethiopia,Transportation & Wa…,Freight/Distribution …,"Logistics, Distributio…",* $167.70m,* 111,New
10,Jul 2018,Isuzu Motors,Isuzu East Africa (…,Japan,Ethiopia,Automotive OEM,Light trucks & utility …,Manufacturing,* $94.80m,* 884,New
11,Jun 2018,Soufflet,Soufflet Malt (Malt…,France,Ethiopia,Food and Beverages,Grains & oilseed,Manufacturing,* $66.50m,* 294,New
12,May 2018,Coca-Cola,Coca-Cola Bevera…,United States,Ethiopia,Food and Beverages,Soft drinks & ice,Manufacturing,* $66.50m,* 294,New
13,May 2018,Shangtex Holding,Lonto Garment,China,Ethiopia,Textiles,Clothing & clothing a…,Manufacturing,$1.96m,400,New
14,May 2018,Voith Group,Voith Hydro,Germany,Ethiopia,Industrial equipment,Mechanical power tr…,"Sales, Marketing & S…",* $2.90m,* 11,New
15,Apr 2018,Fairfax Africa Fund,Fairfax Africa Fund,United States,Ethiopia,"Coal, oil & gas",Petroleum refineries,Manufacturing,$4.00bn,* 735,New
