ligne,date,parent,entreprise,source,dest,secteur,sous_secteur,activite,capex,emplois,type
1,Mar 2013,Alida,Alida,Canada,South Africa,Software & IT services,"Software publishers,…","Sales, Marketing & S…",* $5.20m,* 9,New
2,Mar 2013,Crane Worldwide …,Crane Worldwide …,United States,South Africa,Transportation & Wa…,Freight/Distribution …,"Sales, Marketing & S…",* $6.30m,* 9,New
3,Mar 2013,Crane Worldwide …,Crane Worldwide …,United States,South Africa,Transportation & Wa…,Freight/Distribution …,"Sales, Marketing & S…",* $6.30m,* 9,New
4,Mar 2013,Crane Worldwide …,Crane Worldwide …,United States,South Africa,Transportation & Wa…,Freight/Distribution …,"Sales, Marketing & S…",* $6.30m,* 9,New
5,Mar 2013,Eutopia Internatio…,Eutopia Internatio…,United Kingdom,South Africa,Business services,Employment services,Business Services,* $27.80m,* 17,New
6,Mar 2013,Factbook,Factbook,United Kingdom,South Africa,Software & IT services,"Software publishers,…","Sales, Marketing & S…",* $5.20m,* 9,New
7,Mar 2013,Huawei Technologi…,Huawei Technologi…,China,South Africa,Communications,Communications equ…,Customer Contact C…,* $9.70m,* 606,New
8,Mar 2013,Incotec,Incotec,Netherlands,South Africa,Chemicals,"Pesticide, fertilisers …",Manufacturing,$1.40m,* 2,New
9,Mar 2013,Johnson Controls …,Johnson Controls …,United States,South Africa,Automotive compon…,Motor vehicle seatin…,Manufacturing,* $18.10m,200,Expansion
10,Mar 2013,OK,Kamstrup,Denmark,South Africa,Industrial equipment,Measuring & control …,"Sales, Marketing & S…",* $2.90m,* 11,New
11,Mar 2013,Pentagon Holdings,Pentagon Freight …,United Kingdom,South Africa,Transportation & Wa…,Freight/Distribution …,"Sales, Marketing & S…",* $6.30m,* 9,New
12,Mar 2013,Procter & Gamble …,Procter & Gamble …,United States,South Africa,Consumer products,"Cosmetics, perfume,…",Manufacturing,$173.88m,500,New
13,Mar 2013,Russian Technolog…,Russian Helicopters,Russia,South Africa,Aerospace,Aircraft,Maintenance & Servi…,* $31.10m,* 147,New
14,Mar 2013,Spencer Ogden En…,Spencer Ogden En…,United Kingdom,South Africa,Business services,Employment services,Business Services,* $27.80m,* 17,New
15,Mar 2013,tna,tna,Australia,South Africa,"Paper, printing & pac…",Converted paper pro…,"Sales, Marketing & S…",* $2.10m,* 10,New
