ligne,date,parent,entreprise,source,dest,secteur,sous_secteur,activite,capex,emplois,type
1,Aug 2017,Seafrigo,Seafrigo,France,Côte d Ivoire,Transportation & Wa…,Freight/Distribution …,"Logistics, Distributio…",* $85.90m,* 111,New
2,Jul 2017,Carrefour,Carrefour,France,Côte d Ivoire,Food and Beverages,Food & beverage ret…,Retail,* $12.70m,* 107,New
3,Jul 2017,CBI,CBI,Morocco,Côte d Ivoire,Software & IT services,Custom computer pr…,Business Services,* $5.90m,* 162,New
4,Jun 2017,African Media Age…,African Media Age…,UAE,Côte d Ivoire,Business services,"Advertising, PR, & re…",Business Services,* $27.80m,* 38,New
5,Jun 2017,BNP Paribas,La Banque interna…,France,Côte d Ivoire,Financial services,Corporate & investm…,Business Services,* $3.00m,10,Co-Location
6,Jun 2017,Siemens,Siemens,Germany,Côte d Ivoire,Electronic components,All other electrical e…,"Sales, Marketing & S…",* $1.80m,* 13,New
7,Jun 2017,Societe Arabe Des…,Societe Arabe Des…,Tunisia,Côte d Ivoire,Pharmaceuticals,Pharmaceutical prep…,Manufacturing,$17.03m,* 110,New
8,May 2017,GE Aerospace (Ge…,GE Aerospace (Ge…,United States,Côte d Ivoire,Software & IT services,Other (Software & IT…,Research & Develop…,* $32.40m,* 146,New
9,May 2017,Nestle,Nestle,Switzerland,Côte d Ivoire,Food and Beverages,Other (Food & Bever…,"Logistics, Distributio…",$10.25m,* 29,New
10,Apr 2017,iSon Group,iSON Technologies,Nigeria,Côte d Ivoire,Software & IT services,"Software publishers,…","Sales, Marketing & S…",* $5.20m,* 18,New
11,Feb 2017,Abax Corporate S…,Abax Corporate S…,Mauritius,Côte d Ivoire,Financial services,Corporate & investm…,Business Services,* $9.60m,* 27,New
12,Feb 2017,Jaime Mascaro,Pretty Ballerinas,Spain,Côte d Ivoire,Textiles,Footwear,Retail,* $4.40m,* 50,New
13,Jan 2017,Azelis,Azelis,Belgium,Côte d Ivoire,Chemicals,"Paints, coatings, add…","Sales, Marketing & S…",* $2.80m,* 13,New
14,Dec 2016,Association Famili…,Decathlon (Oxylan…,France,Côte d Ivoire,Textiles,Clothing & clothing a…,Retail,* $2.50m,20,New
15,Dec 2016,Power Constructio…,Power Constructio…,China,Côte d Ivoire,Business services,Heavy & civil engine…,Business Services,* $27.80m,* 38,New
