ligne,date,parent,entreprise,source,dest,secteur,sous_secteur,activite,capex,emplois,type
1,Jul 2024,Moharram & Partn…,Moharram & Partn…,Egypt,South Africa,Business services,"Advertising, PR, & re…",Business Services,* $27.80m,* 17,New
2,Jul 2024,Occony,Occony,Netherlands,South Africa,Consumer products,Furniture & related p…,"Sales, Marketing & S…",* $3.20m,* 37,New
3,Jul 2024,Opus Fund Services,Opus Fund Services,Bermuda,South Africa,Financial services,Investment manage…,Business Services,* $9.60m,* 31,New
4,Jul 2024,San Miguel Global,San Miguel Global,Argentina,South Africa,Food and Beverages,Fruits & vegetables …,Manufacturing,* $123.60m,120,New
5,Jul 2024,Shorza,Shorza,United Kingdom,South Africa,Business services,Business support ser…,Business Services,* $27.80m,* 17,New
6,Jul 2024,Under Armour,Under Armour,United States,South Africa,Textiles,Clothing & clothing a…,Retail,* $4.40m,* 50,New
7,Jun 2024,Bluesun Solar,Bluesun Solar,China,South Africa,Electronic components,All other electrical e…,"Sales, Marketing & S…",* $1.80m,* 13,New
8,Jun 2024,Breega,Breega,France,South Africa,Financial services,Corporate & investm…,Business Services,* $9.60m,* 31,New
9,Jun 2024,Econet Global,Africa Data Centres,Mauritius,South Africa,Communications,Computing infrastruc…,ICT & Internet Infras…,* $90.30m,* 100,Expansion
10,Jun 2024,Feerica,Feerica,Portugal,South Africa,Electronic components,All other electrical e…,"Sales, Marketing & S…",* $1.80m,* 13,New
11,Jun 2024,Grandeur Property…,Grandeur Property…,United Kingdom,South Africa,Real estate,Rental & leasing ser…,Business Services,* $1.90m,* 8,New
12,Jun 2024,Hudson Sandler,Hudson Sandler,United Kingdom,South Africa,Business services,"Advertising, PR, & re…",Business Services,* $27.80m,* 17,New
13,Jun 2024,Suffa,Suffa,Portugal,South Africa,Consumer products,Furniture & related p…,Retail,* $10.90m,* 170,New
14,Jun 2024,Viewwave,Viewwave,Netherlands,South Africa,Software & IT services,Custom computer pr…,Business Services,* $5.90m,* 63,New
15,May 2024,Acora,Acora,United Kingdom,South Africa,Software & IT services,Custom computer pr…,Business Services,* $5.90m,* 63,New
