ligne,date,parent,entreprise,source,dest,secteur,sous_secteur,activite,capex,emplois,type
1,May 2019,FrieslandCampina,FrieslandCampina,Netherlands,Côte d Ivoire,Food and Beverages,Dairy products,Headquarters,* $27.80m,* 86,New
2,Apr 2019,Cellulant,Cellulant,Kenya,Côte d Ivoire,Software & IT services,"Software publishers,…","Sales, Marketing & S…",* $5.20m,* 18,New
3,Apr 2019,Der Mond Group,Der Mond Oil and …,UAE,Côte d Ivoire,Business services,"Technical, trade & ot…",Business Services,* $27.80m,* 38,New
4,Apr 2019,Digital Virgo,Digital Virgo,France,Côte d Ivoire,Software & IT services,"Software publishers,…","Sales, Marketing & S…",* $5.20m,* 18,New
5,Apr 2019,Endeavour Mining,Endeavour Mining,Cayman Islands,Côte d Ivoire,Metals,Nonferrous metal pr…,Manufacturing,$412.00m,"* 2,820",Co-Location
6,Apr 2019,IT-Development,IT-Development,France,Côte d Ivoire,Software & IT services,"Software publishers,…","Sales, Marketing & S…",* $5.20m,* 18,New
7,Apr 2019,JB Foods,JB Foods,Singapore,Côte d Ivoire,Food and Beverages,Sugar & confectionar…,"Sales, Marketing & S…",* $4.50m,* 18,New
8,Mar 2019,Allianz Group,Allianz Africa,Germany,Côte d Ivoire,Financial services,Insurance,"Sales, Marketing & S…",* $10.80m,* 78,New
9,Mar 2019,Fracht,Fracht,Switzerland,Côte d Ivoire,Transportation & Wa…,Freight/Distribution …,"Sales, Marketing & S…",* $6.30m,* 18,New
10,Mar 2019,Globeleq Generati…,Azito Energie,United Kingdom,Côte d Ivoire,"Coal, oil & gas",Fossil fuel electric po…,Electricity,* $679.20m,* 101,Expansion
11,Mar 2019,LDA Audio Tech,LDA Audio Tech,Spain,Côte d Ivoire,Consumer electronics,Audio & video equip…,"Sales, Marketing & S…",* $3.40m,* 29,New
12,Mar 2019,Norden,Norden,Denmark,Côte d Ivoire,Transportation & Wa…,Water transportation,"Sales, Marketing & S…",* $6.30m,* 18,New
13,Mar 2019,Office Cherifien de…,Office Cherifien de…,Morocco,Côte d Ivoire,Chemicals,"Pesticide, fertilisers …",Manufacturing,$10.00m,* 13,New
14,Jan 2019,Armor,Armor,France,Côte d Ivoire,Chemicals,Other chemical prod…,"Sales, Marketing & S…",* $2.80m,* 13,New
15,Jan 2019,Toyota Motor,CFAO Group,Japan,Côte d Ivoire,Food and Beverages,Food & beverage ret…,Retail,* $12.70m,* 107,New
