ligne,date,parent,entreprise,source,dest,secteur,sous_secteur,activite,capex,emplois,type
1,Mar 2008,Terex,Terex Construction,United States,South Africa,Industrial equipment,"Agriculture, construc…",Education & Training,* $6.40m,* 60,New
2,Mar 2008,Verizon Communi…,Verizon Business,United States,South Africa,Communications,Wired telecommunic…,ICT & Internet Infras…,* $90.30m,* 100,New
3,Feb 2008,Frost & Sullivan,Frost & Sullivan,United States,South Africa,Business services,Management consult…,Business Services,* $6.80m,* 15,New
4,Feb 2008,Gemological Instit…,Gemological Instit…,United States,South Africa,Minerals,Other non-metallic …,Research & Develop…,* $24.70m,* 200,New
5,Feb 2008,Lonrho,Lonrho Springs,United Kingdom,South Africa,Food and Beverages,Soft drinks & ice,Manufacturing,$5.30m,* 20,New
6,Feb 2008,Sinosteel,Sinosteel,China,South Africa,Metals,Iron & steel mills & f…,Manufacturing,$440.00m,"* 3,000",New
7,Feb 2008,Spirax Sarco Engi…,Watson-Marlow Fl…,United Kingdom,South Africa,Industrial equipment,General purpose ma…,"Sales, Marketing & S…",* $2.90m,* 17,New
8,Feb 2008,Suzuki Motor,Suzuki Motor,Japan,South Africa,Automotive OEM,Automobiles,"Sales, Marketing & S…",* $10.10m,* 38,New
9,Jan 2008,Bally Technologies,Bally Technologies,United States,South Africa,Leisure & entertainm…,Gambling industries,"Sales, Marketing & S…",* $7.90m,* 4,New
10,Jan 2008,China Sunergy,China Sunergy,China,South Africa,Electronic components,All other electrical e…,"Sales, Marketing & S…",* $1.80m,* 13,New
11,Jan 2008,End2End,End2End,Denmark,South Africa,Communications,Wireless telecommu…,"Sales, Marketing & S…",* $7.50m,* 16,New
12,Jan 2008,Epicor Software,Epicor Software,United States,South Africa,Software & IT services,"Software publishers,…","Sales, Marketing & S…",* $5.80m,* 9,New
13,Jan 2008,Ford Motor Compa…,Ford Motor Compa…,United States,South Africa,Automotive OEM,Light trucks & utility …,Manufacturing,$214.00m,"* 1,148",New
14,Jan 2008,Incotec,Incotec,Netherlands,South Africa,Chemicals,"Pesticide, fertilisers …",Manufacturing,* $0.80m,1,New
15,Jan 2008,Navyblue Design …,Navyblue Design …,United Kingdom,South Africa,Business services,"Advertising, PR, & re…",Business Services,* $6.80m,* 15,New
