ligne,date,parent,entreprise,source,dest,secteur,sous_secteur,activite,capex,emplois,type
1,Jun 2009,Aviareps,Aviareps,Germany,South Africa,Hotels & tourism,Travel arrangement …,"Sales, Marketing & S…",* $0.90m,* 13,New
2,Jun 2009,CMS Computers Ltd,Systime,India,South Africa,Software & IT services,"Software publishers,…","Sales, Marketing & S…",* $5.80m,* 9,New
3,Jun 2009,CMS Computers Ltd,Systime,India,South Africa,Software & IT services,"Software publishers,…","Sales, Marketing & S…",* $5.80m,* 9,New
4,Jun 2009,Dohler,Dohler,Germany,South Africa,Food and Beverages,Other (Food & Bever…,"Sales, Marketing & S…",* $4.50m,* 18,New
5,Jun 2009,Groupe PSA (PSA …,Gefco,France,South Africa,Transportation & Wa…,Freight/Distribution …,"Sales, Marketing & S…",* $15.30m,* 10,New
6,Jun 2009,Hahn Air,Hahn Air,Germany,South Africa,Transportation & Wa…,Air transportation,"Sales, Marketing & S…",* $15.30m,* 10,New
7,Jun 2009,Kamdar,Kamdar,Malaysia,South Africa,Textiles,Clothing & clothing a…,Retail,* $11.90m,* 86,New
8,Jun 2009,Navistar Internati…,Navistar Internati…,United States,South Africa,Automotive compon…,Other motor vehicle …,"Logistics, Distributio…",* $18.20m,* 65,New
9,Jun 2009,Trusted Logic,Trusted Logic,France,South Africa,Software & IT services,"Software publishers,…","Sales, Marketing & S…",* $5.80m,* 9,New
10,Jun 2009,Woolworths Group,Woolworths Group,Australia,South Africa,Food and Beverages,Food & beverage ret…,Retail,* $16.60m,* 177,New
11,May 2009,Aggreko,Aggreko,United Kingdom,South Africa,Industrial equipment,"Ventilation, heating,…","Sales, Marketing & S…",$12.30m,* 143,New
12,May 2009,Air Charter Servic…,Air Charter Servic…,United Kingdom,South Africa,Transportation & Wa…,Air transportation,"Sales, Marketing & S…",* $15.30m,* 10,New
13,May 2009,Astrum Holdings L…,Astrum Holdings L…,Hong Kong,South Africa,Business machines &…,Computer & peripher…,"Sales, Marketing & S…",* $11.10m,* 37,New
14,May 2009,Mitsubishi Heavy I…,Mitsubishi Heavy I…,Japan,South Africa,Renewable energy,Wind electric power,"Sales, Marketing & S…",* $155.50m,* 22,New
15,May 2009,Moshi Moshi,Blue Blood,Netherlands,South Africa,Textiles,Clothing & clothing a…,Retail,* $11.90m,* 86,New
