ligne,date,parent,entreprise,source,dest,secteur,sous_secteur,activite,capex,emplois,type
1,Dec 2015,SAP,SAP,Germany,Angola,Software & IT services,"Software publishers,…","Sales, Marketing & S…",* $5.20m,* 18,New
2,Dec 2015,TotalEnergies (Tot…,TotalEnergies (Tot…,France,Angola,"Coal, oil & gas",Gasoline stations,Retail,* $29.00m,* 164,New
3,Nov 2015,TotalEnergies (Tot…,Total E&P Angola,France,Angola,"Coal, oil & gas",Oil & gas extraction,Extraction,* $2.49bn,* 230,Expansion
4,Oct 2015,Alcatel-Lucent,Alcatel Submarine…,France,Angola,Communications,Wired telecommunic…,ICT & Internet Infras…,* $122.20m,* 100,New
5,Oct 2015,GapNet,Globalis Travel,Brazil,Angola,Hotels & tourism,Travel arrangement …,"Sales, Marketing & S…",* $1.00m,* 20,New
6,Sep 2015,Tecnospan (Azcon…,Tecnospan (Azcon…,Spain,Angola,Industrial equipment,"Agriculture, construc…",Manufacturing,* $29.80m,* 219,New
7,Jun 2015,Dow Chemical,Dow Chemical,United States,Angola,Chemicals,Other chemical prod…,"Sales, Marketing & S…",* $2.80m,* 13,New
8,Apr 2015,Trafigura Beheer,Puma Energy Inte…,Netherlands,Angola,Transportation & Wa…,Petroleum bulk stati…,"Logistics, Distributio…",* $167.70m,* 111,New
9,Jan 2015,United Bank for Af…,United Bank for Af…,Nigeria,Angola,Financial services,Retail banking,Business Services,* $9.60m,* 9,New
10,Nov 2014,Bank of Africa (B…,Bank of Africa,Morocco,Angola,Financial services,Retail banking,Business Services,* $9.60m,* 9,New
11,Sep 2014,Webtickets,Webtickets,South Africa,Angola,Software & IT services,Internet publishing …,"Sales, Marketing & S…",* $5.20m,* 18,New
12,Jul 2014,Fugro,Fugro,Netherlands,Angola,Business services,"Architectural, engine…",Business Services,* $27.80m,* 38,New
13,Jul 2014,TGS Global,TGS Alberto Soare…,United Kingdom,Angola,Business services,"Accounting, tax prep…",Business Services,* $27.80m,* 38,New
14,Jun 2014,Remgro,Distell Group,South Africa,Angola,Food and Beverages,Distilleries,Manufacturing,* $34.50m,* 100,New
15,Apr 2014,Clinix Healthcare,Clinix Healthcare,Kenya,Angola,Healthcare,Outpatient care cent…,Business Services,* $2.70m,* 39,New
