ligne,date,parent,entreprise,source,dest,secteur,sous_secteur,activite,capex,emplois,type
1,Feb 2019,FUCHS (Fuchs Pet…,Fuchs Lubricants,Germany,Tanzania,Chemicals,"Paints, coatings, add…","Sales, Marketing & S…",* $5.30m,50,New
2,Jan 2019,Huajian Group,Huajian Group,China,Tanzania,Textiles,Clothing & clothing a…,Manufacturing,$118.00m,"* 2,957",New
3,Nov 2018,Albwardy Investm…,Albwardy Investm…,UAE,Tanzania,Hotels & tourism,Accommodation,Construction,* $98.00m,* 202,New
4,Nov 2018,Beijing Automotiv…,Beiqi Foton Motor,China,Tanzania,Automotive OEM,Heavy duty trucks,Manufacturing,* $94.80m,* 884,New
5,Nov 2018,Youngsan Handel,Youngsan Glonet,Austria,Tanzania,Automotive OEM,Heavy duty trucks,Manufacturing,* $84.70m,500,New
6,Sep 2018,Barrick Gold,African Barrick Gold,Canada,Tanzania,Metals,Gold ore & silver ore…,Shared Services Cen…,* $12.90m,* 224,New
7,Sep 2018,NIC Bank,NIC Bank Tanzania,Kenya,Tanzania,Financial services,Corporate & investm…,Business Services,* $9.60m,* 27,New
8,Sep 2018,NIC Bank,NIC Bank Tanzania,Kenya,Tanzania,Financial services,Corporate & investm…,Business Services,* $9.60m,* 27,New
9,Jul 2018,Fracht,Fracht,Switzerland,Tanzania,Transportation & Wa…,Freight/Distribution …,"Sales, Marketing & S…",* $6.30m,* 18,New
10,Jul 2018,KT Corporation,KT Corporation,South Korea,Tanzania,Communications,Computing infrastruc…,ICT & Internet Infras…,* $69.70m,* 100,New
11,Jun 2018,China Canton Inv…,China Canton Inv…,Singapore,Tanzania,Food and Beverages,Crop production,Manufacturing,$10.00m,* 43,New
12,Jun 2018,International Wor…,International Wor…,Switzerland,Tanzania,Real estate,Rental & leasing ser…,Business Services,* $1.90m,* 8,New
13,Jun 2018,International Wor…,International Wor…,Switzerland,Tanzania,Real estate,Rental & leasing ser…,Business Services,* $1.90m,* 8,New
14,May 2018,Al Danube Buildin…,Danube Home,UAE,Tanzania,Consumer products,Furniture & related p…,Retail,* $10.90m,* 170,New
15,May 2018,BASF,BASF,Germany,Tanzania,Chemicals,Basic chemicals,"Sales, Marketing & S…",* $2.80m,* 13,New
