ligne,date,parent,entreprise,source,dest,secteur,sous_secteur,activite,capex,emplois,type
1,Aug 2007,Orascom Construc…,Orascom Construc…,Egypt,South Africa,Building materials,Cement & concrete p…,Manufacturing,$440.00m,* 840,New
2,Jul 2007,Eastern Platinum …,Eastern Platinum …,Canada,South Africa,Metals,Other fabricated met…,Manufacturing,* $76.80m,* 223,Co-Location
3,Jul 2007,Garlands,Garlands,United Kingdom,South Africa,Business services,Business support ser…,Customer Contact C…,* $4.50m,* 350,New
4,Jul 2007,Propel Software,Propel Software,United States,South Africa,Software & IT services,Internet publishing …,"Sales, Marketing & S…",* $5.80m,* 9,New
5,Jul 2007,Sun Ace Corporati…,Sun Ace Corporati…,Japan,South Africa,Chemicals,"Paints, coatings, add…",Manufacturing,* $33.80m,* 149,New
6,Jun 2007,Advanced Micro D…,Advanced Micro D…,United States,South Africa,Semiconductors,Semiconductors & ot…,"Sales, Marketing & S…",* $3.10m,* 13,New
7,Jun 2007,Antal International,Antal International,United Kingdom,South Africa,Business services,Employment services,Business Services,* $6.80m,* 15,New
8,Jun 2007,ASG Technologies,ASG Software Sol…,United States,South Africa,Software & IT services,"Software publishers,…","Sales, Marketing & S…",* $5.80m,* 9,New
9,Jun 2007,Bilfinger (Bilfinger…,Steinmuller Africa,Germany,South Africa,Industrial equipment,"Boiler, tank, & shippi…",Manufacturing,$13.88m,124,New
10,Jun 2007,John Brown Media,John Brown Media,United Kingdom,South Africa,Business services,"Advertising, PR, & re…",Business Services,* $27.80m,* 17,New
11,Jun 2007,Mahle Behr,Behr South Africa,Germany,South Africa,Automotive compon…,Other motor vehicle …,Manufacturing,$14.03m,* 197,New
12,Jun 2007,S&P Global (McGr…,Standard & Poor's…,United States,South Africa,Financial services,Corporate & investm…,Business Services,* $11.00m,* 21,New
13,Jun 2007,TenStep,TenStep,United States,South Africa,Business services,Management consult…,Business Services,* $6.80m,* 15,New
14,Jun 2007,Verna Group,Verna Group,United Kingdom,South Africa,Medical devices,Medical equipment &…,"Sales, Marketing & S…",* $1.50m,* 15,New
15,May 2007,Eyeblaster,Eyeblaster,United States,South Africa,Software & IT services,Internet publishing …,"Sales, Marketing & S…",* $5.80m,* 9,New
