produit,sens,annee,valeur,poids,edition
Or non monétaire,export,2021,539778,19,2025
Or non monétaire,export,2022,580607,18,2025
Or non monétaire,export,2023,530410,17,2025
Or non monétaire,export,2024,588502,16,2025
Or non monétaire,export,2025,977997,19,2025
Zirconium,export,2021,62464,91558,2025
Zirconium,export,2022,87623,89085,2025
Zirconium,export,2023,61478,74529,2025
Zirconium,export,2024,77459,98626,2025
Zirconium,export,2025,68389,119777,2025
Titane,export,2021,87840,587818,2025
Titane,export,2022,115805,508265,2025
Titane,export,2023,85127,402352,2025
Titane,export,2024,98113,569804,2025
Titane,export,2025,85754,581631,2025
"Préparations pour soupes, potages, bouillons",export,2021,84285,79593,2025
"Préparations pour soupes, potages, bouillons",export,2022,102989,81083,2025
"Préparations pour soupes, potages, bouillons",export,2023,90341,66034,2025
"Préparations pour soupes, potages, bouillons",export,2024,93465,67475,2025
"Préparations pour soupes, potages, bouillons",export,2025,20765,15234,2025
Autres produits,export,2021,662907,1546261,2025
Autres produits,export,2022,784820,1537117,2025
Autres produits,export,2023,780143,1480430,2025
Autres produits,export,2024,826218,1694868,2025
Autres produits,export,2025,1175536,1644001,2025
