chapitre,sens,annee,valeur,poids,edition
Animaux vivants,export,2017,198,23,2021
Animaux vivants,export,2018,97,20,2021
Animaux vivants,export,2019,110,7,2021
Animaux vivants,export,2020,146,9,2021
Animaux vivants,export,2021,45,3,2021
Viandes et abats comestibles,export,2017,748,852,2021
Viandes et abats comestibles,export,2018,1404,1880,2021
Viandes et abats comestibles,export,2019,1056,1375,2021
Viandes et abats comestibles,export,2020,127,30,2021
Viandes et abats comestibles,export,2021,132,29,2021
"Poissons et crustacés, mollusques et autres invertébrés aquatiques",export,2017,230280,225763,2021
"Poissons et crustacés, mollusques et autres invertébrés aquatiques",export,2018,262495,241382,2021
"Poissons et crustacés, mollusques et autres invertébrés aquatiques",export,2019,290663,306894,2021
"Poissons et crustacés, mollusques et autres invertébrés aquatiques",export,2020,248106,328575,2021
"Poissons et crustacés, mollusques et autres invertébrés aquatiques",export,2021,301232,307054,2021
"Lait, oeufs d'oiseaux, miel, produits comestibles d'animaux n.d.c.a.",export,2017,3941,3719,2021
"Lait, oeufs d'oiseaux, miel, produits comestibles d'animaux n.d.c.a.",export,2018,5216,4370,2021
"Lait, oeufs d'oiseaux, miel, produits comestibles d'animaux n.d.c.a.",export,2019,3458,3519,2021
"Lait, oeufs d'oiseaux, miel, produits comestibles d'animaux n.d.c.a.",export,2020,5675,3993,2021
"Lait, oeufs d'oiseaux, miel, produits comestibles d'animaux n.d.c.a.",export,2021,5546,3969,2021
"Autres produits d'origine animale, non dénommés ni compris ailleurs",export,2017,98,573,2021
"Autres produits d'origine animale, non dénommés ni compris ailleurs",export,2018,33,132,2021
"Autres produits d'origine animale, non dénommés ni compris ailleurs",export,2019,61,192,2021
"Autres produits d'origine animale, non dénommés ni compris ailleurs",export,2020,120,225,2021
"Autres produits d'origine animale, non dénommés ni compris ailleurs",export,2021,446,608,2021
Plantes vivantes et produits de la floriculture,export,2017,281,174,2021
Plantes vivantes et produits de la floriculture,export,2018,492,364,2021
Plantes vivantes et produits de la floriculture,export,2019,408,216,2021
Plantes vivantes et produits de la floriculture,export,2020,487,229,2021
Plantes vivantes et produits de la floriculture,export,2021,523,287,2021
"Légumes, plantes, racines et tubercules alimentaires",export,2017,39808,62361,2021
"Légumes, plantes, racines et tubercules alimentaires",export,2018,40126,62930,2021
"Légumes, plantes, racines et tubercules alimentaires",export,2019,41010,60428,2021
"Légumes, plantes, racines et tubercules alimentaires",export,2020,51164,66004,2021
"Légumes, plantes, racines et tubercules alimentaires",export,2021,60282,112228,2021
"Fruits comestibles, écorces d'agrumes ou de melons",export,2017,21721,45936,2021
"Fruits comestibles, écorces d'agrumes ou de melons",export,2018,38456,64784,2021
"Fruits comestibles, écorces d'agrumes ou de melons",export,2019,58871,114953,2021
"Fruits comestibles, écorces d'agrumes ou de melons",export,2020,42652,88026,2021
"Fruits comestibles, écorces d'agrumes ou de melons",export,2021,83801,141528,2021
"Café, thé, maté et épices",export,2017,1064,1685,2021
"Café, thé, maté et épices",export,2018,2387,3496,2021
"Café, thé, maté et épices",export,2019,1189,1456,2021
"Café, thé, maté et épices",export,2020,1334,1577,2021
"Café, thé, maté et épices",export,2021,1114,1401,2021
Céréales,export,2017,18804,85239,2021
Céréales,export,2018,25810,118222,2021
Céréales,export,2019,30918,135710,2021
Céréales,export,2020,15205,64931,2021
Céréales,export,2021,25692,104495,2021
"Produits de la minoterie, malt, amidons et fécules, inuline, gluten de froment",export,2017,3086,12202,2021
"Produits de la minoterie, malt, amidons et fécules, inuline, gluten de froment",export,2018,3891,15671,2021
"Produits de la minoterie, malt, amidons et fécules, inuline, gluten de froment",export,2019,3039,11386,2021
"Produits de la minoterie, malt, amidons et fécules, inuline, gluten de froment",export,2020,3375,12401,2021
"Produits de la minoterie, malt, amidons et fécules, inuline, gluten de froment",export,2021,8485,30864,2021
"Oléagineux, graines, semences, plantes industrielles, médicinales, pailles",export,2017,52647,108257,2021
"Oléagineux, graines, semences, plantes industrielles, médicinales, pailles",export,2018,46939,119084,2021
"Oléagineux, graines, semences, plantes industrielles, médicinales, pailles",export,2019,114488,330991,2021
"Oléagineux, graines, semences, plantes industrielles, médicinales, pailles",export,2020,116909,271663,2021
"Oléagineux, graines, semences, plantes industrielles, médicinales, pailles",export,2021,160889,347676,2021
"Gommes, résines et autres sucs et extraits végétaux",export,2017,1540,3705,2021
"Gommes, résines et autres sucs et extraits végétaux",export,2018,946,1734,2021
"Gommes, résines et autres sucs et extraits végétaux",export,2019,714,2435,2021
"Gommes, résines et autres sucs et extraits végétaux",export,2020,1463,4228,2021
"Gommes, résines et autres sucs et extraits végétaux",export,2021,561,875,2021
Matières à tresser et autres produits d'origine végétale n.d.c.a.,export,2017,32,62,2021
Matières à tresser et autres produits d'origine végétale n.d.c.a.,export,2018,20,28,2021
Matières à tresser et autres produits d'origine végétale n.d.c.a.,export,2019,24,32,2021
Matières à tresser et autres produits d'origine végétale n.d.c.a.,export,2020,18,8,2021
Matières à tresser et autres produits d'origine végétale n.d.c.a.,export,2021,22,15,2021
"Graisses, huiles, cires (animales et végétales), graisses alimentaires",export,2017,22664,31194,2021
"Graisses, huiles, cires (animales et végétales), graisses alimentaires",export,2018,34466,55625,2021
"Graisses, huiles, cires (animales et végétales), graisses alimentaires",export,2019,46831,72292,2021
"Graisses, huiles, cires (animales et végétales), graisses alimentaires",export,2020,9829,12292,2021
"Graisses, huiles, cires (animales et végétales), graisses alimentaires",export,2021,18096,17731,2021
"Préparations de viandes, poissons, crustacés, mollusques",export,2017,6236,2010,2021
"Préparations de viandes, poissons, crustacés, mollusques",export,2018,12066,3673,2021
"Préparations de viandes, poissons, crustacés, mollusques",export,2019,40252,11727,2021
"Préparations de viandes, poissons, crustacés, mollusques",export,2020,30062,10444,2021
"Préparations de viandes, poissons, crustacés, mollusques",export,2021,11901,5108,2021
Sucres et sucreries,export,2017,4668,6549,2021
Sucres et sucreries,export,2018,7517,15101,2021
Sucres et sucreries,export,2019,3928,5441,2021
Sucres et sucreries,export,2020,3074,4731,2021
Sucres et sucreries,export,2021,3314,3649,2021
Cacao et ses préparations,export,2017,4456,4577,2021
Cacao et ses préparations,export,2018,4646,4910,2021
Cacao et ses préparations,export,2019,4595,4601,2021
Cacao et ses préparations,export,2020,3815,3883,2021
Cacao et ses préparations,export,2021,3310,3210,2021
"Préparations à base de céréales et dérivés, pâtisseries",export,2017,33079,31320,2021
"Préparations à base de céréales et dérivés, pâtisseries",export,2018,23212,29055,2021
"Préparations à base de céréales et dérivés, pâtisseries",export,2019,20548,22326,2021
"Préparations à base de céréales et dérivés, pâtisseries",export,2020,32230,34373,2021
"Préparations à base de céréales et dérivés, pâtisseries",export,2021,26441,25820,2021
"Préparations de légumes, de fruits ou d'autres parties de plantes",export,2017,8080,15339,2021
"Préparations de légumes, de fruits ou d'autres parties de plantes",export,2018,5494,10555,2021
"Préparations de légumes, de fruits ou d'autres parties de plantes",export,2019,7111,12717,2021
"Préparations de légumes, de fruits ou d'autres parties de plantes",export,2020,6750,11532,2021
"Préparations de légumes, de fruits ou d'autres parties de plantes",export,2021,7989,14930,2021
Préparations alimentaires diverses,export,2017,79587,71424,2021
Préparations alimentaires diverses,export,2018,81157,77053,2021
Préparations alimentaires diverses,export,2019,84765,80131,2021
Préparations alimentaires diverses,export,2020,85393,79222,2021
Préparations alimentaires diverses,export,2021,95262,90883,2021
