pays,region,sens,annee,valeur,poids,edition
ALLEMAGNE,Union européenne,export,2016,4506,13914,2020
ALLEMAGNE,Union européenne,export,2017,3155,3361,2020
ALLEMAGNE,Union européenne,export,2018,3149,3472,2020
ALLEMAGNE,Union européenne,export,2019,3354,3005,2020
ALLEMAGNE,Union européenne,export,2020,4226,2818,2020
AUTRICHE,Union européenne,export,2016,203,52,2020
AUTRICHE,Union européenne,export,2017,226,66,2020
AUTRICHE,Union européenne,export,2018,109,22,2020
AUTRICHE,Union européenne,export,2019,134,38,2020
AUTRICHE,Union européenne,export,2020,140,65,2020
BELGIQUE-LUXEMBOURG,Union européenne,export,2016,8227,3615,2020
BELGIQUE-LUXEMBOURG,Union européenne,export,2017,5707,23198,2020
BELGIQUE-LUXEMBOURG,Union européenne,export,2018,15407,75566,2020
BELGIQUE-LUXEMBOURG,Union européenne,export,2019,28287,105812,2020
BELGIQUE-LUXEMBOURG,Union européenne,export,2020,27888,35169,2020
BULGARIE,Union européenne,export,2016,451,426,2020
BULGARIE,Union européenne,export,2017,503,838,2020
BULGARIE,Union européenne,export,2018,494,4700,2020
BULGARIE,Union européenne,export,2019,520,772,2020
BULGARIE,Union européenne,export,2020,236,271,2020
CHYPRE,Union européenne,export,2016,622,88,2020
CHYPRE,Union européenne,export,2017,590,76,2020
CHYPRE,Union européenne,export,2018,744,101,2020
CHYPRE,Union européenne,export,2019,661,89,2020
CHYPRE,Union européenne,export,2020,153,19,2020
CROATIE,Union européenne,export,2016,8,1,2020
CROATIE,Union européenne,export,2017,,,2020
CROATIE,Union européenne,export,2018,,,2020
CROATIE,Union européenne,export,2019,29,21,2020
CROATIE,Union européenne,export,2020,,,2020
DANEMARK,Union européenne,export,2016,969,1332,2020
DANEMARK,Union européenne,export,2017,827,1072,2020
DANEMARK,Union européenne,export,2018,402,497,2020
DANEMARK,Union européenne,export,2019,213,171,2020
DANEMARK,Union européenne,export,2020,1044,975,2020
ESPAGNE,Union européenne,export,2016,53069,114308,2020
ESPAGNE,Union européenne,export,2017,62755,94899,2020
ESPAGNE,Union européenne,export,2018,77161,73812,2020
ESPAGNE,Union européenne,export,2019,89184,118470,2020
ESPAGNE,Union européenne,export,2020,71743,91304,2020
FINLANDE,Union européenne,export,2016,9,1,2020
FINLANDE,Union européenne,export,2017,19,1,2020
FINLANDE,Union européenne,export,2018,12,14,2020
FINLANDE,Union européenne,export,2019,2844,33005,2020
FINLANDE,Union européenne,export,2020,10,1,2020
FRANCE,Union européenne,export,2016,43598,62037,2020
FRANCE,Union européenne,export,2017,44752,38802,2020
FRANCE,Union européenne,export,2018,46953,40026,2020
FRANCE,Union européenne,export,2019,51211,32832,2020
FRANCE,Union européenne,export,2020,44224,66772,2020
GRECE,Union européenne,export,2016,4465,1011,2020
GRECE,Union européenne,export,2017,3741,614,2020
GRECE,Union européenne,export,2018,3101,434,2020
GRECE,Union européenne,export,2019,4598,738,2020
GRECE,Union européenne,export,2020,3969,913,2020
HONGRIE,Union européenne,export,2016,576,0,2020
HONGRIE,Union européenne,export,2017,3,7,2020
HONGRIE,Union européenne,export,2018,39,4,2020
HONGRIE,Union européenne,export,2019,89,110,2020
HONGRIE,Union européenne,export,2020,18,3,2020
IRLANDE,Union européenne,export,2016,1268,85,2020
IRLANDE,Union européenne,export,2017,1,5,2020
IRLANDE,Union européenne,export,2018,140,134,2020
IRLANDE,Union européenne,export,2019,20,200,2020
IRLANDE,Union européenne,export,2020,302,283,2020
