continent,sens,annee,valeur,poids,edition
Europe,export,2018,617732,788662,2022
Europe,export,2019,705048,910277,2022
Europe,export,2020,583895,831877,2022
Europe,export,2021,831900,1184633,2022
Europe,export,2022,891411,1025172,2022
Afrique,export,2018,868684,3992134,2022
Afrique,export,2019,1053940,4566014,2022
Afrique,export,2020,970758,4368966,2022
Afrique,export,2021,1152121,4889026,2022
Afrique,export,2022,1404451,4208747,2022
Amérique,export,2018,75825,138427,2022
Amérique,export,2019,89980,181152,2022
Amérique,export,2020,88486,172727,2022
Amérique,export,2021,114152,248837,2022
Amérique,export,2022,124436,167922,2022
Asie,export,2018,335815,1005052,2022
Asie,export,2019,482415,1317856,2022
Asie,export,2020,406667,1140316,2022
Asie,export,2021,577450,1430816,2022
Asie,export,2022,866602,1360119,2022
Océanie,export,2018,5547,50713,2022
Océanie,export,2019,3193,1822,2022
Océanie,export,2020,124100,798,2022
Océanie,export,2021,122348,2292,2022
Océanie,export,2022,142974,3195,2022
Divers,export,2018,112076,316572,2022
Divers,export,2019,112090,281047,2022
Divers,export,2020,87441,276153,2022
Divers,export,2021,86830,282723,2022
Divers,export,2022,133485,204812,2022
Europe,import,2018,2210881,5608030,2022
Europe,import,2019,2662863,6197446,2022
Europe,import,2020,2405439,6482950,2022
Europe,import,2021,2635826,6169483,2022
Europe,import,2022,3576585,5620376,2022
Afrique,import,2018,720194,2639564,2022
Afrique,import,2019,608533,2220386,2022
Afrique,import,2020,647692,2661992,2022
Afrique,import,2021,722712,2875299,2022
Afrique,import,2022,895862,3175189,2022
Amérique,import,2018,276298,1081625,2022
Amérique,import,2019,282925,988132,2022
Amérique,import,2020,328799,1129397,2022
Amérique,import,2021,399578,1138845,2022
Amérique,import,2022,560634,1365632,2022
Asie,import,2018,1260724,2562969,2022
Asie,import,2019,1195078,2310835,2022
Asie,import,2020,1083712,2670372,2022
Asie,import,2021,1581546,3796747,2022
Asie,import,2022,2440343,4181713,2022
Océanie,import,2018,12140,5770,2022
Océanie,import,2019,9139,3689,2022
Océanie,import,2020,19220,3701,2022
Océanie,import,2021,17486,12557,2022
Océanie,import,2022,18718,8365,2022
Divers,import,2018,7761,14050,2022
Divers,import,2019,15394,74379,2022
Divers,import,2020,9552,40345,2022
Divers,import,2021,21346,72019,2022
Divers,import,2022,57222,146000,2022
