region,sens,annee,valeur,poids,edition
Communauté européenne,export,2015,217583,892418,2019
Communauté européenne,export,2016,210704,547633,2019
Communauté européenne,export,2017,227383,409187,2019
Communauté européenne,export,2018,260967,399289,2019
Communauté européenne,export,2019,299257,546539,2019
Autres pays d'Europe,export,2015,143716,136955,2019
Autres pays d'Europe,export,2016,170357,179843,2019
Autres pays d'Europe,export,2017,201530,307627,2019
Autres pays d'Europe,export,2018,314891,210790,2019
Autres pays d'Europe,export,2019,377204,245255,2019
Afrique centrale,export,2015,83665,42900,2019
Afrique centrale,export,2016,70164,44493,2019
Afrique centrale,export,2017,61575,40696,2019
Afrique centrale,export,2018,67064,50160,2019
Afrique centrale,export,2019,62145,50858,2019
Afrique du Nord,export,2015,5095,4909,2019
Afrique du Nord,export,2016,6497,19097,2019
Afrique du Nord,export,2017,4946,4842,2019
Afrique du Nord,export,2018,6921,5830,2019
Afrique du Nord,export,2019,10173,9507,2019
Afrique de l'Ouest,export,2015,471048,3186295,2019
Afrique de l'Ouest,export,2016,505091,3897938,2019
Afrique de l'Ouest,export,2017,553049,3816228,2019
Afrique de l'Ouest,export,2018,524893,3171957,2019
Afrique de l'Ouest,export,2019,550965,3139646,2019
Afrique orientale et du Sud,export,2015,13617,192013,2019
Afrique orientale et du Sud,export,2016,6023,2244,2019
Afrique orientale et du Sud,export,2017,6432,39457,2019
Afrique orientale et du Sud,export,2018,4887,88382,2019
Afrique orientale et du Sud,export,2019,14842,233262,2019
Amérique du Nord,export,2015,19656,133998,2019
Amérique du Nord,export,2016,15908,66295,2019
Amérique du Nord,export,2017,21756,101739,2019
Amérique du Nord,export,2018,30433,95136,2019
Amérique du Nord,export,2019,64344,153339,2019
Amérique centrale et du Sud,export,2015,5605,17717,2019
Amérique centrale et du Sud,export,2016,9063,39200,2019
Amérique centrale et du Sud,export,2017,19327,124772,2019
Amérique centrale et du Sud,export,2018,11715,34043,2019
Amérique centrale et du Sud,export,2019,11195,24052,2019
Asie occidentale,export,2015,68526,244026,2019
Asie occidentale,export,2016,51488,150030,2019
Asie occidentale,export,2017,89760,263433,2019
Asie occidentale,export,2018,48167,239839,2019
Asie occidentale,export,2019,44850,214617,2019
Autres pays d'Asie,export,2015,212037,513700,2019
Autres pays d'Asie,export,2016,266491,714072,2019
Autres pays d'Asie,export,2017,210628,666758,2019
Autres pays d'Asie,export,2018,283099,761376,2019
Autres pays d'Asie,export,2019,436059,1100696,2019
Continent australien,export,2015,120,147,2019
Continent australien,export,2016,284,519,2019
Continent australien,export,2017,580,473,2019
Continent australien,export,2018,5547,50713,2019
Continent australien,export,2019,3192,1821,2019
Océanie,export,2015,10,5,2019
Océanie,export,2016,,,2019
Océanie,export,2017,,,2019
Océanie,export,2018,,,2019
Océanie,export,2019,1,0,2019
Divers,export,2015,101951,263435,2019
Divers,export,2016,59167,211024,2019
Divers,export,2017,89433,278475,2019
Divers,export,2018,111369,315729,2019
Divers,export,2019,110862,279557,2019
Communauté européenne,import,2015,1248570,2228096,2019
Communauté européenne,import,2016,1155813,2373034,2019
Communauté européenne,import,2017,1358489,2380002,2019
Communauté européenne,import,2018,1443645,2532080,2019
Communauté européenne,import,2019,1808890,2831501,2019
Autres pays d'Europe,import,2015,215901,805740,2019
Autres pays d'Europe,import,2016,183551,909250,2019
Autres pays d'Europe,import,2017,281683,1280850,2019
Autres pays d'Europe,import,2018,425077,2122084,2019
Autres pays d'Europe,import,2019,448839,2158859,2019
Afrique centrale,import,2015,9088,32124,2019
Afrique centrale,import,2016,16231,50298,2019
Afrique centrale,import,2017,16802,54905,2019
Afrique centrale,import,2018,13244,54692,2019
Afrique centrale,import,2019,21476,80412,2019
Afrique du Nord,import,2015,79063,145156,2019
Afrique du Nord,import,2016,107219,231349,2019
Afrique du Nord,import,2017,106050,335125,2019
Afrique du Nord,import,2018,107420,292872,2019
Afrique du Nord,import,2019,124839,374412,2019
Afrique de l'Ouest,import,2015,359827,1194767,2019
Afrique de l'Ouest,import,2016,360073,1457995,2019
Afrique de l'Ouest,import,2017,442131,1505790,2019
Afrique de l'Ouest,import,2018,506369,1466315,2019
Afrique de l'Ouest,import,2019,378079,1113431,2019
Afrique orientale et du Sud,import,2015,67898,609384,2019
