produit,sens,annee,valeur,poids,edition
Zirconium,export,2021,62464,91558,2024
Zirconium,export,2022,87623,89085,2024
Zirconium,export,2023,61478,74529,2024
Zirconium,export,2024,77459,98626,2024
Titane,export,2020,62202,509409,2024
Titane,export,2021,87840,587818,2024
Titane,export,2022,115805,508265,2024
Titane,export,2023,85127,402352,2024
Titane,export,2024,98113,569804,2024
"Préparations pour soupes, potages, bouillons",export,2020,76238,70235,2024
"Préparations pour soupes, potages, bouillons",export,2021,84285,79593,2024
"Préparations pour soupes, potages, bouillons",export,2022,102989,81083,2024
"Préparations pour soupes, potages, bouillons",export,2023,90341,66034,2024
"Préparations pour soupes, potages, bouillons",export,2024,93465,67475,2024
Autres produits,export,2020,538325,1069487,2024
Autres produits,export,2021,662907,1546261,2024
Autres produits,export,2022,784820,1537117,2024
Autres produits,export,2023,780143,1480430,2024
Autres produits,export,2024,826218,1694868,2024
Produits laitiers,import,2020,48950,28973,2024
Produits laitiers,import,2021,52009,32219,2024
Produits laitiers,import,2022,63190,34475,2024
Produits laitiers,import,2023,54627,31282,2024
Produits laitiers,import,2024,65739,33745,2024
Fruits et légumes comestibles,import,2020,69557,372216,2024
Fruits et légumes comestibles,import,2021,66508,336976,2024
Fruits et légumes comestibles,import,2022,65573,347591,2024
Fruits et légumes comestibles,import,2023,75352,409888,2024
Fruits et légumes comestibles,import,2024,86829,441237,2024
Café,import,2020,2680,7437,2024
Café,import,2021,2902,7632,2024
Café,import,2022,2076,3538,2024
Café,import,2023,1762,1108,2024
Café,import,2024,2028,1742,2024
Thé,import,2020,2831,5849,2024
Thé,import,2021,3655,6605,2024
Thé,import,2022,7351,8214,2024
Thé,import,2023,3289,8178,2024
Thé,import,2024,4077,8774,2024
Froment et méteil,import,2020,110388,693996,2024
Froment et méteil,import,2021,149256,753807,2024
Froment et méteil,import,2022,237738,860149,2024
Froment et méteil,import,2023,187049,897798,2024
Froment et méteil,import,2024,171374,904947,2024
Maïs,import,2020,41978,323439,2024
Maïs,import,2021,68531,398517,2024
Maïs,import,2022,92318,400129,2024
Maïs,import,2023,82534,430863,2024
Maïs,import,2024,78358,512740,2024
Riz,import,2020,246037,1127023,2024
Riz,import,2021,262398,1194004,2024
Riz,import,2022,346789,1487336,2024
Riz,import,2023,301996,1302317,2024
Riz,import,2024,315039,1387343,2024
Mil et sorgho,import,2020,806,11263,2024
Mil et sorgho,import,2021,1297,14327,2024
Mil et sorgho,import,2022,1650,20832,2024
Mil et sorgho,import,2023,3235,27088,2024
Mil et sorgho,import,2024,2552,28602,2024
Autres céréales,import,2020,39,49,2024
Autres céréales,import,2021,14,13,2024
Autres céréales,import,2022,12,7,2024
Autres céréales,import,2023,218,1288,2024
Autres céréales,import,2024,55,196,2024
Huiles et graisses animales et végétales,import,2020,142635,276112,2024
Huiles et graisses animales et végétales,import,2021,123804,225294,2024
Huiles et graisses animales et végétales,import,2022,127037,202602,2024
Huiles et graisses animales et végétales,import,2023,119602,201001,2024
Huiles et graisses animales et végétales,import,2024,107056,240288,2024
Conserves de viande et de poisson,import,2020,2885,2448,2024
Conserves de viande et de poisson,import,2021,2848,3459,2024
Conserves de viande et de poisson,import,2022,3698,4686,2024
Conserves de viande et de poisson,import,2023,2989,3866,2024
Conserves de viande et de poisson,import,2024,3389,4947,2024
Sucres bruts et raffinés,import,2020,52085,180252,2024
Sucres bruts et raffinés,import,2021,42646,125395,2024
Sucres bruts et raffinés,import,2022,65978,192414,2024
Sucres bruts et raffinés,import,2023,73312,294709,2024
Sucres bruts et raffinés,import,2024,59341,264994,2024
Autres produits sucrés,import,2020,10105,18098,2024
Autres produits sucrés,import,2021,9451,14361,2024
Autres produits sucrés,import,2022,13158,14203,2024
Autres produits sucrés,import,2023,10032,9643,2024
Autres produits sucrés,import,2024,13613,14444,2024
Conserves de fruits et légumes,import,2020,25773,47999,2024
Conserves de fruits et légumes,import,2021,22575,43626,2024
Conserves de fruits et légumes,import,2022,28027,48914,2024
Conserves de fruits et légumes,import,2023,29961,49409,2024
Conserves de fruits et légumes,import,2024,28468,44734,2024
Vins et vermouths,import,2020,2622,1426,2024
Vins et vermouths,import,2021,3515,1741,2024
Vins et vermouths,import,2022,3673,2279,2024
Vins et vermouths,import,2023,3724,1935,2024
Vins et vermouths,import,2024,3111,3037,2024
Autres boissons,import,2020,29051,72080,2024
Autres boissons,import,2021,32573,86169,2024
Autres boissons,import,2022,29073,74364,2024
Autres boissons,import,2023,25868,71398,2024
Autres boissons,import,2024,22112,49671,2024
Tabac brut et fabriqué,import,2020,22748,3880,2024
Tabac brut et fabriqué,import,2021,17616,4027,2024
Tabac brut et fabriqué,import,2022,13757,2517,2024
Tabac brut et fabriqué,import,2023,9875,2054,2024
Tabac brut et fabriqué,import,2024,14488,2684,2024
Huiles brutes de pétrole,import,2020,253816,1025398,2024
Huiles brutes de pétrole,import,2021,284625,1023899,2024
Huiles brutes de pétrole,import,2022,278083,503909,2024
Huiles brutes de pétrole,import,2023,577392,1318187,2024
Huiles brutes de pétrole,import,2024,492592,1175330,2024
Autres produits pétroliers,import,2020,748531,3124671,2024
Autres produits pétroliers,import,2021,1015057,3096895,2024
Autres produits pétroliers,import,2022,1992371,3648696,2024
Autres produits pétroliers,import,2023,1421971,3058442,2024
Autres produits pétroliers,import,2024,1592822,3749137,2024
Produits chimiques organiques et inorganiques,import,2020,75997,187430,2024
Produits chimiques organiques et inorganiques,import,2021,85760,179950,2024
Produits chimiques organiques et inorganiques,import,2022,133495,223339,2024
Produits chimiques organiques et inorganiques,import,2023,97070,215649,2024
Produits chimiques organiques et inorganiques,import,2024,105408,239179,2024
Produits pharmaceutiques,import,2020,162508,15560,2024
Produits pharmaceutiques,import,2021,188643,17195,2024
Produits pharmaceutiques,import,2022,195521,18245,2024
Produits pharmaceutiques,import,2023,202972,18869,2024
Produits pharmaceutiques,import,2024,218599,19174,2024
Engrais,import,2020,33821,193519,2024
Engrais,import,2021,23632,87767,2024
Engrais,import,2022,89009,159321,2024
Engrais,import,2023,76683,199995,2024
Engrais,import,2024,52357,171818,2024
"Teinture, vernis et peinture",import,2020,10099,22615,2024
"Teinture, vernis et peinture",import,2021,16651,29694,2024
"Teinture, vernis et peinture",import,2022,12853,24943,2024
"Teinture, vernis et peinture",import,2023,16959,32483,2024
"Teinture, vernis et peinture",import,2024,18190,35238,2024
Parfumerie,import,2020,9541,18189,2024
Parfumerie,import,2021,11207,20065,2024
Parfumerie,import,2022,12540,21670,2024
