pays,region,sens,annee,valeur,poids,edition
ALLEMAGNE,Union européenne,export,2017,3155,3361,2021
ALLEMAGNE,Union européenne,export,2018,3149,3472,2021
ALLEMAGNE,Union européenne,export,2019,3354,3005,2021
ALLEMAGNE,Union européenne,export,2020,4226,2818,2021
ALLEMAGNE,Union européenne,export,2021,1978,1989,2021
AUTRICHE,Union européenne,export,2017,226,66,2021
AUTRICHE,Union européenne,export,2018,109,22,2021
AUTRICHE,Union européenne,export,2019,134,38,2021
AUTRICHE,Union européenne,export,2020,140,65,2021
AUTRICHE,Union européenne,export,2021,104,37,2021
BELGIQUE-LUXEMBOURG,Union européenne,export,2017,5707,23198,2021
BELGIQUE-LUXEMBOURG,Union européenne,export,2018,15407,75566,2021
BELGIQUE-LUXEMBOURG,Union européenne,export,2019,28287,105812,2021
BELGIQUE-LUXEMBOURG,Union européenne,export,2020,27888,35169,2021
BELGIQUE-LUXEMBOURG,Union européenne,export,2021,12055,30298,2021
BULGARIE,Union européenne,export,2017,503,838,2021
BULGARIE,Union européenne,export,2018,494,4700,2021
BULGARIE,Union européenne,export,2019,520,772,2021
BULGARIE,Union européenne,export,2020,236,271,2021
BULGARIE,Union européenne,export,2021,418,254,2021
CHYPRE,Union européenne,export,2017,590,76,2021
CHYPRE,Union européenne,export,2018,744,101,2021
CHYPRE,Union européenne,export,2019,661,89,2021
CHYPRE,Union européenne,export,2020,153,19,2021
CHYPRE,Union européenne,export,2021,154,19,2021
CROATIE,Union européenne,export,2017,0,0,2021
CROATIE,Union européenne,export,2018,0,0,2021
CROATIE,Union européenne,export,2019,29,21,2021
CROATIE,Union européenne,export,2020,0,0,2021
CROATIE,Union européenne,export,2021,21,7,2021
DANEMARK,Union européenne,export,2017,827,1072,2021
DANEMARK,Union européenne,export,2018,402,497,2021
DANEMARK,Union européenne,export,2019,213,171,2021
DANEMARK,Union européenne,export,2020,1044,975,2021
DANEMARK,Union européenne,export,2021,206,105,2021
ESPAGNE,Union européenne,export,2017,62755,94899,2021
ESPAGNE,Union européenne,export,2018,77161,73812,2021
ESPAGNE,Union européenne,export,2019,89184,118470,2021
ESPAGNE,Union européenne,export,2020,71743,91304,2021
ESPAGNE,Union européenne,export,2021,108600,157690,2021
FINLANDE,Union européenne,export,2017,19,1,2021
FINLANDE,Union européenne,export,2018,12,14,2021
FINLANDE,Union européenne,export,2019,2844,33005,2021
FINLANDE,Union européenne,export,2020,10,1,2021
FINLANDE,Union européenne,export,2021,12,11,2021
FRANCE,Union européenne,export,2017,44752,38802,2021
FRANCE,Union européenne,export,2018,46953,40026,2021
FRANCE,Union européenne,export,2019,51211,32832,2021
FRANCE,Union européenne,export,2020,44224,66772,2021
FRANCE,Union européenne,export,2021,49565,99683,2021
GRECE,Union européenne,export,2017,3741,614,2021
GRECE,Union européenne,export,2018,3101,434,2021
GRECE,Union européenne,export,2019,4598,738,2021
GRECE,Union européenne,export,2020,3969,913,2021
GRECE,Union européenne,export,2021,7832,1312,2021
HONGRIE,Union européenne,export,2017,3,7,2021
HONGRIE,Union européenne,export,2018,39,4,2021
HONGRIE,Union européenne,export,2019,89,110,2021
HONGRIE,Union européenne,export,2020,18,3,2021
HONGRIE,Union européenne,export,2021,8980,15,2021
IRLANDE,Union européenne,export,2017,1,5,2021
IRLANDE,Union européenne,export,2018,140,134,2021
IRLANDE,Union européenne,export,2019,20,200,2021
IRLANDE,Union européenne,export,2020,302,283,2021
IRLANDE,Union européenne,export,2021,0,0,2021
ITALIE,Union européenne,export,2017,44942,27437,2021
ITALIE,Union européenne,export,2018,60941,40558,2021
ITALIE,Union européenne,export,2019,59636,39958,2021
ITALIE,Union européenne,export,2020,31077,20761,2021
ITALIE,Union européenne,export,2021,60659,26905,2021
MALTE,Union européenne,export,2017,354,63,2021
MALTE,Union européenne,export,2018,347,61,2021
MALTE,Union européenne,export,2019,230,41,2021
MALTE,Union européenne,export,2020,99,57,2021
MALTE,Union européenne,export,2021,77,35,2021
PAYS BAS,Union européenne,export,2017,50649,261937,2021
PAYS BAS,Union européenne,export,2018,51453,194654,2021
PAYS BAS,Union européenne,export,2019,32145,79291,2021
PAYS BAS,Union européenne,export,2020,39549,133599,2021
PAYS BAS,Union européenne,export,2021,66199,209845,2021
POLOGNE,Union européenne,export,2017,2824,73690,2021
POLOGNE,Union européenne,export,2018,1732,41957,2021
POLOGNE,Union européenne,export,2019,5585,81669,2021
POLOGNE,Union européenne,export,2020,998,23707,2021
POLOGNE,Union européenne,export,2021,775,23841,2021
PORTUGAL,Union européenne,export,2017,6735,2330,2021
PORTUGAL,Union européenne,export,2018,5567,2641,2021
PORTUGAL,Union européenne,export,2019,5438,3690,2021
PORTUGAL,Union européenne,export,2020,2492,1419,2021
PORTUGAL,Union européenne,export,2021,4561,1706,2021
REPUBLIQUE D'ESTONIE,Union européenne,export,2017,0,0,2021
REPUBLIQUE D'ESTONIE,Union européenne,export,2018,23,52,2021
REPUBLIQUE D'ESTONIE,Union européenne,export,2019,3,2,2021
REPUBLIQUE D'ESTONIE,Union européenne,export,2020,0,0,2021
REPUBLIQUE D'ESTONIE,Union européenne,export,2021,0,0,2021
REPUBLIQUE DE LETTONIE,Union européenne,export,2017,2,2,2021
REPUBLIQUE DE LETTONIE,Union européenne,export,2018,46,168,2021
REPUBLIQUE DE LETTONIE,Union européenne,export,2019,0,0,2021
REPUBLIQUE DE LETTONIE,Union européenne,export,2020,22,63,2021
REPUBLIQUE DE LETTONIE,Union européenne,export,2021,0,0,2021
REPUBLIQUE DE LITUANIE,Union européenne,export,2017,0,0,2021
REPUBLIQUE DE LITUANIE,Union européenne,export,2018,8,4,2021
REPUBLIQUE DE LITUANIE,Union européenne,export,2019,0,0,2021
REPUBLIQUE DE LITUANIE,Union européenne,export,2020,57,85,2021
REPUBLIQUE DE LITUANIE,Union européenne,export,2021,85,180,2021
REPUBLIQUE DE SLOVAQUIE,Union européenne,export,2017,257,402,2021
REPUBLIQUE DE SLOVAQUIE,Union européenne,export,2018,1,0,2021
REPUBLIQUE DE SLOVAQUIE,Union européenne,export,2019,0,0,2021
REPUBLIQUE DE SLOVAQUIE,Union européenne,export,2020,129,51,2021
REPUBLIQUE DE SLOVAQUIE,Union européenne,export,2021,0,0,2021
REPUBLIQUE TCHEQUE,Union européenne,export,2017,1,1,2021
REPUBLIQUE TCHEQUE,Union européenne,export,2018,0,0,2021
REPUBLIQUE TCHEQUE,Union européenne,export,2019,4,1,2021
REPUBLIQUE TCHEQUE,Union européenne,export,2020,14,28,2021
REPUBLIQUE TCHEQUE,Union européenne,export,2021,9,2,2021
ROUMANIE,Union européenne,export,2017,0,0,2021
ROUMANIE,Union européenne,export,2018,6,4,2021
ROUMANIE,Union européenne,export,2019,16,2,2021
ROUMANIE,Union européenne,export,2020,3,2,2021
ROUMANIE,Union européenne,export,2021,32,41,2021
ROYAUME UNI,Union européenne,export,2017,35305,113009,2021
ROYAUME UNI,Union européenne,export,2018,33310,81536,2021
ROYAUME UNI,Union européenne,export,2019,36608,104815,2021
ROYAUME UNI,Union européenne,export,2020,36181,81428,2021
ROYAUME UNI,Union européenne,export,2021,40863,108991,2021
SLOVENIE,Union européenne,export,2017,1,2,2021
SLOVENIE,Union européenne,export,2018,189,152,2021
SLOVENIE,Union européenne,export,2019,23,25,2021
SLOVENIE,Union européenne,export,2020,21,0,2021
SLOVENIE,Union européenne,export,2021,0,0,2021
SUEDE,Union européenne,export,2017,1686,2118,2021
SUEDE,Union européenne,export,2018,1453,17231,2021
SUEDE,Union européenne,export,2019,3387,36348,2021
SUEDE,Union européenne,export,2020,45,35,2021
SUEDE,Union européenne,export,2021,4744,18,2021
ALBANIE,Autres pays d'Europe,export,2017,58,39,2021
ALBANIE,Autres pays d'Europe,export,2018,158,148,2021
ALBANIE,Autres pays d'Europe,export,2019,190,166,2021
ALBANIE,Autres pays d'Europe,export,2020,807,307,2021
ALBANIE,Autres pays d'Europe,export,2021,202,183,2021
ANDORRE,Autres pays d'Europe,export,2017,0,0,2021
ANDORRE,Autres pays d'Europe,export,2018,0,0,2021
ANDORRE,Autres pays d'Europe,export,2019,0,0,2021
ANDORRE,Autres pays d'Europe,export,2020,0,0,2021
ANDORRE,Autres pays d'Europe,export,2021,0,0,2021
ARMENIE,Autres pays d'Europe,export,2017,2,11,2021
ARMENIE,Autres pays d'Europe,export,2018,0,0,2021
ARMENIE,Autres pays d'Europe,export,2019,0,1,2021
ARMENIE,Autres pays d'Europe,export,2020,0,0,2021
ARMENIE,Autres pays d'Europe,export,2021,0,0,2021
BOSNIE-HERZEGOVINE,Autres pays d'Europe,export,2017,0,0,2021
