pays,region,sens,annee,valeur,poids,edition
FRANCE,Union européenne,export,2021,49565,99683,2025
FRANCE,Union européenne,export,2022,47854,115236,2025
FRANCE,Union européenne,export,2023,51397,120329,2025
FRANCE,Union européenne,export,2024,54576,111983,2025
FRANCE,Union européenne,export,2025,137438,,2025
BELGIQUE,Union européenne,export,2021,12055,30298,2025
BELGIQUE,Union européenne,export,2022,31490,57998,2025
BELGIQUE,Union européenne,export,2023,20809,137287,2025
BELGIQUE,Union européenne,export,2024,9565,4464,2025
BELGIQUE,Union européenne,export,2025,26744,,2025
PAYS BAS,Union européenne,export,2021,66199,209845,2025
PAYS BAS,Union européenne,export,2022,40907,72569,2025
PAYS BAS,Union européenne,export,2023,45221,182415,2025
PAYS BAS,Union européenne,export,2024,80183,185564,2025
PAYS BAS,Union européenne,export,2025,531778,,2025
ALLEMAGNE,Union européenne,export,2021,1978,1989,2025
ALLEMAGNE,Union européenne,export,2022,2143,2663,2025
ALLEMAGNE,Union européenne,export,2023,3204,2414,2025
ALLEMAGNE,Union européenne,export,2024,17539,199091,2025
ALLEMAGNE,Union européenne,export,2025,5268,,2025
ITALIE,Union européenne,export,2021,60659,26905,2025
ITALIE,Union européenne,export,2022,62840,24519,2025
ITALIE,Union européenne,export,2023,44823,17589,2025
ITALIE,Union européenne,export,2024,118546,235799,2025
ITALIE,Union européenne,export,2025,362943,,2025
IRLANDE,Union européenne,export,2021,,,2025
IRLANDE,Union européenne,export,2022,0,0,2025
IRLANDE,Union européenne,export,2023,22,5,2025
IRLANDE,Union européenne,export,2024,6,2,2025
IRLANDE,Union européenne,export,2025,,,2025
DANEMARK,Union européenne,export,2021,206,105,2025
DANEMARK,Union européenne,export,2022,434,373,2025
DANEMARK,Union européenne,export,2023,993,1424,2025
DANEMARK,Union européenne,export,2024,1137,946,2025
DANEMARK,Union européenne,export,2025,629,,2025
GRECE,Union européenne,export,2021,7832,1312,2025
GRECE,Union européenne,export,2022,13438,1164,2025
GRECE,Union européenne,export,2023,9942,1749,2025
GRECE,Union européenne,export,2024,9347,1455,2025
GRECE,Union européenne,export,2025,8976,,2025
LUXEMBOURG,Union européenne,export,2021,,,2025
LUXEMBOURG,Union européenne,export,2022,,,2025
LUXEMBOURG,Union européenne,export,2023,125,20,2025
LUXEMBOURG,Union européenne,export,2024,41,0,2025
LUXEMBOURG,Union européenne,export,2025,2,,2025
SUEDE,Union européenne,export,2021,4744,18,2025
SUEDE,Union européenne,export,2022,201,205,2025
SUEDE,Union européenne,export,2023,91,136,2025
SUEDE,Union européenne,export,2024,9,8,2025
SUEDE,Union européenne,export,2025,28,,2025
FINLANDE,Union européenne,export,2021,12,11,2025
FINLANDE,Union européenne,export,2022,12,10,2025
FINLANDE,Union européenne,export,2023,60,7,2025
FINLANDE,Union européenne,export,2024,18,1,2025
FINLANDE,Union européenne,export,2025,33951,,2025
AUTRICHE,Union européenne,export,2021,104,37,2025
AUTRICHE,Union européenne,export,2022,117,31,2025
AUTRICHE,Union européenne,export,2023,75,25,2025
AUTRICHE,Union européenne,export,2024,621,94,2025
AUTRICHE,Union européenne,export,2025,90,,2025
PORTUGAL,Union européenne,export,2021,4561,1706,2025
PORTUGAL,Union européenne,export,2022,8989,2729,2025
PORTUGAL,Union européenne,export,2023,10845,3650,2025
PORTUGAL,Union européenne,export,2024,10355,3891,2025
PORTUGAL,Union européenne,export,2025,7112,,2025
ESPAGNE,Union européenne,export,2021,108600,157690,2025
ESPAGNE,Union européenne,export,2022,126676,108345,2025
ESPAGNE,Union européenne,export,2023,99469,90650,2025
ESPAGNE,Union européenne,export,2024,154051,247159,2025
ESPAGNE,Union européenne,export,2025,388614,,2025
MALTE,Union européenne,export,2021,77,35,2025
MALTE,Union européenne,export,2022,80,77,2025
MALTE,Union européenne,export,2023,650,14,2025
MALTE,Union européenne,export,2024,1070,108,2025
MALTE,Union européenne,export,2025,296,,2025
POLOGNE,Union européenne,export,2021,775,23841,2025
POLOGNE,Union européenne,export,2022,15864,166196,2025
POLOGNE,Union européenne,export,2023,5442,42561,2025
POLOGNE,Union européenne,export,2024,119,120,2025
POLOGNE,Union européenne,export,2025,8100,,2025
REPUBLIQUE DE SLOVAQUIE,Union européenne,export,2021,,,2025
REPUBLIQUE DE SLOVAQUIE,Union européenne,export,2022,7,1,2025
REPUBLIQUE DE SLOVAQUIE,Union européenne,export,2023,2,0,2025
REPUBLIQUE DE SLOVAQUIE,Union européenne,export,2024,60,2,2025
REPUBLIQUE DE SLOVAQUIE,Union européenne,export,2025,4,,2025
REPUBLIQUE TCHEQUE,Union européenne,export,2021,9,2,2025
REPUBLIQUE TCHEQUE,Union européenne,export,2022,25,5,2025
REPUBLIQUE TCHEQUE,Union européenne,export,2023,13,1,2025
REPUBLIQUE TCHEQUE,Union européenne,export,2024,45,15,2025
REPUBLIQUE TCHEQUE,Union européenne,export,2025,42,,2025
REPUBLIQUE DE LETTONIE,Union européenne,export,2021,,,2025
REPUBLIQUE DE LETTONIE,Union européenne,export,2022,8,0,2025
REPUBLIQUE DE LETTONIE,Union européenne,export,2023,,,2025
REPUBLIQUE DE LETTONIE,Union européenne,export,2024,,,2025
REPUBLIQUE DE LETTONIE,Union européenne,export,2025,,,2025
HONGRIE,Union européenne,export,2021,8980,15,2025
HONGRIE,Union européenne,export,2022,1,1,2025
HONGRIE,Union européenne,export,2023,75,3,2025
HONGRIE,Union européenne,export,2024,,,2025
HONGRIE,Union européenne,export,2025,0,,2025
REPUBLIQUE DE LITUANIE,Union européenne,export,2021,85,180,2025
REPUBLIQUE DE LITUANIE,Union européenne,export,2022,197,146,2025
REPUBLIQUE DE LITUANIE,Union européenne,export,2023,2668,22152,2025
REPUBLIQUE DE LITUANIE,Union européenne,export,2024,,,2025
REPUBLIQUE DE LITUANIE,Union européenne,export,2025,19756,,2025
ROUMANIE,Union européenne,export,2021,32,41,2025
ROUMANIE,Union européenne,export,2022,105,95,2025
ROUMANIE,Union européenne,export,2023,53,130,2025
ROUMANIE,Union européenne,export,2024,266,49,2025
ROUMANIE,Union européenne,export,2025,528,,2025
REPUBLIQUE D'ESTONIE,Union européenne,export,2021,,,2025
REPUBLIQUE D'ESTONIE,Union européenne,export,2022,,,2025
REPUBLIQUE D'ESTONIE,Union européenne,export,2023,,,2025
REPUBLIQUE D'ESTONIE,Union européenne,export,2024,13,10,2025
REPUBLIQUE D'ESTONIE,Union européenne,export,2025,238,,2025
BULGARIE,Union européenne,export,2021,418,254,2025
BULGARIE,Union européenne,export,2022,382,284,2025
BULGARIE,Union européenne,export,2023,308,143,2025
BULGARIE,Union européenne,export,2024,1325,1045,2025
BULGARIE,Union européenne,export,2025,9767,,2025
CROATIE,Union européenne,export,2021,21,7,2025
CROATIE,Union européenne,export,2022,38,19,2025
CROATIE,Union européenne,export,2023,17,12,2025
CROATIE,Union européenne,export,2024,49,61,2025
CROATIE,Union européenne,export,2025,14,,2025
SLOVENIE,Union européenne,export,2021,,,2025
SLOVENIE,Union européenne,export,2022,39,57,2025
SLOVENIE,Union européenne,export,2023,34,22,2025
SLOVENIE,Union européenne,export,2024,,,2025
SLOVENIE,Union européenne,export,2025,5987,,2025
CHYPRE,Union européenne,export,2021,154,19,2025
CHYPRE,Union européenne,export,2022,2694,48,2025
CHYPRE,Union européenne,export,2023,753,134,2025
CHYPRE,Union européenne,export,2024,530,100,2025
CHYPRE,Union européenne,export,2025,777,,2025
ROYAUME UNI,Autres pays d'Europe,export,2021,40863,108991,2025
ROYAUME UNI,Autres pays d'Europe,export,2022,45762,128514,2025
ROYAUME UNI,Autres pays d'Europe,export,2023,58614,137071,2025
ROYAUME UNI,Autres pays d'Europe,export,2024,59021,132028,2025
ROYAUME UNI,Autres pays d'Europe,export,2025,159366,,2025
ISLANDE,Autres pays d'Europe,export,2021,531,80,2025
ISLANDE,Autres pays d'Europe,export,2022,503,70,2025
ISLANDE,Autres pays d'Europe,export,2023,1980,286,2025
ISLANDE,Autres pays d'Europe,export,2024,1601,153,2025
ISLANDE,Autres pays d'Europe,export,2025,840,,2025
NORVEGE,Autres pays d'Europe,export,2021,42127,344141,2025
NORVEGE,Autres pays d'Europe,export,2022,61213,297922,2025
NORVEGE,Autres pays d'Europe,export,2023,31776,159008,2025
NORVEGE,Autres pays d'Europe,export,2024,50777,320595,2025
NORVEGE,Autres pays d'Europe,export,2025,39332,,2025
SUISSE,Autres pays d'Europe,export,2021,414789,164586,2025
SUISSE,Autres pays d'Europe,export,2022,414439,18684,2025
SUISSE,Autres pays d'Europe,export,2023,391549,87579,2025
SUISSE,Autres pays d'Europe,export,2024,473387,166960,2025
SUISSE,Autres pays d'Europe,export,2025,649301,,2025
ANDORRE,Autres pays d'Europe,export,2021,,,2025
ANDORRE,Autres pays d'Europe,export,2022,17,20,2025
ANDORRE,Autres pays d'Europe,export,2023,,,2025
ANDORRE,Autres pays d'Europe,export,2024,,,2025
ANDORRE,Autres pays d'Europe,export,2025,0,,2025
GIBRALTAR,Autres pays d'Europe,export,2021,,,2025
GIBRALTAR,Autres pays d'Europe,export,2022,,,2025
GIBRALTAR,Autres pays d'Europe,export,2023,,,2025
