produit,sens,annee,valeur,poids,edition
Produits halieutiques,export,2019,330847,318599,2023
Produits halieutiques,export,2020,277933,338956,2023
Produits halieutiques,export,2021,312981,312116,2023
Produits halieutiques,export,2022,423370,299704,2023
Produits halieutiques,export,2023,345278,273982,2023
Produits arachidiers,export,2019,152953,390709,2023
Produits arachidiers,export,2020,120483,275036,2023
Produits arachidiers,export,2021,168571,348816,2023
Produits arachidiers,export,2022,100838,191919,2023
Produits arachidiers,export,2023,70223,121239,2023
Produits pétroliers,export,2019,477716,1292189,2023
Produits pétroliers,export,2020,357524,1279648,2023
Produits pétroliers,export,2021,436885,1303545,2023
Produits pétroliers,export,2022,648822,1072595,2023
Produits pétroliers,export,2023,676438,1192516,2023
Acide phosphorique,export,2019,195699,517984,2023
Acide phosphorique,export,2020,151646,483194,2023
Acide phosphorique,export,2021,265348,478435,2023
Acide phosphorique,export,2022,471868,558409,2023
Acide phosphorique,export,2023,264686,492886,2023
Ciment hydraulique,export,2019,77682,1850660,2023
Ciment hydraulique,export,2020,73746,1818422,2023
Ciment hydraulique,export,2021,86231,2123572,2023
Ciment hydraulique,export,2022,75747,1631621,2023
Ciment hydraulique,export,2023,106480,2149919,2023
Phosphates,export,2019,22333,587216,2023
Phosphates,export,2020,11493,306641,2023
Phosphates,export,2021,22050,553448,2023
Phosphates,export,2022,47732,486545,2023
Phosphates,export,2023,49886,569208,2023
Engrais minéraux,export,2019,29476,135562,2023
Engrais minéraux,export,2020,21263,111361,2023
Engrais minéraux,export,2021,33057,121978,2023
Engrais minéraux,export,2022,9318,30411,2023
Engrais minéraux,export,2023,37787,130511,2023
Cotons et tissus en coton,export,2019,7058,8045,2023
Cotons et tissus en coton,export,2020,5826,6796,2023
Cotons et tissus en coton,export,2021,9005,9160,2023
Cotons et tissus en coton,export,2022,12551,8931,2023
Cotons et tissus en coton,export,2023,8428,5991,2023
Or industriel,export,2019,375734,16,2023
Or industriel,export,2020,422698,15,2023
Or industriel,export,2021,539778,19,2023
Or industriel,export,2022,580607,18,2023
Or industriel,export,2023,530410,17,2023
Titane et zircon,export,2019,115394,614744,2023
Titane et zircon,export,2020,116197,594453,2023
Titane et zircon,export,2021,150304,679377,2023
Titane et zircon,export,2022,203428,597351,2023
Titane et zircon,export,2023,146605,476881,2023
"Préparations pour soupes, potages, bouillons",export,2019,76755,72003,2023
"Préparations pour soupes, potages, bouillons",export,2020,76238,70235,2023
"Préparations pour soupes, potages, bouillons",export,2021,84285,79593,2023
"Préparations pour soupes, potages, bouillons",export,2022,102989,81083,2023
"Préparations pour soupes, potages, bouillons",export,2023,90341,66034,2023
Autres produits,export,2019,585019,1470441,2023
Autres produits,export,2020,626299,1506080,2023
Autres produits,export,2021,776306,2028270,2023
Autres produits,export,2022,886090,2011382,2023
Autres produits,export,2023,897370,1949433,2023
Machines et appareils,import,2019,658691,192741,2023
Machines et appareils,import,2020,604249,197130,2023
Machines et appareils,import,2021,681044,217875,2023
Machines et appareils,import,2022,788076,247700,2023
Machines et appareils,import,2023,878556,267066,2023
Produits céréaliers,import,2019,355242,1969190,2023
Produits céréaliers,import,2020,402109,2155770,2023
Produits céréaliers,import,2021,484919,2360667,2023
Produits céréaliers,import,2022,684327,2768452,2023
Produits céréaliers,import,2023,578778,2659353,2023
Matériels de transport et pièces détachées,import,2019,468134,197314,2023
Matériels de transport et pièces détachées,import,2020,342139,177629,2023
Matériels de transport et pièces détachées,import,2021,389358,207933,2023
Matériels de transport et pièces détachées,import,2022,612422,227618,2023
Matériels de transport et pièces détachées,import,2023,776668,234090,2023
Huiles brutes de pétrole,import,2019,236429,767522,2023
Huiles brutes de pétrole,import,2020,253816,1025398,2023
Huiles brutes de pétrole,import,2021,284625,1023899,2023
Huiles brutes de pétrole,import,2022,278083,503909,2023
Huiles brutes de pétrole,import,2023,577392,1318187,2023
Produits pétroliers finis,import,2019,957506,2866871,2023
Produits pétroliers finis,import,2020,753548,3124671,2023
Produits pétroliers finis,import,2021,1023104,3096895,2023
Produits pétroliers finis,import,2022,1999600,3648696,2023
Produits pétroliers finis,import,2023,1430940,3058442,2023
Métaux communs et ouvrages en métaux communs,import,2019,339561,646947,2023
Métaux communs et ouvrages en métaux communs,import,2020,301796,608230,2023
Métaux communs et ouvrages en métaux communs,import,2021,408603,753220,2023
Métaux communs et ouvrages en métaux communs,import,2022,527293,737194,2023
Métaux communs et ouvrages en métaux communs,import,2023,468394,716166,2023
Matières plastiques et artificielles,import,2019,130500,170068,2023
Matières plastiques et artificielles,import,2020,131516,166618,2023
Matières plastiques et artificielles,import,2021,173074,181258,2023
