chapitre,sens,annee,valeur,poids,edition
Animaux vivants,export,2020,146,9,2024
Animaux vivants,export,2021,45,3,2024
Animaux vivants,export,2022,25,1,2024
Animaux vivants,export,2023,57,6,2024
Animaux vivants,export,2024,159,18,2024
Viandes et abats comestibles,export,2020,127,30,2024
Viandes et abats comestibles,export,2021,132,29,2024
Viandes et abats comestibles,export,2022,124,28,2024
Viandes et abats comestibles,export,2023,149,31,2024
Viandes et abats comestibles,export,2024,265,42,2024
"Poissons et crustacés, mollusques et autres invertébrés aquatiques",export,2020,248106,328575,2024
"Poissons et crustacés, mollusques et autres invertébrés aquatiques",export,2021,301232,307054,2024
"Poissons et crustacés, mollusques et autres invertébrés aquatiques",export,2022,376688,285824,2024
"Poissons et crustacés, mollusques et autres invertébrés aquatiques",export,2023,297867,260407,2024
"Poissons et crustacés, mollusques et autres invertébrés aquatiques",export,2024,273378,231796,2024
"Lait, oeufs d'oiseaux, miel, produits comestibles d'animaux n.d.c.a.",export,2020,5675,3993,2024
"Lait, oeufs d'oiseaux, miel, produits comestibles d'animaux n.d.c.a.",export,2021,5546,3969,2024
"Lait, oeufs d'oiseaux, miel, produits comestibles d'animaux n.d.c.a.",export,2022,7290,5040,2024
"Lait, oeufs d'oiseaux, miel, produits comestibles d'animaux n.d.c.a.",export,2023,19592,6298,2024
"Lait, oeufs d'oiseaux, miel, produits comestibles d'animaux n.d.c.a.",export,2024,9590,6387,2024
"Autres produits d'origine animale, non dénommés ni compris ailleurs",export,2020,120,225,2024
"Autres produits d'origine animale, non dénommés ni compris ailleurs",export,2021,446,608,2024
"Autres produits d'origine animale, non dénommés ni compris ailleurs",export,2022,600,412,2024
"Autres produits d'origine animale, non dénommés ni compris ailleurs",export,2023,617,604,2024
"Autres produits d'origine animale, non dénommés ni compris ailleurs",export,2024,658,842,2024
Plantes vivantes et produits de la floriculture,export,2020,487,229,2024
Plantes vivantes et produits de la floriculture,export,2021,523,287,2024
Plantes vivantes et produits de la floriculture,export,2022,317,186,2024
Plantes vivantes et produits de la floriculture,export,2023,796,374,2024
Plantes vivantes et produits de la floriculture,export,2024,405,157,2024
"Légumes, plantes, racines et tubercules alimentaires",export,2020,51164,66004,2024
"Légumes, plantes, racines et tubercules alimentaires",export,2021,60282,112228,2024
