produit,sens,annee,valeur,poids,edition
Animaux vivants,export,2017,198,23,2021
Animaux vivants,export,2018,97,20,2021
Animaux vivants,export,2019,110,7,2021
Animaux vivants,export,2020,146,9,2021
Animaux vivants,export,2021,45,3,2021
Poisson frais de mer,export,2017,168559,206208,2021
Poisson frais de mer,export,2018,169030,213992,2021
Poisson frais de mer,export,2019,194145,274445,2021
Poisson frais de mer,export,2020,193606,309381,2021
Poisson frais de mer,export,2021,192498,280058,2021
"Crustacés, mollusques et coquillages",export,2017,59740,17826,2021
"Crustacés, mollusques et coquillages",export,2018,91706,24683,2021
"Crustacés, mollusques et coquillages",export,2019,93966,27847,2021
"Crustacés, mollusques et coquillages",export,2020,52324,16862,2021
"Crustacés, mollusques et coquillages",export,2021,106966,25253,2021
Légumes frais,export,2017,22256,27861,2021
Légumes frais,export,2018,25190,35167,2021
Légumes frais,export,2019,25086,30485,2021
Légumes frais,export,2020,35635,39662,2021
Légumes frais,export,2021,41470,46506,2021
Farine de froment,export,2017,2838,11864,2021
Farine de froment,export,2018,3543,15163,2021
Farine de froment,export,2019,2622,11009,2021
Farine de froment,export,2020,2962,11912,2021
Farine de froment,export,2021,7719,29249,2021
Arachides non grillées,export,2017,46925,99721,2021
Arachides non grillées,export,2018,39538,109807,2021
Arachides non grillées,export,2019,111511,326909,2021
Arachides non grillées,export,2020,113684,266548,2021
Arachides non grillées,export,2021,154789,336002,2021
Gomme arabique,export,2017,1475,3704,2021
Gomme arabique,export,2018,763,1606,2021
Gomme arabique,export,2019,714,2435,2021
Gomme arabique,export,2020,1463,4228,2021
Gomme arabique,export,2021,561,875,2021
Huile brute d'arachide,export,2017,16575,19181,2021
Huile brute d'arachide,export,2018,23830,36341,2021
Huile brute d'arachide,export,2019,41317,62846,2021
Huile brute d'arachide,export,2020,6791,8455,2021
Huile brute d'arachide,export,2021,13732,12629,2021
Huile raffinée d'arachide,export,2017,32,44,2021
Huile raffinée d'arachide,export,2018,0,0,2021
Huile raffinée d'arachide,export,2019,7,8,2021
Huile raffinée d'arachide,export,2020,0,0,2021
Huile raffinée d'arachide,export,2021,38,35,2021
Conserves de poisson,export,2017,6085,1963,2021
Conserves de poisson,export,2018,11744,3588,2021
Conserves de poisson,export,2019,40183,11705,2021
Conserves de poisson,export,2020,29827,10381,2021
Conserves de poisson,export,2021,11749,5062,2021
Produits sucrés,export,2017,4740,6602,2021
Produits sucrés,export,2018,7567,15145,2021
Produits sucrés,export,2019,4001,5492,2021
Produits sucrés,export,2020,3153,4810,2021
Produits sucrés,export,2021,3451,3776,2021
Tourteaux d'arachide,export,2017,404,2243,2021
Tourteaux d'arachide,export,2018,107,535,2021
Tourteaux d'arachide,export,2019,119,946,2021
Tourteaux d'arachide,export,2020,8,34,2021
Tourteaux d'arachide,export,2021,13,150,2021
Cigarettes,export,2017,28240,2251,2021
Cigarettes,export,2018,21331,1703,2021
Cigarettes,export,2019,18582,1462,2021
Cigarettes,export,2020,22613,1658,2021
Cigarettes,export,2021,30646,2379,2021
Sel brut,export,2017,8676,286670,2021
Sel brut,export,2018,8168,250810,2021
Sel brut,export,2019,10206,402098,2021
Sel brut,export,2020,9786,319869,2021
Sel brut,export,2021,10269,318954,2021
Phosphates,export,2017,18447,502421,2021
Phosphates,export,2018,16187,500126,2021
Phosphates,export,2019,22333,587216,2021
Phosphates,export,2020,11493,306641,2021
Phosphates,export,2021,22050,553448,2021
Ciment hydraulique,export,2017,117743,2770425,2021
Ciment hydraulique,export,2018,86503,2101426,2021
Ciment hydraulique,export,2019,77682,1850660,2021
Ciment hydraulique,export,2020,73746,1818422,2021
Ciment hydraulique,export,2021,86231,2123572,2021
Produits pétroliers,export,2017,242935,795247,2021
Produits pétroliers,export,2018,303945,816910,2021
Produits pétroliers,export,2019,477716,1292189,2021
Produits pétroliers,export,2020,357524,1279648,2021
Produits pétroliers,export,2021,436885,1303545,2021
Engrais minéraux et chimiques,export,2017,18961,105073,2021
Engrais minéraux et chimiques,export,2018,26049,159771,2021
Engrais minéraux et chimiques,export,2019,29476,135562,2021
Engrais minéraux et chimiques,export,2020,21263,111361,2021
Engrais minéraux et chimiques,export,2021,33057,121978,2021
Cuirs et peaux,export,2017,8166,6047,2021
Cuirs et peaux,export,2018,7681,6485,2021
Cuirs et peaux,export,2019,3922,5238,2021
Cuirs et peaux,export,2020,2660,2497,2021
Cuirs et peaux,export,2021,1964,1301,2021
Coton en masse,export,2017,6524,7883,2021
Coton en masse,export,2018,7026,7755,2021
Coton en masse,export,2019,7031,8027,2021
Coton en masse,export,2020,5783,6715,2021
Coton en masse,export,2021,8966,9140,2021
Tissus en coton,export,2017,128,52,2021
Tissus en coton,export,2018,302,92,2021
Tissus en coton,export,2019,27,18,2021
Tissus en coton,export,2020,42,81,2021
Tissus en coton,export,2021,39,20,2021
Chaussures,export,2017,1607,2371,2021
Chaussures,export,2018,2814,3681,2021
Chaussures,export,2019,3367,3918,2021
Chaussures,export,2020,5433,5609,2021
Chaussures,export,2021,6157,5859,2021
"Récipients en tôle, fer et acier",export,2017,269,153,2021
"Récipients en tôle, fer et acier",export,2018,70,52,2021
"Récipients en tôle, fer et acier",export,2019,17,11,2021
"Récipients en tôle, fer et acier",export,2020,120,67,2021
"Récipients en tôle, fer et acier",export,2021,99,62,2021
Acide phosphorique,export,2017,95974,339469,2021
Acide phosphorique,export,2018,157229,436780,2021
Acide phosphorique,export,2019,195699,517984,2021
Acide phosphorique,export,2020,151646,483194,2021
Acide phosphorique,export,2021,265348,478435,2021
"Poissons séchés, salés ou en saumure",export,2017,1981,1728,2021
"Poissons séchés, salés ou en saumure",export,2018,1759,2707,2021
"Poissons séchés, salés ou en saumure",export,2019,2552,4601,2021
"Poissons séchés, salés ou en saumure",export,2020,2176,2332,2021
"Poissons séchés, salés ou en saumure",export,2021,1768,1743,2021
Or non monétaire,export,2017,220144,12,2021
Or non monétaire,export,2018,313375,15,2021
Or non monétaire,export,2019,375734,16,2021
Or non monétaire,export,2020,422698,15,2021
Or non monétaire,export,2021,539778,19,2021
Zirconium,export,2017,36415,72666,2021
Zirconium,export,2018,57749,85994,2021
Zirconium,export,2019,61251,88772,2021
Zirconium,export,2020,53995,85044,2021
Zirconium,export,2021,62464,91558,2021
Titane,export,2017,45832,458580,2021
Titane,export,2018,41907,411426,2021
Titane,export,2019,54143,525972,2021
Titane,export,2020,62202,509409,2021
Titane,export,2021,87840,587818,2021
"Préparations pour soupes, potages, bouillons",export,2017,72296,64618,2021
"Préparations pour soupes, potages, bouillons",export,2018,71730,66881,2021
"Préparations pour soupes, potages, bouillons",export,2019,76755,72003,2021
"Préparations pour soupes, potages, bouillons",export,2020,76238,70235,2021
"Préparations pour soupes, potages, bouillons",export,2021,84285,79593,2021
Autres produits,export,2017,496146,1022247,2021
Autres produits,export,2018,518737,982900,2021
Autres produits,export,2019,516392,1008287,2021
Autres produits,export,2020,542328,1115758,2021
Autres produits,export,2021,673924,1619307,2021
Produits laitiers,import,2017,42960,25901,2021
Produits laitiers,import,2018,45416,27564,2021
Produits laitiers,import,2019,43730,26042,2021
Produits laitiers,import,2020,48950,28973,2021
Produits laitiers,import,2021,52009,32219,2021
Fruits et légumes comestibles,import,2017,60556,362819,2021
Fruits et légumes comestibles,import,2018,53023,273585,2021
Fruits et légumes comestibles,import,2019,64480,330577,2021
