chapitre,sens,annee,valeur,poids,edition
Animaux vivants,export,2016,203,34,2020
Animaux vivants,export,2017,198,23,2020
Animaux vivants,export,2018,97,20,2020
Animaux vivants,export,2019,110,7,2020
Animaux vivants,export,2020,146,9,2020
Viandes et abats comestibles,export,2016,227,134,2020
Viandes et abats comestibles,export,2017,748,852,2020
Viandes et abats comestibles,export,2018,1404,1880,2020
Viandes et abats comestibles,export,2019,1056,1375,2020
Viandes et abats comestibles,export,2020,127,30,2020
"Poissons et crustacés, mollusques et autres invertébrés aquatiques",export,2016,214573,206447,2020
"Poissons et crustacés, mollusques et autres invertébrés aquatiques",export,2017,230280,225763,2020
"Poissons et crustacés, mollusques et autres invertébrés aquatiques",export,2018,262495,241382,2020
"Poissons et crustacés, mollusques et autres invertébrés aquatiques",export,2019,290663,306894,2020
"Poissons et crustacés, mollusques et autres invertébrés aquatiques",export,2020,248106,328575,2020
"Lait, oeufs d'oiseaux, miel, produits comestibles d'animaux n.d.c.a.",export,2016,4946,3293,2020
"Lait, oeufs d'oiseaux, miel, produits comestibles d'animaux n.d.c.a.",export,2017,3941,3719,2020
"Lait, oeufs d'oiseaux, miel, produits comestibles d'animaux n.d.c.a.",export,2018,5216,4370,2020
"Lait, oeufs d'oiseaux, miel, produits comestibles d'animaux n.d.c.a.",export,2019,3458,3519,2020
"Lait, oeufs d'oiseaux, miel, produits comestibles d'animaux n.d.c.a.",export,2020,5675,3993,2020
"Autres produits d'origine animale, non dénommés ni compris ailleurs",export,2016,150,832,2020
"Autres produits d'origine animale, non dénommés ni compris ailleurs",export,2017,98,573,2020
"Autres produits d'origine animale, non dénommés ni compris ailleurs",export,2018,33,132,2020
"Autres produits d'origine animale, non dénommés ni compris ailleurs",export,2019,61,192,2020
"Autres produits d'origine animale, non dénommés ni compris ailleurs",export,2020,120,225,2020
Plantes vivantes et produits de la floriculture,export,2016,468,451,2020
Plantes vivantes et produits de la floriculture,export,2017,281,174,2020
Plantes vivantes et produits de la floriculture,export,2018,492,364,2020
Plantes vivantes et produits de la floriculture,export,2019,408,216,2020
Plantes vivantes et produits de la floriculture,export,2020,487,229,2020
"Légumes, plantes, racines et tubercules alimentaires",export,2016,30690,49570,2020
"Légumes, plantes, racines et tubercules alimentaires",export,2017,39808,62361,2020
"Légumes, plantes, racines et tubercules alimentaires",export,2018,40126,62930,2020
"Légumes, plantes, racines et tubercules alimentaires",export,2019,41010,60428,2020
