pays,region,sens,annee,valeur,poids,edition
ALLEMAGNE,Union européenne,export,2019,3354,3005,2023
ALLEMAGNE,Union européenne,export,2020,4226,2818,2023
ALLEMAGNE,Union européenne,export,2021,1978,1989,2023
ALLEMAGNE,Union européenne,export,2022,2143,2663,2023
ALLEMAGNE,Union européenne,export,2023,3204,2414,2023
AUTRICHE,Union européenne,export,2019,134,38,2023
AUTRICHE,Union européenne,export,2020,140,65,2023
AUTRICHE,Union européenne,export,2021,104,37,2023
AUTRICHE,Union européenne,export,2022,117,31,2023
AUTRICHE,Union européenne,export,2023,75,25,2023
BELGIQUE,Union européenne,export,2019,28287,105812,2023
BELGIQUE,Union européenne,export,2020,27888,35169,2023
BELGIQUE,Union européenne,export,2021,12055,30298,2023
BELGIQUE,Union européenne,export,2022,31490,57998,2023
BELGIQUE,Union européenne,export,2023,20809,137287,2023
BULGARIE,Union européenne,export,2019,520,772,2023
BULGARIE,Union européenne,export,2020,236,271,2023
BULGARIE,Union européenne,export,2021,418,254,2023
BULGARIE,Union européenne,export,2022,382,284,2023
BULGARIE,Union européenne,export,2023,308,143,2023
CHYPRE,Union européenne,export,2019,661,89,2023
CHYPRE,Union européenne,export,2020,153,19,2023
CHYPRE,Union européenne,export,2021,154,19,2023
CHYPRE,Union européenne,export,2022,2694,48,2023
CHYPRE,Union européenne,export,2023,753,134,2023
CROATIE,Union européenne,export,2019,29,21,2023
CROATIE,Union européenne,export,2020,,,2023
CROATIE,Union européenne,export,2021,21,7,2023
CROATIE,Union européenne,export,2022,38,19,2023
CROATIE,Union européenne,export,2023,17,12,2023
DANEMARK,Union européenne,export,2019,213,171,2023
DANEMARK,Union européenne,export,2020,1044,975,2023
DANEMARK,Union européenne,export,2021,206,105,2023
DANEMARK,Union européenne,export,2022,434,373,2023
DANEMARK,Union européenne,export,2023,993,1424,2023
ESPAGNE,Union européenne,export,2019,89184,118470,2023
ESPAGNE,Union européenne,export,2020,71743,91304,2023
ESPAGNE,Union européenne,export,2021,108600,157690,2023
ESPAGNE,Union européenne,export,2022,126676,108345,2023
ESPAGNE,Union européenne,export,2023,99469,90650,2023
FINLANDE,Union européenne,export,2019,2844,33005,2023
FINLANDE,Union européenne,export,2020,10,1,2023
FINLANDE,Union européenne,export,2021,12,11,2023
FINLANDE,Union européenne,export,2022,12,10,2023
FINLANDE,Union européenne,export,2023,60,7,2023
FRANCE,Union européenne,export,2019,51211,32832,2023
FRANCE,Union européenne,export,2020,44224,66772,2023
FRANCE,Union européenne,export,2021,49565,99683,2023
FRANCE,Union européenne,export,2022,47854,115236,2023
FRANCE,Union européenne,export,2023,51397,120329,2023
GRECE,Union européenne,export,2019,4598,738,2023
GRECE,Union européenne,export,2020,3969,913,2023
GRECE,Union européenne,export,2021,7832,1312,2023
GRECE,Union européenne,export,2022,13438,1164,2023
GRECE,Union européenne,export,2023,9942,1749,2023
HONGRIE,Union européenne,export,2019,89,110,2023
HONGRIE,Union européenne,export,2020,18,3,2023
HONGRIE,Union européenne,export,2021,8980,15,2023
HONGRIE,Union européenne,export,2022,1,1,2023
HONGRIE,Union européenne,export,2023,75,3,2023
IRLANDE,Union européenne,export,2019,20,200,2023
IRLANDE,Union européenne,export,2020,302,283,2023
IRLANDE,Union européenne,export,2021,,,2023
IRLANDE,Union européenne,export,2022,0,0,2023
IRLANDE,Union européenne,export,2023,22,5,2023
ITALIE,Union européenne,export,2019,59636,39958,2023
ITALIE,Union européenne,export,2020,31077,20761,2023
ITALIE,Union européenne,export,2021,60659,26905,2023
ITALIE,Union européenne,export,2022,62840,24519,2023
ITALIE,Union européenne,export,2023,44823,17589,2023
LUXEMBOURG,Union européenne,export,2019,,,2023
LUXEMBOURG,Union européenne,export,2020,,,2023
LUXEMBOURG,Union européenne,export,2021,,,2023
LUXEMBOURG,Union européenne,export,2022,,,2023
LUXEMBOURG,Union européenne,export,2023,125,20,2023
MALTE,Union européenne,export,2019,230,41,2023
MALTE,Union européenne,export,2020,99,57,2023
MALTE,Union européenne,export,2021,77,35,2023
MALTE,Union européenne,export,2022,80,77,2023
MALTE,Union européenne,export,2023,650,14,2023
PAYS BAS,Union européenne,export,2019,32145,79291,2023
PAYS BAS,Union européenne,export,2020,39549,133599,2023
PAYS BAS,Union européenne,export,2021,66199,209845,2023
PAYS BAS,Union européenne,export,2022,40907,72569,2023
PAYS BAS,Union européenne,export,2023,45221,182415,2023
POLOGNE,Union européenne,export,2019,5585,81669,2023
POLOGNE,Union européenne,export,2020,998,23707,2023
POLOGNE,Union européenne,export,2021,775,23841,2023
POLOGNE,Union européenne,export,2022,15864,166196,2023
POLOGNE,Union européenne,export,2023,5442,42561,2023
PORTUGAL,Union européenne,export,2019,5438,3690,2023
PORTUGAL,Union européenne,export,2020,2492,1419,2023
PORTUGAL,Union européenne,export,2021,4561,1706,2023
PORTUGAL,Union européenne,export,2022,8989,2729,2023
PORTUGAL,Union européenne,export,2023,10845,3650,2023
REPUBLIQUE D'ESTONIE,Union européenne,export,2019,3,2,2023
REPUBLIQUE D'ESTONIE,Union européenne,export,2020,,,2023
REPUBLIQUE D'ESTONIE,Union européenne,export,2021,,,2023
REPUBLIQUE D'ESTONIE,Union européenne,export,2022,,,2023
REPUBLIQUE D'ESTONIE,Union européenne,export,2023,,,2023
REPUBLIQUE DE LETTONIE,Union européenne,export,2019,,,2023
REPUBLIQUE DE LETTONIE,Union européenne,export,2020,22,63,2023
REPUBLIQUE DE LETTONIE,Union européenne,export,2021,,,2023
REPUBLIQUE DE LETTONIE,Union européenne,export,2022,8,0,2023
REPUBLIQUE DE LETTONIE,Union européenne,export,2023,,,2023
REPUBLIQUE DE LITUANIE,Union européenne,export,2019,,,2023
REPUBLIQUE DE LITUANIE,Union européenne,export,2020,57,85,2023
REPUBLIQUE DE LITUANIE,Union européenne,export,2021,85,180,2023
REPUBLIQUE DE LITUANIE,Union européenne,export,2022,197,146,2023
REPUBLIQUE DE LITUANIE,Union européenne,export,2023,2668,22152,2023
REPUBLIQUE DE SLOVAQUIE,Union européenne,export,2019,,,2023
REPUBLIQUE DE SLOVAQUIE,Union européenne,export,2020,129,51,2023
REPUBLIQUE DE SLOVAQUIE,Union européenne,export,2021,,,2023
REPUBLIQUE DE SLOVAQUIE,Union européenne,export,2022,7,1,2023
REPUBLIQUE DE SLOVAQUIE,Union européenne,export,2023,2,0,2023
REPUBLIQUE TCHEQUE,Union européenne,export,2019,4,1,2023
REPUBLIQUE TCHEQUE,Union européenne,export,2020,14,28,2023
REPUBLIQUE TCHEQUE,Union européenne,export,2021,9,2,2023
REPUBLIQUE TCHEQUE,Union européenne,export,2022,25,5,2023
REPUBLIQUE TCHEQUE,Union européenne,export,2023,13,1,2023
ROUMANIE,Union européenne,export,2019,16,2,2023
ROUMANIE,Union européenne,export,2020,3,2,2023
ROUMANIE,Union européenne,export,2021,32,41,2023
