sens,mesure,annee,total,edition
export,valeur,2019,2446666,2023
export,valeur,2020,2261346,2023
export,valeur,2021,2884802,2023
export,valeur,2022,3563359,2023
export,valeur,2023,3223930,2023
export,poids,2019,7258168,2023
export,poids,2020,6790837,2023
export,poids,2021,8038328,2023
export,poids,2022,6969968,2023
export,poids,2023,7428616,2023
import,valeur,2019,4773932,2023
import,valeur,2020,4494412,2023
import,valeur,2021,5378494,2023
import,valeur,2022,7549365,2023
import,valeur,2023,7207803,2023
import,poids,2019,11794868,2023
import,poids,2020,12988757,2023
import,poids,2021,14064950,2023
import,poids,2022,14497275,2023
import,poids,2023,15170373,2023
