continent,sens,annee,valeur,poids,edition
Europe,export,2019,705048,910277,2023
Europe,export,2020,583895,831877,2023
Europe,export,2021,831900,1184633,2023
Europe,export,2022,891411,1025172,2023
Europe,export,2023,793637,1022308,2023
Afrique,export,2019,1053940,4566014,2023
Afrique,export,2020,970758,4368966,2023
Afrique,export,2021,1152121,4889026,2023
Afrique,export,2022,1404451,4208747,2023
Afrique,export,2023,1409238,4639324,2023
Amérique,export,2019,89980,181152,2023
Amérique,export,2020,88486,172727,2023
Amérique,export,2021,114152,248837,2023
Amérique,export,2022,124436,167922,2023
Amérique,export,2023,122255,187539,2023
Asie,export,2019,482415,1317856,2023
Asie,export,2020,406667,1140316,2023
Asie,export,2021,577450,1430816,2023
Asie,export,2022,866602,1360119,2023
Asie,export,2023,626789,1309906,2023
Océanie,export,2019,3193,1822,2023
Océanie,export,2020,124100,798,2023
Océanie,export,2021,122348,2292,2023
Océanie,export,2022,142974,3195,2023
Océanie,export,2023,109111,21789,2023
Divers,export,2019,112090,281047,2023
Divers,export,2020,87441,276153,2023
Divers,export,2021,86830,282723,2023
Divers,export,2022,133485,204812,2023
Divers,export,2023,162901,247750,2023
Europe,import,2019,2662863,6197446,2023
Europe,import,2020,2405439,6482950,2023
Europe,import,2021,2635826,6169483,2023
Europe,import,2022,3576586,5620376,2023
Europe,import,2023,3212405,5853755,2023
Afrique,import,2019,608533,2220386,2023
Afrique,import,2020,647692,2661992,2023
Afrique,import,2021,722712,2875299,2023
Afrique,import,2022,895862,3175189,2023
Afrique,import,2023,1214399,3651657,2023
Amérique,import,2019,282925,988132,2023
Amérique,import,2020,328799,1129397,2023
Amérique,import,2021,399578,1138845,2023
Amérique,import,2022,560634,1365632,2023
Amérique,import,2023,457511,1178800,2023
Asie,import,2019,1195078,2310835,2023
Asie,import,2020,1083712,2670372,2023
Asie,import,2021,1581546,3796747,2023
Asie,import,2022,2440343,4181713,2023
Asie,import,2023,2197049,4381359,2023
Océanie,import,2019,9139,3689,2023
Océanie,import,2020,19220,3701,2023
Océanie,import,2021,17486,12557,2023
Océanie,import,2022,18718,8365,2023
Océanie,import,2023,29786,11805,2023
Divers,import,2019,15394,74379,2023
Divers,import,2020,9552,40345,2023
Divers,import,2021,21346,72019,2023
Divers,import,2022,57222,146000,2023
Divers,import,2023,96653,92996,2023
