chapitre,sens,annee,valeur,poids,edition
Animaux vivants,export,2015,149,26,2019
Animaux vivants,export,2016,203,34,2019
Animaux vivants,export,2017,198,23,2019
Animaux vivants,export,2018,97,20,2019
Animaux vivants,export,2019,110,7,2019
Viandes et abats comestibles,export,2015,67,95,2019
Viandes et abats comestibles,export,2016,196,118,2019
Viandes et abats comestibles,export,2017,326,181,2019
Viandes et abats comestibles,export,2018,966,1231,2019
Viandes et abats comestibles,export,2019,174,54,2019
"Poissons et crustacés, mollusques et autres invertébrés aquatiques",export,2015,196079,185135,2019
"Poissons et crustacés, mollusques et autres invertébrés aquatiques",export,2016,214220,205841,2019
"Poissons et crustacés, mollusques et autres invertébrés aquatiques",export,2017,230258,225704,2019
"Poissons et crustacés, mollusques et autres invertébrés aquatiques",export,2018,262411,241293,2019
"Poissons et crustacés, mollusques et autres invertébrés aquatiques",export,2019,290557,306780,2019
"Lait, oeufs d'oiseaux, miel, produits comestibles d'animaux n.d.c.a.",export,2015,5457,3864,2019
"Lait, oeufs d'oiseaux, miel, produits comestibles d'animaux n.d.c.a.",export,2016,3798,2527,2019
"Lait, oeufs d'oiseaux, miel, produits comestibles d'animaux n.d.c.a.",export,2017,2769,3033,2019
"Lait, oeufs d'oiseaux, miel, produits comestibles d'animaux n.d.c.a.",export,2018,2942,3024,2019
"Lait, oeufs d'oiseaux, miel, produits comestibles d'animaux n.d.c.a.",export,2019,2523,3000,2019
"Autres produits d'origine animale, non dénommés ni compris ailleurs",export,2015,57,83,2019
"Autres produits d'origine animale, non dénommés ni compris ailleurs",export,2016,150,832,2019
"Autres produits d'origine animale, non dénommés ni compris ailleurs",export,2017,98,573,2019
"Autres produits d'origine animale, non dénommés ni compris ailleurs",export,2018,33,132,2019
"Autres produits d'origine animale, non dénommés ni compris ailleurs",export,2019,61,192,2019
Plantes vivantes et produits de la floriculture,export,2015,145,59,2019
Plantes vivantes et produits de la floriculture,export,2016,468,451,2019
Plantes vivantes et produits de la floriculture,export,2017,281,174,2019
Plantes vivantes et produits de la floriculture,export,2018,481,352,2019
Plantes vivantes et produits de la floriculture,export,2019,397,204,2019
"Légumes, plantes, racines et tubercules alimentaires",export,2015,28767,43826,2019
"Légumes, plantes, racines et tubercules alimentaires",export,2016,30656,49385,2019
"Légumes, plantes, racines et tubercules alimentaires",export,2017,39675,61590,2019
"Légumes, plantes, racines et tubercules alimentaires",export,2018,39961,61702,2019
"Légumes, plantes, racines et tubercules alimentaires",export,2019,41010,60428,2019
"Fruits comestibles, écorces d'agrumes ou de melons",export,2015,13634,36412,2019
"Fruits comestibles, écorces d'agrumes ou de melons",export,2016,19227,43257,2019
"Fruits comestibles, écorces d'agrumes ou de melons",export,2017,21689,45839,2019
"Fruits comestibles, écorces d'agrumes ou de melons",export,2018,38456,64784,2019
"Fruits comestibles, écorces d'agrumes ou de melons",export,2019,58871,114953,2019
"Café, thé, maté et épices",export,2015,454,450,2019
"Café, thé, maté et épices",export,2016,494,505,2019
"Café, thé, maté et épices",export,2017,565,734,2019
"Café, thé, maté et épices",export,2018,1131,1107,2019
"Café, thé, maté et épices",export,2019,654,392,2019
Céréales,export,2015,468,1492,2019
Céréales,export,2016,258,1111,2019
Céréales,export,2017,604,1878,2019
Céréales,export,2018,848,3938,2019
Céréales,export,2019,4250,15813,2019
"Produits de la minoterie, malt, amidons et fécules, inuline, gluten de froment",export,2015,5376,20291,2019
"Produits de la minoterie, malt, amidons et fécules, inuline, gluten de froment",export,2016,3279,15396,2019
"Produits de la minoterie, malt, amidons et fécules, inuline, gluten de froment",export,2017,2992,12116,2019
"Produits de la minoterie, malt, amidons et fécules, inuline, gluten de froment",export,2018,3709,15393,2019
"Produits de la minoterie, malt, amidons et fécules, inuline, gluten de froment",export,2019,2979,11328,2019
"Oléagineux, graines, semences, plantes industrielles, médicinales, pailles",export,2015,53550,112858,2019
"Oléagineux, graines, semences, plantes industrielles, médicinales, pailles",export,2016,63479,141802,2019
"Oléagineux, graines, semences, plantes industrielles, médicinales, pailles",export,2017,52636,108235,2019
"Oléagineux, graines, semences, plantes industrielles, médicinales, pailles",export,2018,46925,119056,2019
"Oléagineux, graines, semences, plantes industrielles, médicinales, pailles",export,2019,114488,330991,2019
"Gommes, résines et autres sucs et extraits végétaux",export,2015,1519,2961,2019
"Gommes, résines et autres sucs et extraits végétaux",export,2016,1363,3797,2019
"Gommes, résines et autres sucs et extraits végétaux",export,2017,1540,3705,2019
"Gommes, résines et autres sucs et extraits végétaux",export,2018,946,1734,2019
"Gommes, résines et autres sucs et extraits végétaux",export,2019,714,2435,2019
Matières à tresser et autres produits d'origine végétale n.d.c.a.,export,2015,45,21,2019
Matières à tresser et autres produits d'origine végétale n.d.c.a.,export,2016,11,19,2019
Matières à tresser et autres produits d'origine végétale n.d.c.a.,export,2017,32,62,2019
Matières à tresser et autres produits d'origine végétale n.d.c.a.,export,2018,20,28,2019
Matières à tresser et autres produits d'origine végétale n.d.c.a.,export,2019,24,32,2019
"Graisses, huiles, cires (animales et végétales), graisses alimentaires",export,2015,43263,57594,2019
"Graisses, huiles, cires (animales et végétales), graisses alimentaires",export,2016,19358,25475,2019
"Graisses, huiles, cires (animales et végétales), graisses alimentaires",export,2017,20473,24315,2019
"Graisses, huiles, cires (animales et végétales), graisses alimentaires",export,2018,27753,41251,2019
"Graisses, huiles, cires (animales et végétales), graisses alimentaires",export,2019,45818,70200,2019
"Préparations de viandes, poissons, crustacés, mollusques",export,2015,6914,3587,2019
"Préparations de viandes, poissons, crustacés, mollusques",export,2016,3490,1625,2019
"Préparations de viandes, poissons, crustacés, mollusques",export,2017,6236,2010,2019
"Préparations de viandes, poissons, crustacés, mollusques",export,2018,12051,3661,2019
"Préparations de viandes, poissons, crustacés, mollusques",export,2019,40250,11726,2019
Sucres et sucreries,export,2015,1828,1983,2019
Sucres et sucreries,export,2016,2239,2665,2019
Sucres et sucreries,export,2017,3461,4072,2019
Sucres et sucreries,export,2018,3502,5085,2019
Sucres et sucreries,export,2019,3842,5339,2019
Cacao et ses préparations,export,2015,3210,3518,2019
Cacao et ses préparations,export,2016,4280,4276,2019
Cacao et ses préparations,export,2017,4456,4577,2019
Cacao et ses préparations,export,2018,4615,4876,2019
Cacao et ses préparations,export,2019,4595,4601,2019
"Préparations à base de céréales et dérivés, pâtisseries",export,2015,24641,22640,2019
"Préparations à base de céréales et dérivés, pâtisseries",export,2016,15542,14524,2019
"Préparations à base de céréales et dérivés, pâtisseries",export,2017,24960,23279,2019
"Préparations à base de céréales et dérivés, pâtisseries",export,2018,13555,18682,2019
"Préparations à base de céréales et dérivés, pâtisseries",export,2019,8376,11098,2019
"Préparations de légumes, de fruits ou d'autres parties de plantes",export,2015,5991,8631,2019
"Préparations de légumes, de fruits ou d'autres parties de plantes",export,2016,4839,8098,2019
"Préparations de légumes, de fruits ou d'autres parties de plantes",export,2017,7607,14556,2019
"Préparations de légumes, de fruits ou d'autres parties de plantes",export,2018,4626,9126,2019
"Préparations de légumes, de fruits ou d'autres parties de plantes",export,2019,6086,11179,2019
Préparations alimentaires diverses,export,2015,67961,55254,2019
Préparations alimentaires diverses,export,2016,68089,68698,2019
Préparations alimentaires diverses,export,2017,78911,70785,2019
Préparations alimentaires diverses,export,2018,80651,76679,2019
Préparations alimentaires diverses,export,2019,84210,79993,2019
"Boissons, liquides alcooliques et vinaigres",export,2015,2106,3403,2019
"Boissons, liquides alcooliques et vinaigres",export,2016,1721,3198,2019
"Boissons, liquides alcooliques et vinaigres",export,2017,1790,3332,2019
"Boissons, liquides alcooliques et vinaigres",export,2018,1434,3247,2019
"Boissons, liquides alcooliques et vinaigres",export,2019,3472,6824,2019
"Résidus, déchets des industries alimentaires, aliments préparés pour animaux",export,2015,7211,28990,2019
"Résidus, déchets des industries alimentaires, aliments préparés pour animaux",export,2016,3669,15358,2019
"Résidus, déchets des industries alimentaires, aliments préparés pour animaux",export,2017,2852,12442,2019
"Résidus, déchets des industries alimentaires, aliments préparés pour animaux",export,2018,4455,16346,2019
"Résidus, déchets des industries alimentaires, aliments préparés pour animaux",export,2019,4414,18260,2019
Tabacs et succédanés de tabacs fabriqués,export,2015,75339,8133,2019
Tabacs et succédanés de tabacs fabriqués,export,2016,67109,6698,2019
Tabacs et succédanés de tabacs fabriqués,export,2017,62722,6669,2019
Tabacs et succédanés de tabacs fabriqués,export,2018,53328,6310,2019
Tabacs et succédanés de tabacs fabriqués,export,2019,43358,4951,2019
"Sel, soufre, terres et pierres, plâtres, chaux et ciments",export,2015,159261,3793789,2019
"Sel, soufre, terres et pierres, plâtres, chaux et ciments",export,2016,156651,3879210,2019
"Sel, soufre, terres et pierres, plâtres, chaux et ciments",export,2017,149445,3800344,2019
"Sel, soufre, terres et pierres, plâtres, chaux et ciments",export,2018,114781,3016291,2019
"Sel, soufre, terres et pierres, plâtres, chaux et ciments",export,2019,113488,3017031,2019
"Minerais, scories et cendres",export,2015,55156,456979,2019
"Minerais, scories et cendres",export,2016,58528,450989,2019
"Minerais, scories et cendres",export,2017,84322,535030,2019
"Minerais, scories et cendres",export,2018,99767,497710,2019
"Minerais, scories et cendres",export,2019,115412,614799,2019
"Combustibles minéraux, huiles, cires minérales, matières bitumineuses",export,2015,133006,306382,2019
"Combustibles minéraux, huiles, cires minérales, matières bitumineuses",export,2016,99222,266709,2019
"Combustibles minéraux, huiles, cires minérales, matières bitumineuses",export,2017,124440,331330,2019
"Combustibles minéraux, huiles, cires minérales, matières bitumineuses",export,2018,131757,295159,2019
"Combustibles minéraux, huiles, cires minérales, matières bitumineuses",export,2019,148116,331715,2019
"Produits chimiques inorganiques, composés de métaux ou radioactifs",export,2015,97241,250673,2019
"Produits chimiques inorganiques, composés de métaux ou radioactifs",export,2016,117399,342335,2019
"Produits chimiques inorganiques, composés de métaux ou radioactifs",export,2017,98855,354444,2019
"Produits chimiques inorganiques, composés de métaux ou radioactifs",export,2018,159915,445769,2019
"Produits chimiques inorganiques, composés de métaux ou radioactifs",export,2019,199137,537723,2019
Produits chimiques organiques,export,2015,2018,1395,2019
Produits chimiques organiques,export,2016,2391,1950,2019
Produits chimiques organiques,export,2017,2576,2887,2019
Produits chimiques organiques,export,2018,3833,3846,2019
Produits chimiques organiques,export,2019,3825,3867,2019
Produits pharmaceutiques,export,2015,6470,625,2019
