sens,mesure,annee,total,edition
export,valeur,2015,1342629,2019
export,valeur,2016,1371237,2019
export,valeur,2017,1486399,2019
export,valeur,2018,1669954,2019
export,valeur,2019,1985091,2019
export,poids,2015,5628518,2019
export,poids,2016,5872388,2019
export,poids,2017,6053687,2019
export,poids,2018,5423245,2019
export,poids,2019,5999150,2019
import,valeur,2015,3032912,2019
import,valeur,2016,2977512,2019
import,valeur,2017,3536496,2019
import,valeur,2018,3916257,2019
import,valeur,2019,4229294,2019
import,poids,2015,7439216,2019
import,poids,2016,8270393,2019
import,poids,2017,9284157,2019
import,poids,2018,10349957,2019
import,poids,2019,10305225,2019
