continent,sens,annee,valeur,poids,edition
Europe,export,2015,361299,1029373,2019
Europe,export,2016,381062,727476,2019
Europe,export,2017,428913,716814,2019
Europe,export,2018,575858,610080,2019
Europe,export,2019,676461,791794,2019
Afrique,export,2015,573425,3426116,2019
Afrique,export,2016,587775,3963772,2019
Afrique,export,2017,626002,3901223,2019
Afrique,export,2018,603765,3316329,2019
Afrique,export,2019,638125,3433273,2019
Amérique,export,2015,25261,151715,2019
Amérique,export,2016,24971,105495,2019
Amérique,export,2017,41083,226511,2019
Amérique,export,2018,42148,129179,2019
Amérique,export,2019,75539,177392,2019
Asie,export,2015,280563,757726,2019
Asie,export,2016,317979,864102,2019
Asie,export,2017,300388,930191,2019
Asie,export,2018,331266,1001215,2019
Asie,export,2019,480910,1315313,2019
Océanie,export,2015,130,153,2019
Océanie,export,2016,284,519,2019
Océanie,export,2017,580,473,2019
Océanie,export,2018,5547,50713,2019
Océanie,export,2019,3193,1822,2019
Divers,export,2015,101951,263435,2019
Divers,export,2016,59167,211024,2019
Divers,export,2017,89433,278475,2019
Divers,export,2018,111369,315729,2019
Divers,export,2019,110862,279557,2019
Europe,import,2015,1464471,3033836,2019
Europe,import,2016,1339363,3282284,2019
Europe,import,2017,1640171,3660852,2019
Europe,import,2018,1868722,4654164,2019
Europe,import,2019,2257729,4990360,2019
Afrique,import,2015,515876,1981431,2019
Afrique,import,2016,540891,2287147,2019
Afrique,import,2017,627793,2457873,2019
Afrique,import,2018,705883,2617207,2019
Afrique,import,2019,595258,2194776,2019
Amérique,import,2015,186982,507060,2019
Amérique,import,2016,203500,622178,2019
Amérique,import,2017,271230,1055410,2019
Amérique,import,2018,267449,1062750,2019
Amérique,import,2019,268896,922143,2019
Asie,import,2015,843760,1898009,2019
Asie,import,2016,874784,2065615,2019
Asie,import,2017,962259,2089107,2019
Asie,import,2018,1058082,2002231,2019
Asie,import,2019,1084807,2120203,2019
Océanie,import,2015,16900,7418,2019
Océanie,import,2016,14632,8371,2019
Océanie,import,2017,29347,8266,2019
Océanie,import,2018,10974,5105,2019
Océanie,import,2019,7604,2913,2019
Divers,import,2015,4922,11462,2019
Divers,import,2016,4342,4798,2019
Divers,import,2017,5696,12650,2019
Divers,import,2018,5147,8500,2019
Divers,import,2019,15001,74830,2019
