chapitre,sens,annee,valeur,poids,edition
Animaux vivants,export,2018,97,20,2022
Animaux vivants,export,2019,110,7,2022
Animaux vivants,export,2020,146,9,2022
Animaux vivants,export,2021,45,3,2022
Animaux vivants,export,2022,25,1,2022
Viandes et abats comestibles,export,2018,1404,1880,2022
Viandes et abats comestibles,export,2019,1056,1375,2022
Viandes et abats comestibles,export,2020,127,30,2022
Viandes et abats comestibles,export,2021,132,29,2022
Viandes et abats comestibles,export,2022,124,28,2022
"Poissons et crustacés, mollusques et autres invertébrés aquatiques",export,2018,262495,241382,2022
"Poissons et crustacés, mollusques et autres invertébrés aquatiques",export,2019,290663,306894,2022
"Poissons et crustacés, mollusques et autres invertébrés aquatiques",export,2020,248106,328575,2022
"Poissons et crustacés, mollusques et autres invertébrés aquatiques",export,2021,301232,307054,2022
"Poissons et crustacés, mollusques et autres invertébrés aquatiques",export,2022,376688,285824,2022
"Lait, oeufs d'oiseaux, miel, produits comestibles d'animaux n.d.c.a.",export,2018,5216,4370,2022
"Lait, oeufs d'oiseaux, miel, produits comestibles d'animaux n.d.c.a.",export,2019,3458,3519,2022
"Lait, oeufs d'oiseaux, miel, produits comestibles d'animaux n.d.c.a.",export,2020,5675,3993,2022
"Lait, oeufs d'oiseaux, miel, produits comestibles d'animaux n.d.c.a.",export,2021,5546,3969,2022
"Lait, oeufs d'oiseaux, miel, produits comestibles d'animaux n.d.c.a.",export,2022,7290,5040,2022
"Autres produits d'origine animale, non dénommés ni compris ailleurs",export,2018,33,132,2022
"Autres produits d'origine animale, non dénommés ni compris ailleurs",export,2019,61,192,2022
"Autres produits d'origine animale, non dénommés ni compris ailleurs",export,2020,120,225,2022
"Autres produits d'origine animale, non dénommés ni compris ailleurs",export,2021,446,608,2022
"Autres produits d'origine animale, non dénommés ni compris ailleurs",export,2022,600,412,2022
Plantes vivantes et produits de la floriculture,export,2018,492,364,2022
Plantes vivantes et produits de la floriculture,export,2019,408,216,2022
Plantes vivantes et produits de la floriculture,export,2020,487,229,2022
Plantes vivantes et produits de la floriculture,export,2021,523,287,2022
Plantes vivantes et produits de la floriculture,export,2022,317,186,2022
"Légumes, plantes, racines et tubercules alimentaires",export,2018,40126,62930,2022
"Légumes, plantes, racines et tubercules alimentaires",export,2019,41010,60428,2022
"Légumes, plantes, racines et tubercules alimentaires",export,2020,51164,66004,2022
"Légumes, plantes, racines et tubercules alimentaires",export,2021,60282,112228,2022
"Légumes, plantes, racines et tubercules alimentaires",export,2022,53360,66532,2022
"Fruits comestibles, écorces d'agrumes ou de melons",export,2018,38456,64784,2022
"Fruits comestibles, écorces d'agrumes ou de melons",export,2019,58871,114953,2022
"Fruits comestibles, écorces d'agrumes ou de melons",export,2020,42652,88026,2022
"Fruits comestibles, écorces d'agrumes ou de melons",export,2021,83801,141528,2022
"Fruits comestibles, écorces d'agrumes ou de melons",export,2022,90492,154728,2022
"Café, thé, maté et épices",export,2018,2387,3496,2022
"Café, thé, maté et épices",export,2019,1189,1456,2022
"Café, thé, maté et épices",export,2020,1334,1577,2022
"Café, thé, maté et épices",export,2021,1114,1401,2022
"Café, thé, maté et épices",export,2022,1929,1458,2022
Céréales,export,2018,25810,118222,2022
Céréales,export,2019,30918,135710,2022
Céréales,export,2020,15205,64931,2022
Céréales,export,2021,25692,104495,2022
Céréales,export,2022,30457,111984,2022
"Produits de la minoterie, malt, amidons et fécules, inuline, gluten de froment",export,2018,3891,15671,2022
"Produits de la minoterie, malt, amidons et fécules, inuline, gluten de froment",export,2019,3039,11386,2022
"Produits de la minoterie, malt, amidons et fécules, inuline, gluten de froment",export,2020,3375,12401,2022
"Produits de la minoterie, malt, amidons et fécules, inuline, gluten de froment",export,2021,8485,30864,2022
"Produits de la minoterie, malt, amidons et fécules, inuline, gluten de froment",export,2022,5195,14801,2022
"Oléagineux, graines, semences, plantes industrielles, médicinales, pailles",export,2018,46939,119084,2022
"Oléagineux, graines, semences, plantes industrielles, médicinales, pailles",export,2019,114488,330991,2022
"Oléagineux, graines, semences, plantes industrielles, médicinales, pailles",export,2020,116909,271663,2022
"Oléagineux, graines, semences, plantes industrielles, médicinales, pailles",export,2021,160889,347676,2022
"Oléagineux, graines, semences, plantes industrielles, médicinales, pailles",export,2022,89745,187159,2022
"Gommes, résines et autres sucs et extraits végétaux",export,2018,946,1734,2022
"Gommes, résines et autres sucs et extraits végétaux",export,2019,714,2435,2022
"Gommes, résines et autres sucs et extraits végétaux",export,2020,1463,4228,2022
"Gommes, résines et autres sucs et extraits végétaux",export,2021,561,875,2022
"Gommes, résines et autres sucs et extraits végétaux",export,2022,12725,4039,2022
Matières à tresser et autres produits d'origine végétale n.d.c.a.,export,2018,20,28,2022
Matières à tresser et autres produits d'origine végétale n.d.c.a.,export,2019,24,32,2022
Matières à tresser et autres produits d'origine végétale n.d.c.a.,export,2020,18,8,2022
Matières à tresser et autres produits d'origine végétale n.d.c.a.,export,2021,22,15,2022
Matières à tresser et autres produits d'origine végétale n.d.c.a.,export,2022,30,30,2022
"Graisses, huiles, cires (animales et végétales), graisses alimentaires",export,2018,34466,55625,2022
"Graisses, huiles, cires (animales et végétales), graisses alimentaires",export,2019,46831,72292,2022
"Graisses, huiles, cires (animales et végétales), graisses alimentaires",export,2020,9829,12292,2022
"Graisses, huiles, cires (animales et végétales), graisses alimentaires",export,2021,18096,17731,2022
"Graisses, huiles, cires (animales et végétales), graisses alimentaires",export,2022,23947,21733,2022
"Préparations de viandes, poissons, crustacés, mollusques",export,2018,12066,3673,2022
"Préparations de viandes, poissons, crustacés, mollusques",export,2019,40252,11727,2022
"Préparations de viandes, poissons, crustacés, mollusques",export,2020,30062,10444,2022
"Préparations de viandes, poissons, crustacés, mollusques",export,2021,11901,5108,2022
"Préparations de viandes, poissons, crustacés, mollusques",export,2022,46750,13904,2022
Sucres et sucreries,export,2018,7517,15101,2022
Sucres et sucreries,export,2019,3928,5441,2022
Sucres et sucreries,export,2020,3074,4731,2022
Sucres et sucreries,export,2021,3314,3649,2022
Sucres et sucreries,export,2022,3134,2738,2022
Cacao et ses préparations,export,2018,4646,4910,2022
Cacao et ses préparations,export,2019,4595,4601,2022
Cacao et ses préparations,export,2020,3815,3883,2022
Cacao et ses préparations,export,2021,3310,3210,2022
Cacao et ses préparations,export,2022,4058,3259,2022
"Préparations à base de céréales et dérivés, pâtisseries",export,2018,23212,29055,2022
"Préparations à base de céréales et dérivés, pâtisseries",export,2019,20548,22326,2022
"Préparations à base de céréales et dérivés, pâtisseries",export,2020,32230,34373,2022
"Préparations à base de céréales et dérivés, pâtisseries",export,2021,26441,25820,2022
"Préparations à base de céréales et dérivés, pâtisseries",export,2022,58172,67350,2022
"Préparations de légumes, de fruits ou d'autres parties de plantes",export,2018,5494,10555,2022
"Préparations de légumes, de fruits ou d'autres parties de plantes",export,2019,7111,12717,2022
"Préparations de légumes, de fruits ou d'autres parties de plantes",export,2020,6750,11532,2022
"Préparations de légumes, de fruits ou d'autres parties de plantes",export,2021,7989,14930,2022
"Préparations de légumes, de fruits ou d'autres parties de plantes",export,2022,8838,23216,2022
Préparations alimentaires diverses,export,2018,81157,77053,2022
Préparations alimentaires diverses,export,2019,84765,80131,2022
Préparations alimentaires diverses,export,2020,85393,79222,2022
Préparations alimentaires diverses,export,2021,95262,90883,2022
Préparations alimentaires diverses,export,2022,117383,92734,2022
"Boissons, liquides alcooliques et vinaigres",export,2018,3028,8361,2022
"Boissons, liquides alcooliques et vinaigres",export,2019,4925,11758,2022
"Boissons, liquides alcooliques et vinaigres",export,2020,12670,27796,2022
"Boissons, liquides alcooliques et vinaigres",export,2021,10085,23498,2022
"Boissons, liquides alcooliques et vinaigres",export,2022,9616,18734,2022
"Résidus, déchets des industries alimentaires, aliments préparés pour animaux",export,2018,4523,16560,2022
"Résidus, déchets des industries alimentaires, aliments préparés pour animaux",export,2019,4414,18260,2022
"Résidus, déchets des industries alimentaires, aliments préparés pour animaux",export,2020,4373,16930,2022
"Résidus, déchets des industries alimentaires, aliments préparés pour animaux",export,2021,4912,15351,2022
"Résidus, déchets des industries alimentaires, aliments préparés pour animaux",export,2022,7331,19678,2022
Tabacs et succédanés de tabacs fabriqués,export,2018,53402,6332,2022
Tabacs et succédanés de tabacs fabriqués,export,2019,43444,4984,2022
Tabacs et succédanés de tabacs fabriqués,export,2020,36056,3746,2022
Tabacs et succédanés de tabacs fabriqués,export,2021,46400,5132,2022
Tabacs et succédanés de tabacs fabriqués,export,2022,27130,2837,2022
"Sel, soufre, terres et pierres, plâtres, chaux et ciments",export,2018,114782,3016296,2022
"Sel, soufre, terres et pierres, plâtres, chaux et ciments",export,2019,113494,3017873,2022
"Sel, soufre, terres et pierres, plâtres, chaux et ciments",export,2020,100201,2661267,2022
"Sel, soufre, terres et pierres, plâtres, chaux et ciments",export,2021,127410,3458657,2022
"Sel, soufre, terres et pierres, plâtres, chaux et ciments",export,2022,162450,3034853,2022
"Minerais, scories et cendres",export,2018,99767,497710,2022
"Minerais, scories et cendres",export,2019,115412,614799,2022
"Minerais, scories et cendres",export,2020,116206,594538,2022
"Minerais, scories et cendres",export,2021,150328,679787,2022
"Minerais, scories et cendres",export,2022,203589,598891,2022
"Combustibles minéraux, huiles, cires minérales, matières bitumineuses",export,2018,317908,905273,2022
"Combustibles minéraux, huiles, cires minérales, matières bitumineuses",export,2019,487101,1359772,2022
"Combustibles minéraux, huiles, cires minérales, matières bitumineuses",export,2020,361527,1325920,2022
"Combustibles minéraux, huiles, cires minérales, matières bitumineuses",export,2021,447902,1376590,2022
"Combustibles minéraux, huiles, cires minérales, matières bitumineuses",export,2022,650440,1079577,2022
"Produits chimiques inorganiques, composés de métaux ou radioactifs",export,2018,160107,446431,2022
"Produits chimiques inorganiques, composés de métaux ou radioactifs",export,2019,199508,538689,2022
"Produits chimiques inorganiques, composés de métaux ou radioactifs",export,2020,155467,493872,2022
"Produits chimiques inorganiques, composés de métaux ou radioactifs",export,2021,269869,489505,2022
"Produits chimiques inorganiques, composés de métaux ou radioactifs",export,2022,476808,569259,2022
Produits chimiques organiques,export,2018,4037,3976,2022
Produits chimiques organiques,export,2019,3900,3920,2022
Produits chimiques organiques,export,2020,4444,4927,2022
Produits chimiques organiques,export,2021,5092,4950,2022
Produits chimiques organiques,export,2022,6542,4367,2022
Produits pharmaceutiques,export,2018,6410,763,2022
Produits pharmaceutiques,export,2019,4783,1030,2022
Produits pharmaceutiques,export,2020,1832,179,2022
Produits pharmaceutiques,export,2021,1145,203,2022
Produits pharmaceutiques,export,2022,1041,241,2022
Engrais,export,2018,26048,159769,2022
Engrais,export,2019,29452,135510,2022
Engrais,export,2020,21258,111358,2022
Engrais,export,2021,33056,121970,2022
Engrais,export,2022,9318,30411,2022
"Extraits tannants ou tinctoriaux, tanins, colorants, vernis, mastics, encres",export,2018,809,639,2022
"Extraits tannants ou tinctoriaux, tanins, colorants, vernis, mastics, encres",export,2019,913,621,2022
"Extraits tannants ou tinctoriaux, tanins, colorants, vernis, mastics, encres",export,2020,538,525,2022
"Extraits tannants ou tinctoriaux, tanins, colorants, vernis, mastics, encres",export,2021,1314,967,2022
"Extraits tannants ou tinctoriaux, tanins, colorants, vernis, mastics, encres",export,2022,2682,2017,2022
"Huiles essentielles, résinoïdes, produits de parfumerie, cosmétiques",export,2018,40694,25455,2022
"Huiles essentielles, résinoïdes, produits de parfumerie, cosmétiques",export,2019,42477,26062,2022
"Huiles essentielles, résinoïdes, produits de parfumerie, cosmétiques",export,2020,44968,29138,2022
"Huiles essentielles, résinoïdes, produits de parfumerie, cosmétiques",export,2021,45789,28726,2022
"Huiles essentielles, résinoïdes, produits de parfumerie, cosmétiques",export,2022,55128,29510,2022
"Savons, lubrifiants, cires artificielles, bougies, cires dentaires",export,2018,10013,19624,2022
"Savons, lubrifiants, cires artificielles, bougies, cires dentaires",export,2019,13057,17481,2022
"Savons, lubrifiants, cires artificielles, bougies, cires dentaires",export,2020,15792,24702,2022
"Savons, lubrifiants, cires artificielles, bougies, cires dentaires",export,2021,14754,20439,2022
"Savons, lubrifiants, cires artificielles, bougies, cires dentaires",export,2022,14182,18419,2022
"Matières albuminoïdes, préparations à base d'amidons ou fécules, colles",export,2018,294,95,2022
"Matières albuminoïdes, préparations à base d'amidons ou fécules, colles",export,2019,378,262,2022
"Matières albuminoïdes, préparations à base d'amidons ou fécules, colles",export,2020,409,128,2022
"Matières albuminoïdes, préparations à base d'amidons ou fécules, colles",export,2021,469,220,2022
