continent,sens,annee,valeur,poids,edition
Europe,export,2020,583895,831877,2024
Europe,export,2021,831900,1184633,2024
Europe,export,2022,891411,1025172,2024
Europe,export,2023,793637,1022308,2024
Europe,export,2024,1064313,1642367,2024
Afrique,export,2020,970758,4368966,2024
Afrique,export,2021,1152121,4889026,2024
Afrique,export,2022,1404451,4208747,2024
Afrique,export,2023,1409238,4639324,2024
Afrique,export,2024,1446165,5049665,2024
Amérique,export,2020,88486,172727,2024
Amérique,export,2021,114152,248837,2024
Amérique,export,2022,124436,167922,2024
Amérique,export,2023,122255,187539,2024
Amérique,export,2024,156728,203318,2024
Asie,export,2020,406667,1140316,2024
Asie,export,2021,577450,1430816,2024
Asie,export,2022,866602,1360119,2024
Asie,export,2023,626789,1309906,2024
Asie,export,2024,922510,2285926,2024
Océanie,export,2020,124100,798,2024
Océanie,export,2021,122348,2292,2024
Océanie,export,2022,142974,3195,2024
Océanie,export,2023,109111,21789,2024
Océanie,export,2024,90111,2643,2024
Divers,export,2020,87441,276153,2024
Divers,export,2021,86830,282723,2024
Divers,export,2022,133485,204812,2024
Divers,export,2023,162901,247750,2024
Divers,export,2024,229230,415986,2024
Europe,import,2020,2405439,6482950,2024
Europe,import,2021,2635826,6169483,2024
Europe,import,2022,3576586,5620376,2024
Europe,import,2023,3212405,5853755,2024
Europe,import,2024,3226226,5411105,2024
Afrique,import,2020,647692,2661992,2024
Afrique,import,2021,722712,2875299,2024
Afrique,import,2022,895862,3175189,2024
Afrique,import,2023,1214399,3651657,2024
Afrique,import,2024,859007,2977680,2024
Amérique,import,2020,328799,1129397,2024
Amérique,import,2021,399578,1138845,2024
Amérique,import,2022,560634,1365632,2024
Amérique,import,2023,457511,1178800,2024
Amérique,import,2024,748362,2272679,2024
Asie,import,2020,1083712,2670372,2024
Asie,import,2021,1581546,3796747,2024
Asie,import,2022,2440343,4181713,2024
Asie,import,2023,2197049,4381359,2024
Asie,import,2024,2228256,4786622,2024
Océanie,import,2020,19220,3701,2024
Océanie,import,2021,17486,12557,2024
Océanie,import,2022,18718,8365,2024
Océanie,import,2023,29786,11805,2024
Océanie,import,2024,33731,41415,2024
Divers,import,2020,9552,40345,2024
Divers,import,2021,21346,72019,2024
Divers,import,2022,57222,146000,2024
Divers,import,2023,96653,92996,2024
Divers,import,2024,65811,49529,2024
