sens,mesure,annee,total,edition
export,valeur,2017,1750312,2021
export,valeur,2018,2015679,2021
export,valeur,2019,2446666,2021
export,valeur,2020,2261346,2021
export,valeur,2021,2884802,2021
export,poids,2017,6835153,2021
export,poids,2018,6291560,2021
export,poids,2019,7258168,2021
export,poids,2020,6790837,2021
export,poids,2021,8038328,2021
import,valeur,2017,3908706,2021
import,valeur,2018,4487999,2021
import,valeur,2019,4773932,2021
import,valeur,2020,4494412,2021
import,valeur,2021,5378494,2021
import,poids,2017,10378717,2021
import,poids,2018,11912008,2021
import,poids,2019,11794868,2021
import,poids,2020,12988757,2021
import,poids,2021,14064950,2021
