produit,sens,annee,valeur,poids,edition
Produits halieutiques,export,2017,236366,227726,2021
Produits halieutiques,export,2018,274239,244969,2021
Produits halieutiques,export,2019,330847,318599,2021
Produits halieutiques,export,2020,277933,338956,2021
Produits halieutiques,export,2021,312981,312116,2021
Produits arachidiers,export,2017,63936,121189,2021
Produits arachidiers,export,2018,63475,146684,2021
Produits arachidiers,export,2019,152953,390709,2021
Produits arachidiers,export,2020,120483,275036,2021
Produits arachidiers,export,2021,168571,348816,2021
Produits pétroliers,export,2017,242935,795247,2021
Produits pétroliers,export,2018,303945,816910,2021
Produits pétroliers,export,2019,477716,1292189,2021
Produits pétroliers,export,2020,357524,1279648,2021
Produits pétroliers,export,2021,436885,1303545,2021
Acide phosphorique,export,2017,95974,339469,2021
Acide phosphorique,export,2018,157229,436780,2021
Acide phosphorique,export,2019,195699,517984,2021
Acide phosphorique,export,2020,151646,483194,2021
Acide phosphorique,export,2021,265348,478435,2021
Ciment hydraulique,export,2017,117743,2770425,2021
Ciment hydraulique,export,2018,86503,2101426,2021
Ciment hydraulique,export,2019,77682,1850660,2021
Ciment hydraulique,export,2020,73746,1818422,2021
Ciment hydraulique,export,2021,86231,2123572,2021
Phosphates,export,2017,18447,502421,2021
Phosphates,export,2018,16187,500126,2021
Phosphates,export,2019,22333,587216,2021
Phosphates,export,2020,11493,306641,2021
Phosphates,export,2021,22050,553448,2021
Engrais minéraux,export,2017,18961,105073,2021
Engrais minéraux,export,2018,26049,159771,2021
Engrais minéraux,export,2019,29476,135562,2021
Engrais minéraux,export,2020,21263,111361,2021
Engrais minéraux,export,2021,33057,121978,2021
Cotons et tissus en coton,export,2017,6652,7935,2021
Cotons et tissus en coton,export,2018,7328,7847,2021
Cotons et tissus en coton,export,2019,7058,8045,2021
Cotons et tissus en coton,export,2020,5826,6796,2021
Cotons et tissus en coton,export,2021,9005,9160,2021
Or industriel,export,2017,220144,12,2021
Or industriel,export,2018,313375,15,2021
Or industriel,export,2019,375734,16,2021
Or industriel,export,2020,422698,15,2021
Or industriel,export,2021,539778,19,2021
Titane et zircon,export,2017,82246,531245,2021
Titane et zircon,export,2018,99656,497419,2021
Titane et zircon,export,2019,115394,614744,2021
Titane et zircon,export,2020,116197,594453,2021
Titane et zircon,export,2021,150304,679377,2021
"Préparations pour soupes, potages, bouillons",export,2017,72296,64618,2021
"Préparations pour soupes, potages, bouillons",export,2018,71730,66881,2021
"Préparations pour soupes, potages, bouillons",export,2019,76755,72003,2021
"Préparations pour soupes, potages, bouillons",export,2020,76238,70235,2021
"Préparations pour soupes, potages, bouillons",export,2021,84285,79593,2021
Autres produits,export,2017,574611,1369793,2021
Autres produits,export,2018,595962,1312731,2021
Autres produits,export,2019,585019,1470441,2021
Autres produits,export,2020,626299,1506080,2021
Autres produits,export,2021,776306,2028270,2021
Machines et appareils,import,2017,540530,158679,2021
Machines et appareils,import,2018,472405,146855,2021
Machines et appareils,import,2019,604417,173582,2021
Machines et appareils,import,2020,545554,176158,2021
Machines et appareils,import,2021,633930,194569,2021
Produits céréaliers,import,2017,379073,2126555,2021
Produits céréaliers,import,2018,407748,2285639,2021
Produits céréaliers,import,2019,355242,1969190,2021
Produits céréaliers,import,2020,402109,2155770,2021
Produits céréaliers,import,2021,484919,2360667,2021
Matériels de transport et pièces détachées,import,2017,328737,143413,2021
Matériels de transport et pièces détachées,import,2018,399116,173528,2021
Matériels de transport et pièces détachées,import,2019,468134,197314,2021
Matériels de transport et pièces détachées,import,2020,342139,177629,2021
Matériels de transport et pièces détachées,import,2021,389358,207933,2021
Huiles brutes de pétrole,import,2017,301965,1198397,2021
Huiles brutes de pétrole,import,2018,378633,1120937,2021
Huiles brutes de pétrole,import,2019,236429,767522,2021
Huiles brutes de pétrole,import,2020,253816,1025398,2021
Huiles brutes de pétrole,import,2021,284625,1023899,2021
Produits pétroliers finis,import,2017,523767,1807321,2021
Produits pétroliers finis,import,2018,819804,2382455,2021
Produits pétroliers finis,import,2019,957506,2866871,2021
Produits pétroliers finis,import,2020,753548,3124671,2021
Produits pétroliers finis,import,2021,1023104,3096895,2021
Métaux communs et ouvrages en métaux communs,import,2017,249529,510700,2021
Métaux communs et ouvrages en métaux communs,import,2018,317993,627208,2021
Métaux communs et ouvrages en métaux communs,import,2019,339561,646947,2021
Métaux communs et ouvrages en métaux communs,import,2020,301796,608230,2021
Métaux communs et ouvrages en métaux communs,import,2021,408603,753220,2021
Matières plastiques et artificielles,import,2017,126182,149050,2021
Matières plastiques et artificielles,import,2018,135974,157110,2021
Matières plastiques et artificielles,import,2019,130500,170068,2021
Matières plastiques et artificielles,import,2020,131516,166618,2021
Matières plastiques et artificielles,import,2021,173074,181258,2021
Produits pharmaceutiques,import,2017,124283,12642,2021
Produits pharmaceutiques,import,2018,135901,12881,2021
Produits pharmaceutiques,import,2019,156588,15514,2021
Produits pharmaceutiques,import,2020,162767,15535,2021
Produits pharmaceutiques,import,2021,189008,17177,2021
Huiles et graisses,import,2017,106823,257267,2021
Huiles et graisses,import,2018,92564,207565,2021
Huiles et graisses,import,2019,99097,206694,2021
Huiles et graisses,import,2020,142635,276112,2021
Huiles et graisses,import,2021,123804,225294,2021
Produits des industries parachimiques,import,2017,75716,57612,2021
Produits des industries parachimiques,import,2018,79717,73108,2021
Produits des industries parachimiques,import,2019,88996,83081,2021
Produits des industries parachimiques,import,2020,90297,77393,2021
Produits des industries parachimiques,import,2021,103961,80799,2021
Autres produits,import,2017,1152100,3957081,2021
Autres produits,import,2018,1248144,4724721,2021
Autres produits,import,2019,1337462,4698085,2021
Autres produits,import,2020,1368235,5185241,2021
Autres produits,import,2021,1564109,5923239,2021
